leiden,n_treg,n_saved_in_cluster,frac_saved_captured,median_pct_mt,median_score_eTreg,median_n_genes,fisher_or,fisher_p,fisher_fdr,is_mthi_cluster,is_mthi_effector,evidence_tier
3.0,291.0,234.0,0.767213115,20.13311,0.0789549878,1338.0,1550.34396,0.0,0.0,True,True,secondary_percell
16.0,216.0,71.0,0.232786885,19.6549797,-0.073767255,877.0,55.9232243,2.38241872e-85,2.14417684e-84,True,False,secondary_percell
1.0,316.0,0.0,0.0,4.9213171,0.138917718,2576.0,0.0,1.0,1.0,False,False,secondary_percell
0.0,79.0,0.0,0.0,4.19954157,0.0268191958,2319.0,0.0,1.0,1.0,False,False,secondary_percell
12.0,182.0,0.0,0.0,4.29549408,-0.0774996952,1715.5,0.0,1.0,1.0,False,False,secondary_percell
10.0,3200.0,0.0,0.0,4.32151413,-0.0799814955,1893.5,0.0,1.0,1.0,False,False,secondary_percell
13.0,8152.0,0.0,0.0,4.20836449,0.0867570558,2373.5,0.0,1.0,1.0,False,False,secondary_percell
14.0,1286.0,0.0,0.0,4.07029343,-0.0649195819,2812.0,0.0,1.0,1.0,False,False,secondary_percell
15.0,1.0,0.0,0.0,5.13583183,0.054842344,2029.0,0.0,1.0,1.0,False,False,secondary_percell
11.0,8722.0,0.0,0.0,3.81543088,-0.0437317227,1755.0,0.0,1.0,1.0,False,False,secondary_percell
18.0,1.0,0.0,0.0,8.67870331,0.0152106115,1827.0,0.0,1.0,1.0,False,False,secondary_percell
19.0,29.0,0.0,0.0,6.01369429,0.00200193367,2129.0,0.0,1.0,1.0,False,False,secondary_percell
2.0,291.0,0.0,0.0,5.17421579,0.179609722,2767.0,0.0,1.0,1.0,False,False,secondary_percell
4.0,6.0,0.0,0.0,5.05722618,0.0762325749,1893.0,0.0,1.0,1.0,False,False,secondary_percell
5.0,3619.0,0.0,0.0,4.92100477,0.116847521,2246.0,0.0,1.0,1.0,False,False,secondary_percell
7.0,3.0,0.0,0.0,5.98969078,-0.105969379,2284.0,0.0,1.0,1.0,False,False,secondary_percell
8.0,75.0,0.0,0.0,4.47761202,-0.0539613999,1825.0,0.0,1.0,1.0,False,False,secondary_percell
9.0,706.0,0.0,0.0,4.92938519,0.0520721239,3881.5,0.0,1.0,1.0,False,False,secondary_percell
