gsm,total_counts,n_genes_by_counts,pct_counts_mt
GSM4859835,5848.0,2042.0,3.8194045
GSM4859836,4683.0,1680.0,5.7780652
GSM4859837,5411.5,1990.0,4.7619047
GSM4859838,5238.5,1738.0,5.65706865
GSM4859839,5710.0,2071.0,4.39816675
GSM4859840,5214.5,1954.0,6.0657146
GSM4859841,5648.0,1865.0,5.3131247
GSM4859842,6739.0,2079.0,4.226989
GSM4859843,5864.0,1771.0,5.6060605
GSM4859844,5294.0,1641.0,5.39686515
GSM4859845,5593.0,1735.0,4.464905
GSM4859846,4462.0,1452.0,6.430041
GSM4859847,5733.5,1695.0,4.8898699
GSM4859848,7344.0,2498.0,3.3407164
GSM4859849,5716.0,2071.0,4.808919
GSM4859850,7126.0,2510.0,4.4704304
GSM4859851,6885.5,2302.0,4.856882
GSM4859852,14.0,9.0,0.0
GSM4859853,7985.0,2567.0,5.564757
GSM4859854,6862.5,2373.5,4.16572315
GSM4859855,5583.5,2078.0,3.9399998
GSM4859856,5967.0,2109.0,5.3375196
GSM4859857,5868.5,2066.5,4.32891975
GSM4859858,4417.0,1662.0,4.3665233
GSM4859859,4739.0,1713.0,3.315972
GSM4859860,5025.0,1764.0,4.6420326
GSM4859861,5138.0,1671.5,4.9677141
GSM4859862,4838.0,1903.0,4.429752
GSM4859863,4233.0,1700.0,7.00584715
GSM4859864,4703.0,1925.0,5.3264856
GSM4859865,4751.5,1701.5,6.4244203
GSM4859866,5243.0,1987.0,4.507507
GSM4859867,4825.0,1823.0,5.535055
GSM4859868,4984.0,1842.0,5.868844
GSM4859869,5302.5,1954.0,5.0640955
GSM4859870,5547.0,1907.0,6.105263
GSM4859871,4866.5,1636.0,5.7657315
GSM4859872,4384.0,1604.0,4.909898
GSM4859873,4480.5,1616.0,5.6198723
GSM4859874,5279.5,1697.0,6.6841055
