gsm,donor,tissue,population,n_cells,n_kept,n_dropped,frac_kept
GSM4859842,JIA_patient_1,peripheral_blood,CD4_Tcon,2961,2885,76,0.9743329956095913
GSM4859843,JIA_patient_2,peripheral_blood,CD4_Tcon,2611,2480,131,0.9498276522405209
GSM4859844,JIA_patient_4,peripheral_blood,CD4_Tcon,2324,2222,102,0.9561101549053356
GSM4859845,JIA_patient_5,peripheral_blood,CD4_Tcon,3863,3516,347,0.9101734403313487
GSM4859846,JIA_patient_6,peripheral_blood,CD4_Tcon,4317,4276,41,0.9905026638869585
GSM4859847,JIA_patient_7,peripheral_blood,CD4_Tcon,3210,3032,178,0.9445482866043614
GSM4859835,JIA_patient_1,synovial_fluid,CD4_Tcon,2942,2851,91,0.969068660774983
GSM4859836,JIA_patient_2,synovial_fluid,CD4_Tcon,2368,2238,130,0.9451013513513513
GSM4859837,JIA_patient_3,synovial_fluid,CD4_Tcon,1770,1653,117,0.9338983050847458
GSM4859838,JIA_patient_4,synovial_fluid,CD4_Tcon,2726,2579,147,0.9460748349229641
GSM4859839,JIA_patient_5,synovial_fluid,CD4_Tcon,3132,3074,58,0.9814814814814815
GSM4859840,JIA_patient_6,synovial_fluid,CD4_Tcon,4462,4454,8,0.9982070820259973
GSM4859841,JIA_patient_7,synovial_fluid,CD4_Tcon,2757,2653,104,0.96227783822996
GSM4859855,JIA_patient_1,peripheral_blood,CD4_Treg,2468,2360,108,0.9562398703403565
GSM4859856,JIA_patient_2,peripheral_blood,CD4_Treg,1299,1271,28,0.9784449576597383
GSM4859857,JIA_patient_3,peripheral_blood,CD4_Treg,1662,1581,81,0.9512635379061372
GSM4859858,JIA_patient_4,peripheral_blood,CD4_Treg,2391,2230,161,0.9326641572563781
GSM4859859,JIA_patient_5,peripheral_blood,CD4_Treg,4197,3942,255,0.9392423159399571
GSM4859860,JIA_patient_6,peripheral_blood,CD4_Treg,2287,1953,334,0.8539571491036292
GSM4859861,JIA_patient_7,peripheral_blood,CD4_Treg,356,266,90,0.7471910112359551
GSM4859848,JIA_patient_1,synovial_fluid,CD4_Treg,1819,1761,58,0.9681143485431556
GSM4859849,JIA_patient_2,synovial_fluid,CD4_Treg,2776,2669,107,0.9614553314121037
GSM4859850,JIA_patient_3,synovial_fluid,CD4_Treg,1657,1636,21,0.9873264936632469
GSM4859851,JIA_patient_4,synovial_fluid,CD4_Treg,2870,2867,3,0.9989547038327526
GSM4859852,JIA_patient_5,synovial_fluid,CD4_Treg,3426,0,3426,0.0
GSM4859853,JIA_patient_6,synovial_fluid,CD4_Treg,1995,1825,170,0.9147869674185464
GSM4859854,JIA_patient_7,synovial_fluid,CD4_Treg,2882,2814,68,0.9764052741151977
GSM4859869,JIA_patient_1,peripheral_blood,CD8,2680,2547,133,0.9503731343283582
GSM4859870,JIA_patient_2,peripheral_blood,CD8,1829,1637,192,0.8950246036085292
GSM4859871,JIA_patient_4,peripheral_blood,CD8,2802,2675,127,0.9546752319771592
GSM4859872,JIA_patient_5,peripheral_blood,CD8,3195,2786,409,0.8719874804381846
GSM4859873,JIA_patient_6,peripheral_blood,CD8,3362,3311,51,0.9848304580606781
GSM4859874,JIA_patient_7,peripheral_blood,CD8,3088,2861,227,0.9264896373056994
GSM4859862,JIA_patient_1,synovial_fluid,CD8,2863,2787,76,0.9734544184421935
GSM4859863,JIA_patient_2,synovial_fluid,CD8,2608,2545,63,0.9758435582822086
GSM4859864,JIA_patient_3,synovial_fluid,CD8,2557,2478,79,0.9691044192412984
GSM4859865,JIA_patient_4,synovial_fluid,CD8,2516,2502,14,0.994435612082671
GSM4859866,JIA_patient_5,synovial_fluid,CD8,2938,2648,290,0.9012933968686181
GSM4859867,JIA_patient_6,synovial_fluid,CD8,3551,3287,264,0.9256547451422135
GSM4859868,JIA_patient_7,synovial_fluid,CD8,2897,2763,134,0.9537452537107353
