leiden,n_treg,n_saved_in_cluster,frac_saved_captured,median_pct_mt,median_score_eTreg,median_n_genes,fisher_or,fisher_p,fisher_fdr,is_mthi_cluster,is_mthi_effector,evidence_tier
3,291,234,0.7672131147540984,20.13311004638672,0.07895498775495824,1338.0,1550.3439584877688,0.0,0.0,True,True,secondary_percell
16,216,71,0.23278688524590163,19.654979705810547,-0.07376725495657782,877.0,55.92322428529325,2.3824187154305436e-85,2.1441768438874893e-84,True,False,secondary_percell
1,316,0,0.0,4.921317100524902,0.138917718037672,2576.0,0.0,1.0,1.0,False,False,secondary_percell
0,79,0,0.0,4.1995415687561035,0.026819195774673066,2319.0,0.0,1.0,1.0,False,False,secondary_percell
12,182,0,0.0,4.295494079589844,-0.07749969519274907,1715.5,0.0,1.0,1.0,False,False,secondary_percell
10,3200,0,0.0,4.321514129638672,-0.07998149546677491,1893.5,0.0,1.0,1.0,False,False,secondary_percell
13,8152,0,0.0,4.208364486694336,0.08675705583224728,2373.5,0.0,1.0,1.0,False,False,secondary_percell
14,1286,0,0.0,4.070293426513672,-0.06491958186475316,2812.0,0.0,1.0,1.0,False,False,secondary_percell
15,1,0,0.0,5.135831832885742,0.05484234404317059,2029.0,0.0,1.0,1.0,False,False,secondary_percell
11,8722,0,0.0,3.8154308795928955,-0.04373172274341357,1755.0,0.0,1.0,1.0,False,False,secondary_percell
18,1,0,0.0,8.678703308105469,0.015210611528794965,1827.0,0.0,1.0,1.0,False,False,secondary_percell
19,29,0,0.0,6.0136942863464355,0.002001933672372058,2129.0,0.0,1.0,1.0,False,False,secondary_percell
2,291,0,0.0,5.174215793609619,0.1796097217678173,2767.0,0.0,1.0,1.0,False,False,secondary_percell
4,6,0,0.0,5.057226181030273,0.0762325748817397,1893.0,0.0,1.0,1.0,False,False,secondary_percell
5,3619,0,0.0,4.921004772186279,0.11684752067447882,2246.0,0.0,1.0,1.0,False,False,secondary_percell
7,3,0,0.0,5.989690780639648,-0.10596937892416382,2284.0,0.0,1.0,1.0,False,False,secondary_percell
8,75,0,0.0,4.477612018585205,-0.05396139988951783,1825.0,0.0,1.0,1.0,False,False,secondary_percell
9,706,0,0.0,4.929385185241699,0.05207212387497784,3881.5,0.0,1.0,1.0,False,False,secondary_percell
