donor,coarse_label,tissue,n_cells,donor_id,tissue_s,cell
JIA_patient_1,Tcon,peripheral_blood,2885.0,p1,PB,Tcon PB
JIA_patient_2,Tcon,peripheral_blood,2480.0,p2,PB,Tcon PB
JIA_patient_4,Tcon,peripheral_blood,2222.0,p4,PB,Tcon PB
JIA_patient_5,Tcon,peripheral_blood,3516.0,p5,PB,Tcon PB
JIA_patient_6,Tcon,peripheral_blood,4276.0,p6,PB,Tcon PB
JIA_patient_7,Tcon,peripheral_blood,3032.0,p7,PB,Tcon PB
JIA_patient_1,Tcon,synovial_fluid,2851.0,p1,SF,Tcon SF
JIA_patient_2,Tcon,synovial_fluid,2238.0,p2,SF,Tcon SF
JIA_patient_3,Tcon,synovial_fluid,1653.0,p3,SF,Tcon SF
JIA_patient_4,Tcon,synovial_fluid,2579.0,p4,SF,Tcon SF
JIA_patient_5,Tcon,synovial_fluid,3074.0,p5,SF,Tcon SF
JIA_patient_6,Tcon,synovial_fluid,4454.0,p6,SF,Tcon SF
JIA_patient_7,Tcon,synovial_fluid,2653.0,p7,SF,Tcon SF
JIA_patient_1,Treg,peripheral_blood,2360.0,p1,PB,Treg PB
JIA_patient_2,Treg,peripheral_blood,1271.0,p2,PB,Treg PB
JIA_patient_3,Treg,peripheral_blood,1581.0,p3,PB,Treg PB
JIA_patient_4,Treg,peripheral_blood,2230.0,p4,PB,Treg PB
JIA_patient_5,Treg,peripheral_blood,3942.0,p5,PB,Treg PB
JIA_patient_6,Treg,peripheral_blood,1953.0,p6,PB,Treg PB
JIA_patient_7,Treg,peripheral_blood,266.0,p7,PB,Treg PB
JIA_patient_1,Treg,synovial_fluid,1761.0,p1,SF,Treg SF
JIA_patient_2,Treg,synovial_fluid,2669.0,p2,SF,Treg SF
JIA_patient_3,Treg,synovial_fluid,1636.0,p3,SF,Treg SF
JIA_patient_4,Treg,synovial_fluid,2867.0,p4,SF,Treg SF
JIA_patient_6,Treg,synovial_fluid,1825.0,p6,SF,Treg SF
JIA_patient_7,Treg,synovial_fluid,2814.0,p7,SF,Treg SF
JIA_patient_1,CD8,peripheral_blood,2547.0,p1,PB,CD8 PB
JIA_patient_2,CD8,peripheral_blood,1637.0,p2,PB,CD8 PB
JIA_patient_4,CD8,peripheral_blood,2675.0,p4,PB,CD8 PB
JIA_patient_5,CD8,peripheral_blood,2786.0,p5,PB,CD8 PB
JIA_patient_6,CD8,peripheral_blood,3311.0,p6,PB,CD8 PB
JIA_patient_7,CD8,peripheral_blood,2861.0,p7,PB,CD8 PB
JIA_patient_1,CD8,synovial_fluid,2787.0,p1,SF,CD8 SF
JIA_patient_2,CD8,synovial_fluid,2545.0,p2,SF,CD8 SF
JIA_patient_3,CD8,synovial_fluid,2478.0,p3,SF,CD8 SF
JIA_patient_4,CD8,synovial_fluid,2502.0,p4,SF,CD8 SF
JIA_patient_5,CD8,synovial_fluid,2648.0,p5,SF,CD8 SF
JIA_patient_6,CD8,synovial_fluid,3287.0,p6,SF,CD8 SF
JIA_patient_7,CD8,synovial_fluid,2763.0,p7,SF,CD8 SF
