gene,coarse_label,mean_lognorm,frac_expressing
FOXP3,Treg,1.69267619,0.797424103
FOXP3,Tcon,0.0594561994,0.0384828423
FOXP3,CD8,0.0181174595,0.0103080943
IL2RA,Treg,1.14550614,0.668408464
IL2RA,Tcon,0.0726834387,0.0674175085
IL2RA,CD8,0.0130579406,0.0106239412
CTLA4,Treg,1.01489151,0.651959522
CTLA4,Tcon,0.220582753,0.175190568
CTLA4,CD8,0.145097822,0.112240503
IKZF2,Treg,0.675384283,0.527212511
IKZF2,Tcon,0.044543907,0.035607839
IKZF2,CD8,0.165187418,0.128865535
TIGIT,Treg,1.25297403,0.698031279
TIGIT,Tcon,0.294215888,0.202806425
TIGIT,CD8,0.697843611,0.442874781
IL7R,Treg,0.662966013,0.426973321
IL7R,Tcon,2.35270929,0.87719252
IL7R,CD8,1.30262709,0.532001034
CD40LG,Treg,0.0717783198,0.0654645814
CD40LG,Tcon,0.597032547,0.453670245
CD40LG,CD8,0.0842532963,0.0697160249
CD4,Treg,0.812280118,0.62049678
CD4,Tcon,0.714262843,0.543164614
CD4,CD8,0.00413434673,0.00361788268
CD8A,Treg,0.00197105552,0.00165593376
CD8A,Tcon,0.00382879609,0.002532113
CD8A,CD8,2.22660828,0.92741264
CD8B,Treg,0.00791793503,0.00702851886
CD8B,Tcon,0.0190068036,0.0133199694
CD8B,CD8,1.77668464,0.818675166
GZMK,Treg,0.0555474907,0.0362097516
GZMK,Tcon,0.506373346,0.228602326
GZMK,CD8,1.87865472,0.705515835
NKG7,Treg,0.0685192421,0.0650229991
NKG7,Tcon,0.213414297,0.129902672
NKG7,CD8,2.81399465,0.902518161
