donor,coarse_label,tissue,n_cells
JIA_patient_1,Tcon,peripheral_blood,2885
JIA_patient_2,Tcon,peripheral_blood,2480
JIA_patient_4,Tcon,peripheral_blood,2222
JIA_patient_5,Tcon,peripheral_blood,3516
JIA_patient_6,Tcon,peripheral_blood,4276
JIA_patient_7,Tcon,peripheral_blood,3032
JIA_patient_1,Tcon,synovial_fluid,2851
JIA_patient_2,Tcon,synovial_fluid,2238
JIA_patient_3,Tcon,synovial_fluid,1653
JIA_patient_4,Tcon,synovial_fluid,2579
JIA_patient_5,Tcon,synovial_fluid,3074
JIA_patient_6,Tcon,synovial_fluid,4454
JIA_patient_7,Tcon,synovial_fluid,2653
JIA_patient_1,Treg,peripheral_blood,2360
JIA_patient_2,Treg,peripheral_blood,1271
JIA_patient_3,Treg,peripheral_blood,1581
JIA_patient_4,Treg,peripheral_blood,2230
JIA_patient_5,Treg,peripheral_blood,3942
JIA_patient_6,Treg,peripheral_blood,1953
JIA_patient_7,Treg,peripheral_blood,266
JIA_patient_1,Treg,synovial_fluid,1761
JIA_patient_2,Treg,synovial_fluid,2669
JIA_patient_3,Treg,synovial_fluid,1636
JIA_patient_4,Treg,synovial_fluid,2867
JIA_patient_6,Treg,synovial_fluid,1825
JIA_patient_7,Treg,synovial_fluid,2814
JIA_patient_1,CD8,peripheral_blood,2547
JIA_patient_2,CD8,peripheral_blood,1637
JIA_patient_4,CD8,peripheral_blood,2675
JIA_patient_5,CD8,peripheral_blood,2786
JIA_patient_6,CD8,peripheral_blood,3311
JIA_patient_7,CD8,peripheral_blood,2861
JIA_patient_1,CD8,synovial_fluid,2787
JIA_patient_2,CD8,synovial_fluid,2545
JIA_patient_3,CD8,synovial_fluid,2478
JIA_patient_4,CD8,synovial_fluid,2502
JIA_patient_5,CD8,synovial_fluid,2648
JIA_patient_6,CD8,synovial_fluid,3287
JIA_patient_7,CD8,synovial_fluid,2763
