"gene_symbol","log2FoldChange","stat","pvalue","padj","category","labelled_on_figure"
"AC017002.1",3.30645538,26.3851158,1.94307918e-10,2.72011654e-06,"p-value & Log2FC",TRUE
"APOBEC3G",1.706702,21.3578188,1.49571153e-09,6.63129672e-06,"p-value & Log2FC",TRUE
"BHLHE40",5.15826554,20.9146942,1.82983803e-09,6.63129672e-06,"p-value & Log2FC",TRUE
"CDKN1A",4.50522407,20.8389346,1.89479155e-09,6.63129672e-06,"p-value & Log2FC",TRUE
"FAM65B",-2.57551303,-20.2079527,2.57691186e-09,7.21483782e-06,"p-value & Log2FC",TRUE
"FRMD4B",2.05361393,19.4390669,3.69318772e-09,8.58471168e-06,"p-value & Log2FC",TRUE
"SH2D2A",2.1475612,19.1362047,4.29266246e-09,8.58471168e-06,"p-value & Log2FC",FALSE
"CTSC",1.54607299,18.6540846,5.47993691e-09,9.5892046e-06,"p-value & Log2FC",FALSE
"ACP5",1.71582459,18.181374,7.0034694e-09,1.08935076e-05,"p-value & Log2FC",FALSE
"GIMAP1",-1.88512596,-17.5359069,9.88786889e-09,1.3069567e-05,"p-value & Log2FC",TRUE
"PRDX4",1.65473073,17.466338,1.0269679e-08,1.3069567e-05,"p-value & Log2FC",FALSE
"SLC16A10",-2.86185832,-17.0209487,1.31336492e-08,1.41266457e-05,"p-value & Log2FC",TRUE
"HLF",3.39864104,16.9808996,1.34313568e-08,1.41266457e-05,"p-value & Log2FC",FALSE
"CTB-133G6.1",-2.44016094,-17.038645,1.41276548e-08,1.41266457e-05,"p-value & Log2FC",TRUE
"NAMPT",1.83246649,16.6631169,1.60743945e-08,1.47149244e-05,"p-value & Log2FC",FALSE
"NDFIP2",3.88412034,17.569043,1.68182578e-08,1.47149244e-05,"p-value & Log2FC",FALSE
"SLC16A3",1.81438251,16.4457364,1.82099506e-08,1.49694931e-05,"p-value & Log2FC",FALSE
"GZMM",1.38748891,16.2906369,1.99238378e-08,1.49694931e-05,"p-value & Log2FC",FALSE
"ATP1B1",2.50477424,16.2571072,2.03171919e-08,1.49694931e-05,"p-value & Log2FC",FALSE
"CTD-3184A7.4",-1.56221566,-16.1402509,2.17562241e-08,1.5228269e-05,"p-value & Log2FC",TRUE
"PLA2G16",2.78894851,15.9871082,2.38142879e-08,1.5269018e-05,"p-value & Log2FC",FALSE
"TYMP",2.07454982,15.9455524,2.44089925e-08,1.5269018e-05,"p-value & Log2FC",FALSE
"IL1RN",6.43016593,15.8995376,2.50866072e-08,1.5269018e-05,"p-value & Log2FC",FALSE
"LGALS3",1.97177086,15.7929169,2.67374925e-08,1.55957565e-05,"p-value & Log2FC",FALSE
"APOBEC3H",2.59252884,15.5478432,3.10032269e-08,1.66615897e-05,"p-value & Log2FC",FALSE
"CDHR3",-2.80795627,-15.5823268,3.10421302e-08,1.66615897e-05,"p-value & Log2FC",FALSE
"SKIL",2.53964728,15.4889972,3.21353612e-08,1.66615897e-05,"p-value & Log2FC",FALSE
"CRADD",1.6510086,15.0321382,4.26395728e-08,2.13182635e-05,"p-value & Log2FC",FALSE
"TRAT1",-1.80717004,-14.9030611,4.62532058e-08,2.18984426e-05,"p-value & Log2FC",FALSE
"KAT2B",1.22572137,14.8801672,4.69285863e-08,2.18984426e-05,"p-value & Log2FC",FALSE
"TNFRSF4",2.93067594,16.2519253,5.29808929e-08,2.39251458e-05,"p-value & Log2FC",FALSE
"AES",-1.62395818,-14.4310149,6.26311607e-08,2.55787863e-05,"p-value & Log2FC",FALSE
"MGAT4A",-2.3550083,-14.6052666,6.26941742e-08,2.55787863e-05,"p-value & Log2FC",FALSE
"IFI6",1.55961575,14.4138218,6.3337339e-08,2.55787863e-05,"p-value & Log2FC",FALSE
"ARG1",-3.15866713,-14.3990383,6.39515337e-08,2.55787863e-05,"p-value & Log2FC",FALSE
"CXCR6",3.68899451,16.8597215,6.92133997e-08,2.63365836e-05,"p-value & Log2FC",FALSE
"EPHA4",-2.94589315,-14.2503343,7.05066081e-08,2.63365836e-05,"p-value & Log2FC",FALSE
"GIMAP7",-1.53663061,-14.2143978,7.21991471e-08,2.63365836e-05,"p-value & Log2FC",FALSE
"SRGN",1.83903393,14.1478846,7.54506688e-08,2.63365836e-05,"p-value & Log2FC",FALSE
"EMP1",5.95236964,14.1157261,7.70801026e-08,2.63365836e-05,"p-value & Log2FC",FALSE
"CD74",1.53179205,14.1146737,7.71340757e-08,2.63365836e-05,"p-value & Log2FC",FALSE
"BHLHE40-AS1",5.10875455,14.0513558,8.04589286e-08,2.68177272e-05,"p-value & Log2FC",FALSE
"GIMAP5",-1.74418358,-13.9974309,8.34147659e-08,2.7156356e-05,"p-value & Log2FC",FALSE
"AC145110.1",6.74945906,13.95709,8.57039135e-08,2.72674792e-05,"p-value & Log2FC",FALSE
"RBPJ",1.78341662,13.8905332,8.96328475e-08,2.74366758e-05,"p-value & Log2FC",FALSE
"GIMAP4",-1.41578242,-13.8543523,9.18512564e-08,2.74366758e-05,"p-value & Log2FC",FALSE
"PDCD1",2.33370418,13.8501079,9.21154198e-08,2.74366758e-05,"p-value & Log2FC",FALSE
"TAGAP",-1.49452654,-13.7788942,9.66743103e-08,2.81946598e-05,"p-value & Log2FC",FALSE
"RCBTB2",-2.0205544,-13.7409651,9.92030201e-08,2.83416955e-05,"p-value & Log2FC",FALSE
"PKM",1.57274983,13.6839309,1.03143128e-07,2.88780129e-05,"p-value & Log2FC",FALSE
"ZBED2",7.89518568,13.6161256,1.08052246e-07,2.95181696e-05,"p-value & Log2FC",FALSE
"CXCL13",9.36474445,13.5749235,1.11160152e-07,2.95181696e-05,"p-value & Log2FC",FALSE
"APP",-2.30243461,-13.5671772,1.11755339e-07,2.95181696e-05,"p-value & Log2FC",FALSE
"APOBEC3C",1.32121628,13.4045676,1.25092481e-07,3.13901752e-05,"p-value & Log2FC",FALSE
"IL2RB",1.26885297,13.4040654,1.25136279e-07,3.13901752e-05,"p-value & Log2FC",FALSE
"IQGAP1",1.19276027,13.3934249,1.26068332e-07,3.13901752e-05,"p-value & Log2FC",FALSE
"PPIL1",1.34018697,13.3737488,1.27811986e-07,3.13901752e-05,"p-value & Log2FC",FALSE
"DENND6B",2.0592316,13.2837469,1.36132167e-07,3.28571415e-05,"p-value & Log2FC",FALSE
"ORMDL2",1.01182584,13.2298295,1.41399949e-07,3.35501336e-05,"p-value & Log2FC",FALSE
"SERPINB1",0.984866097,13.1508343,1.4952599e-07,3.48869055e-05,"p-value",FALSE
"DDIT4",2.20833054,13.6194933,1.56677669e-07,3.59562407e-05,"p-value & Log2FC",FALSE
"IFI27L2",1.09379171,13.0270136,1.63312872e-07,3.68744661e-05,"p-value & Log2FC",FALSE
"CKLF",1.74209598,12.9895439,1.69215559e-07,3.74197788e-05,"p-value & Log2FC",FALSE
"SDC4",3.37892842,12.9888734,1.71074066e-07,3.74197788e-05,"p-value & Log2FC",FALSE
"CYSTM1",1.69945159,12.9238715,1.75864567e-07,3.78758165e-05,"p-value & Log2FC",FALSE
"CNTNAP1",-3.55789806,-12.8113279,1.9077952e-07,4.04654924e-05,"p-value & Log2FC",FALSE
"RP11-66N11.8",-1.93220582,-12.7232304,2.03423359e-07,4.15857026e-05,"p-value & Log2FC",FALSE
"PTPN6",-0.945841608,-12.7177182,2.04244477e-07,4.15857026e-05,"p-value",FALSE
"CXCR3",1.76793692,12.7299523,2.06262903e-07,4.15857026e-05,"p-value & Log2FC",FALSE
"RCAN2",6.13327487,12.693185,2.07943366e-07,4.15857026e-05,"p-value & Log2FC",FALSE
"ZNF365",-3.23662158,-12.6552814,2.1380331e-07,4.21553878e-05,"p-value & Log2FC",FALSE
"CCL4",7.58888916,12.5429132,2.32266141e-07,4.48385061e-05,"p-value & Log2FC",FALSE
"CLIC1",1.05170607,12.5339209,2.33817483e-07,4.48385061e-05,"p-value & Log2FC",FALSE
"CCR1",5.13714947,12.9585892,2.67791125e-07,5.04350687e-05,"p-value & Log2FC",FALSE
"SUSD4",-6.01681365,-12.3399413,2.70207169e-07,5.04350687e-05,"p-value & Log2FC",FALSE
"RASGRP2",-1.84014927,-12.6311387,2.87899387e-07,5.28824611e-05,"p-value & Log2FC",FALSE
"LPAR6",-2.00270371,-12.580543,2.90874313e-07,5.28824611e-05,"p-value & Log2FC",FALSE
"LINC00544",-3.38028796,-12.2138019,2.97180369e-07,5.29416312e-05,"p-value & Log2FC",FALSE
"LUZP1",1.07362815,12.2067928,2.98763402e-07,5.29416312e-05,"p-value & Log2FC",FALSE
"PRKAR1B",1.39783205,12.1872437,3.03227671e-07,5.30610521e-05,"p-value & Log2FC",FALSE
"SAMSN1",1.2846698,12.1617043,3.09170409e-07,5.31519273e-05,"p-value & Log2FC",FALSE
"CBLL1",-1.19432584,-12.1450493,3.13114538e-07,5.31519273e-05,"p-value & Log2FC",FALSE
"TNFRSF12A",4.17943655,12.1365959,3.15137508e-07,5.31519273e-05,"p-value & Log2FC",FALSE
"GADD45G",4.53336227,12.1337052,3.1985652e-07,5.33056121e-05,"p-value & Log2FC",FALSE
"GPR56",4.85053929,12.0860687,3.27531633e-07,5.39425334e-05,"p-value & Log2FC",FALSE
"TPP1",0.94502621,12.0463045,3.37661382e-07,5.49642057e-05,"p-value",FALSE
"IFNGR2",-2.78710147,-11.9626331,3.60116096e-07,5.79455774e-05,"p-value & Log2FC",FALSE
"SERPINE2",3.98128698,12.047576,3.70883869e-07,5.90000373e-05,"p-value & Log2FC",FALSE
"S100A11",1.39192451,11.9074791,3.75810063e-07,5.91119671e-05,"p-value & Log2FC",FALSE
"HLA-DQA2",1.90561655,11.8760412,3.85089854e-07,5.92611886e-05,"p-value & Log2FC",FALSE
"ACTN1",-2.26036893,-11.8983329,3.85225242e-07,5.92611886e-05,"p-value & Log2FC",FALSE
"GOLIM4",2.77138713,11.8390406,3.96334546e-07,6.03074708e-05,"p-value & Log2FC",FALSE
"TRAF3IP3",-1.28605815,-11.8108151,4.0515432e-07,6.09866164e-05,"p-value & Log2FC",FALSE
"STK38",-1.09747187,-11.7224388,4.34189757e-07,6.46457864e-05,"p-value & Log2FC",FALSE
"GPA33",-3.483522,-12.4137111,4.39498357e-07,6.46457864e-05,"p-value & Log2FC",FALSE
"GIMAP2",-1.18092099,-11.6943077,4.43904417e-07,6.46457864e-05,"p-value & Log2FC",FALSE
"TPP2",-1.08658224,-11.6828337,4.47934944e-07,6.46457864e-05,"p-value & Log2FC",FALSE
"FURIN",1.65902405,11.6422519,4.62515178e-07,6.60688773e-05,"p-value & Log2FC",FALSE
"RP11-421L21.3",-1.44455018,-11.6150181,4.72590897e-07,6.68262624e-05,"p-value & Log2FC",FALSE
"GNA15",2.57145325,12.0058721,4.79846158e-07,6.71736637e-05,"p-value & Log2FC",FALSE
"HLA-DMA",1.56958903,11.5536531,5.00066075e-07,6.82233675e-05,"p-value & Log2FC",FALSE
"IL23R",3.86512178,11.5372669,5.02703626e-07,6.82233675e-05,"p-value & Log2FC",FALSE
"RP11-213G21.1",-5.79560919,-11.5310689,5.05192993e-07,6.82233675e-05,"p-value & Log2FC",FALSE
"SPATS2L",1.80335324,11.6729366,5.06838362e-07,6.82233675e-05,"p-value & Log2FC",FALSE
"DPEP2",-1.65542506,-11.4387971,5.43895137e-07,7.15450878e-05,"p-value & Log2FC",FALSE
"SOCS2",1.95905462,11.458664,5.4449422e-07,7.15450878e-05,"p-value & Log2FC",FALSE
"BCL3",2.31889085,11.4320545,5.46847946e-07,7.15450878e-05,"p-value & Log2FC",FALSE
"C12orf42",-3.15778089,-11.3866042,5.67216155e-07,7.35227681e-05,"p-value & Log2FC",FALSE
"AC005944.2",-1.82597803,-11.3228351,5.9720748e-07,7.62640939e-05,"p-value & Log2FC",FALSE
"CTSB",1.31734509,11.3185984,5.99260685e-07,7.62640939e-05,"p-value & Log2FC",FALSE
"SMAD3",-2.00486424,-11.2903284,6.13160457e-07,7.72078409e-05,"p-value & Log2FC",FALSE
"MIR155HG",1.84612209,11.2812338,6.17706849e-07,7.72078409e-05,"p-value & Log2FC",FALSE
"MICAL2",1.38541627,11.2674582,6.24663662e-07,7.73105466e-05,"p-value & Log2FC",FALSE
"LDHB",-0.997451822,-11.2409802,6.38277534e-07,7.73105466e-05,"p-value",FALSE
"RIN3",-2.02050914,-11.9520373,6.38335949e-07,7.73105466e-05,"p-value & Log2FC",FALSE
"FUOM",1.6813225,11.2223367,6.48058e-07,7.73105466e-05,"p-value & Log2FC",FALSE
"HYAL3",2.476514,11.2164534,6.51178346e-07,7.73105466e-05,"p-value & Log2FC",FALSE
"NUDT14",1.99441521,11.2155405,6.51664011e-07,7.73105466e-05,"p-value & Log2FC",FALSE
"PHLDA1",3.70501966,13.2358174,6.75173274e-07,7.80390708e-05,"p-value & Log2FC",FALSE
"LY6E",1.0924059,11.1614951,6.81134698e-07,7.80390708e-05,"p-value & Log2FC",FALSE
"TRPS1",1.8279424,11.1608869,6.81474546e-07,7.80390708e-05,"p-value & Log2FC",FALSE
"RHOB",4.65236598,11.1750286,6.84917362e-07,7.80390708e-05,"p-value & Log2FC",FALSE
"UCP3",3.4173577,11.1533916,6.85677956e-07,7.80390708e-05,"p-value & Log2FC",FALSE
"ACTN4",1.08805827,11.139719,6.9341886e-07,7.8283634e-05,"p-value & Log2FC",FALSE
"FOXP3",1.41217823,11.1296594,6.9917538e-07,7.83020492e-05,"p-value & Log2FC",FALSE
"AC002331.1",3.56337999,12.4058944,7.07410581e-07,7.85955613e-05,"p-value & Log2FC",FALSE
"IZUMO4",1.39733928,11.1002283,7.16319466e-07,7.89587103e-05,"p-value & Log2FC",FALSE
"GALK1",1.21616756,11.0595025,7.40806433e-07,8.07641677e-05,"p-value & Log2FC",FALSE
"MDS2",-2.77044066,-11.0539143,7.44237277e-07,8.07641677e-05,"p-value & Log2FC",FALSE
"CDK6",1.44723771,10.9861749,7.8723841e-07,8.476309e-05,"p-value & Log2FC",FALSE
"CD58",1.14703913,10.9771089,7.93196999e-07,8.476309e-05,"p-value & Log2FC",FALSE
"MAP2K6",-2.3002024,-10.9538365,8.08719776e-07,8.57671829e-05,"p-value & Log2FC",FALSE
"UMODL1",-3.45954576,-10.9311108,8.24199362e-07,8.61435113e-05,"p-value & Log2FC",FALSE
"AC084018.1",-0.875704222,-10.9177654,8.33440425e-07,8.61435113e-05,"p-value",FALSE
"RP11-265P11.2",-1.85534512,-10.9163009,8.34461416e-07,8.61435113e-05,"p-value & Log2FC",FALSE
"TC2N",-1.59097698,-11.0371812,8.3880003e-07,8.61435113e-05,"p-value & Log2FC",FALSE
"TACC1",1.09566205,10.9026246,8.44062332e-07,8.61435113e-05,"p-value & Log2FC",FALSE
"ABLIM1",-1.48103253,-10.9079461,8.49189554e-07,8.61435113e-05,"p-value & Log2FC",FALSE
"PHLDA2",6.17646203,11.6090304,8.61502176e-07,8.67638055e-05,"p-value & Log2FC",FALSE
"TCF7",-3.72099934,-12.7414753,8.7050474e-07,8.70442561e-05,"p-value & Log2FC",FALSE
"SLC3A2",0.829710816,10.8417669,8.88275653e-07,8.81912828e-05,"p-value",FALSE
"ARNTL2",2.5089478,10.8034334,9.17422584e-07,9.04436531e-05,"p-value & Log2FC",FALSE
"MAST4",1.08135281,10.7840558,9.32553257e-07,9.12923989e-05,"p-value & Log2FC",FALSE
"TBCB",0.875011418,10.7364855,9.70868506e-07,9.40040437e-05,"p-value",FALSE
"STIP1",1.40466954,10.7330727,9.73682858e-07,9.40040437e-05,"p-value & Log2FC",FALSE
"ANTXR2",1.32633768,10.7220112,9.828661e-07,9.42407023e-05,"p-value & Log2FC",FALSE
"CCR5",2.35103535,11.5252681,1.04490305e-06,9.95074676e-05,"p-value & Log2FC",FALSE
"TRMT6",1.1269626,10.6371988,1.05650856e-06,9.99328604e-05,"p-value & Log2FC",FALSE
"CAMKV",6.73327206,10.6043606,1.08662552e-06,0.000102091749,"p-value & Log2FC",FALSE
"SURF4",1.18704866,10.5941221,1.09620666e-06,0.000102305314,"p-value & Log2FC",FALSE
"NEDD4L",-2.24747622,-10.578144,1.11134401e-06,0.000103031158,"p-value & Log2FC",FALSE
"MRPS6",1.24857594,10.5577687,1.1309799e-06,0.000103883735,"p-value & Log2FC",FALSE
"KLF12",-1.06616429,-10.553254,1.13538192e-06,0.000103883735,"p-value & Log2FC",FALSE
"SLC39A1",1.11086999,10.5435105,1.14494629e-06,0.000104078591,"p-value & Log2FC",FALSE
"CD70",1.57576873,10.5281949,1.17848856e-06,0.000105736397,"p-value & Log2FC",FALSE
"IL2RA",1.7497286,10.9205285,1.18806675e-06,0.000105736397,"p-value & Log2FC",FALSE
"STAT4",1.22267821,10.4995169,1.1892421e-06,0.000105736397,"p-value & Log2FC",FALSE
"IL10",5.83949169,10.834723,1.194037e-06,0.000105736397,"p-value & Log2FC",FALSE
"CD2",1.00985005,10.4818302,1.20757566e-06,0.000105736397,"p-value & Log2FC",FALSE
"SERINC5",-1.51611155,-10.4809441,1.20850229e-06,0.000105736397,"p-value & Log2FC",FALSE
"OSM",3.05955223,10.4475701,1.24397457e-06,0.000107476331,"p-value & Log2FC",FALSE
"SYT11",1.33448297,10.4455112,1.2461999e-06,0.000107476331,"p-value & Log2FC",FALSE
"EBI3",4.09414652,10.4359184,1.25662582e-06,0.000107476331,"p-value & Log2FC",FALSE
"TLR5",-5.44789374,-10.4336561,1.25909838e-06,0.000107476331,"p-value & Log2FC",FALSE
"TIGIT",1.65766003,10.7193194,1.28648284e-06,0.000107879641,"p-value & Log2FC",FALSE
"REEP5",0.815837373,10.4045336,1.29140821e-06,0.000107879641,"p-value",FALSE
"PDP1",-0.962841135,-10.4022702,1.293957e-06,0.000107879641,"p-value",FALSE
"RAB11FIP1",1.43864259,10.4128222,1.30215005e-06,0.000107879641,"p-value & Log2FC",FALSE
"TRIB2",-1.07115952,-10.3948475,1.30235441e-06,0.000107879641,"p-value & Log2FC",FALSE
"HLA-DQB1",1.59645276,10.5448789,1.322649e-06,0.000108916255,"p-value & Log2FC",FALSE
"IL4I1",3.07813782,10.3587229,1.34408272e-06,0.000110034,"p-value & Log2FC",FALSE
"PDE4D",1.25957825,10.3440797,1.36141203e-06,0.000110804692,"p-value & Log2FC",FALSE
"ADD3",-1.09955418,-10.3156888,1.39571103e-06,0.000112690896,"p-value & Log2FC",FALSE
"SERTAD1",1.23599369,10.3072044,1.40614351e-06,0.000112690896,"p-value & Log2FC",FALSE
"DYRK2",-1.4642315,-10.2988685,1.41647661e-06,0.000112690896,"p-value & Log2FC",FALSE
"TMEM63A",-1.41117703,-10.3141712,1.41918967e-06,0.000112690896,"p-value & Log2FC",FALSE
"DUSP16",0.98681877,10.2876859,1.4304689e-06,0.000112690896,"p-value",FALSE
"C9orf89",1.54284074,10.2936669,1.43288659e-06,0.000112690896,"p-value & Log2FC",FALSE
"PRDM8",1.22935966,10.2774484,1.44341128e-06,0.000112884439,"p-value & Log2FC",FALSE
"CD97",1.3830378,10.2547199,1.4952485e-06,0.000116288799,"p-value & Log2FC",FALSE
"RAB37",-1.67286679,-10.5837041,1.5280073e-06,0.000118179968,"p-value & Log2FC",FALSE
"CTC-523E23.11",-1.21120078,-10.157906,1.60439646e-06,0.00012280008,"p-value & Log2FC",FALSE
"MCAM",3.48971577,10.1572816,1.60528714e-06,0.00012280008,"p-value & Log2FC",FALSE
"ICAM2",-1.39918974,-10.2341492,1.64242164e-06,0.000124957937,"p-value & Log2FC",FALSE
"HVCN1",-2.61506662,-10.7362394,1.67008126e-06,0.0001263755,"p-value & Log2FC",FALSE
"RP11-277L2.4",-2.20387943,-10.0714204,1.73308263e-06,0.000130437762,"p-value & Log2FC",FALSE
"MAP3K1",-1.1462448,-10.0600561,1.75081473e-06,0.000131067676,"p-value & Log2FC",FALSE
"AIG1",-1.71826542,-10.026563,1.80423846e-06,0.000134348586,"p-value & Log2FC",FALSE
"FAH",2.84291956,10.0094361,1.83224347e-06,0.00013517536,"p-value & Log2FC",FALSE
"PPAP2C",5.10074018,10.003017,1.84286171e-06,0.00013517536,"p-value & Log2FC",FALSE
"EDEM3",-0.918421694,-10.0006562,1.84678382e-06,0.00013517536,"p-value",FALSE
"RGS16",2.97893096,10.007035,1.85396593e-06,0.00013517536,"p-value & Log2FC",FALSE
"IAH1",0.88490785,9.98675814,1.87005876e-06,0.000135642241,"p-value",FALSE
"TNFRSF18",3.68967043,12.8886747,1.88689323e-06,0.000136157827,"p-value & Log2FC",FALSE
"CREM",2.66248284,11.5042805,1.89777017e-06,0.000136240434,"p-value & Log2FC",FALSE
"MYO7A",4.85906943,9.96038367,1.91511441e-06,0.000136784115,"p-value & Log2FC",FALSE
"OASL",2.05577934,10.5753283,1.96298894e-06,0.000139491788,"p-value & Log2FC",FALSE
"MB21D2",2.0058185,9.9209035,1.98479121e-06,0.000140328748,"p-value & Log2FC",FALSE
"KMT2E-AS1",-1.00664303,-9.91227746,2.00038084e-06,0.000140569797,"p-value & Log2FC",FALSE
"FOXP1",-1.44962231,-10.1354949,2.00828341e-06,0.000140569797,"p-value & Log2FC",FALSE
"GIMAP8",-2.06433039,-9.89968054,2.0533666e-06,0.000142967712,"p-value & Log2FC",FALSE
"MPRIP",-1.29369377,-9.87361574,2.07191628e-06,0.000142967712,"p-value & Log2FC",FALSE
"RP11-325F22.2",1.15151646,9.87294598,2.0731799e-06,0.000142967712,"p-value & Log2FC",FALSE
"ATXN7L1",-1.05056681,-9.86531416,2.08763839e-06,0.000143208357,"p-value & Log2FC",FALSE
"FAIM2",2.45824824,9.86033578,2.0971293e-06,0.000143208357,"p-value & Log2FC",FALSE
"CD63",2.08321971,10.8721751,2.11382436e-06,0.000143647705,"p-value & Log2FC",FALSE
"FLOT1",1.36630366,9.84135842,2.13374302e-06,0.000144300814,"p-value & Log2FC",FALSE
"JOSD2",0.808134992,9.80460296,2.20665926e-06,0.000148514533,"p-value",FALSE
"FBLN7",1.33428283,9.77016338,2.27745759e-06,0.000152546071,"p-value & Log2FC",FALSE
"PGK1",1.1527165,9.76082222,2.29708566e-06,0.00015275105,"p-value & Log2FC",FALSE
"VDR",3.81940234,10.3050403,2.302341e-06,0.00015275105,"p-value & Log2FC",FALSE
"CST7",2.05934865,10.6913598,2.34076746e-06,0.000154567942,"p-value & Log2FC",FALSE
"MYO1C",1.58385891,9.72616395,2.37154244e-06,0.000155465286,"p-value & Log2FC",FALSE
"SGCB",1.33103563,9.72386775,2.3765677e-06,0.000155465286,"p-value & Log2FC",FALSE
"DNPH1",0.903460588,9.7021014,2.42478564e-06,0.00015788174,"p-value",FALSE
"IL12RB2",1.63064005,9.86336557,2.48368783e-06,0.000160968268,"p-value & Log2FC",FALSE
"FOSL2",2.17843956,9.66128186,2.55446136e-06,0.00016472378,"p-value & Log2FC",FALSE
"C3AR1",2.24358712,9.85819318,2.56516781e-06,0.00016472378,"p-value & Log2FC",FALSE
"KIF21A",1.85034114,9.59990556,2.6659225e-06,0.000170412096,"p-value & Log2FC",FALSE
"SNX29",-1.48570767,-9.59917174,2.70597949e-06,0.000172186395,"p-value & Log2FC",FALSE
"ITPRIPL1",1.69918647,9.56865199,2.74480618e-06,0.00017350201,"p-value & Log2FC",FALSE
"HLA-DRB1",2.08511729,10.5921475,2.75144268e-06,0.00017350201,"p-value & Log2FC",FALSE
"PDLIM7",2.42889128,9.85970209,2.80561062e-06,0.000176124408,"p-value & Log2FC",FALSE
"SLC40A1",-3.65131762,-9.51310083,2.89138378e-06,0.000180698578,"p-value & Log2FC",FALSE
"CHPF",1.98561787,9.50789459,2.90555303e-06,0.000180777053,"p-value & Log2FC",FALSE
"BST2",0.989581505,9.50224151,2.92102434e-06,0.000180935486,"p-value",FALSE
