donor,tissue,coarse_label,WT_heat_up_AUCell,WT_heat_up_UCell,WT_heat_down_AUCell,WT_heat_down_UCell,n_cells,tissue_s,group
JIA_patient_1,peripheral_blood,Tcon,0.0109176828,0.0135062021,0.0230952652,0.0276531568,2885.0,PB,Tcon PB
JIA_patient_1,peripheral_blood,Treg,0.0126440183,0.0152516567,0.034385111,0.0406939511,2360.0,PB,Treg PB
JIA_patient_1,peripheral_blood,CD8,0.0138750814,0.0173446553,0.0293737594,0.0352301897,2547.0,PB,CD8 PB
JIA_patient_1,synovial_fluid,Tcon,0.0159367478,0.0194141073,0.0263434369,0.0312278976,2851.0,SF,Tcon SF
JIA_patient_1,synovial_fluid,Treg,0.0196111592,0.0230726033,0.041068466,0.0473645376,1761.0,SF,Treg SF
JIA_patient_1,synovial_fluid,CD8,0.0159912283,0.0197697494,0.0369706408,0.0433516493,2787.0,SF,CD8 SF
JIA_patient_2,peripheral_blood,Tcon,0.0118294088,0.0154890257,0.0190721944,0.0241347144,2480.0,PB,Tcon PB
JIA_patient_2,peripheral_blood,Treg,0.0110502736,0.0139437066,0.0269339154,0.0335222459,1271.0,PB,Treg PB
JIA_patient_2,peripheral_blood,CD8,0.0133282728,0.0171936994,0.0199244318,0.0254341835,1637.0,PB,CD8 PB
JIA_patient_2,synovial_fluid,Tcon,0.0163717088,0.0208559731,0.0236766473,0.0292932108,2238.0,SF,Tcon SF
JIA_patient_2,synovial_fluid,Treg,0.0195544567,0.0227848627,0.0368008706,0.0429337313,2669.0,SF,Treg SF
JIA_patient_2,synovial_fluid,CD8,0.0166020897,0.0206588738,0.0324831642,0.0385780883,2545.0,SF,CD8 SF
JIA_patient_3,peripheral_blood,Treg,0.00958595185,0.0119756361,0.0286831867,0.0351000053,1581.0,PB,Treg PB
JIA_patient_3,synovial_fluid,Tcon,0.0156854599,0.0191413008,0.0244861959,0.0297105839,1653.0,SF,Tcon SF
JIA_patient_3,synovial_fluid,Treg,0.0193070828,0.0230855398,0.040211184,0.0472989395,1636.0,SF,Treg SF
JIA_patient_3,synovial_fluid,CD8,0.0183877694,0.0223902635,0.0354773756,0.0419513186,2478.0,SF,CD8 SF
JIA_patient_4,peripheral_blood,Tcon,0.0115598072,0.0153891274,0.0200317699,0.0256591754,2222.0,PB,Tcon PB
JIA_patient_4,peripheral_blood,Treg,0.0120236115,0.0155316301,0.0302770223,0.0380341875,2230.0,PB,Treg PB
JIA_patient_4,peripheral_blood,CD8,0.0132522778,0.0177504884,0.0222936732,0.0291663419,2675.0,PB,CD8 PB
JIA_patient_4,synovial_fluid,Tcon,0.0174378173,0.0217738211,0.0252885317,0.0312648876,2579.0,SF,Tcon SF
JIA_patient_4,synovial_fluid,Treg,0.0177342303,0.0214939982,0.0413261065,0.0487581979,2867.0,SF,Treg SF
JIA_patient_4,synovial_fluid,CD8,0.0170471799,0.0210981467,0.0328527397,0.0395806719,2502.0,SF,CD8 SF
JIA_patient_5,peripheral_blood,Tcon,0.0112364503,0.0148391617,0.0189756483,0.0243899042,3516.0,PB,Tcon PB
JIA_patient_5,peripheral_blood,Treg,0.0102351409,0.0134698862,0.0278788403,0.0353208015,3942.0,PB,Treg PB
JIA_patient_5,peripheral_blood,CD8,0.013812264,0.0182142857,0.0228356964,0.0296524002,2786.0,PB,CD8 PB
JIA_patient_5,synovial_fluid,Tcon,0.0217736271,0.0260811573,0.0279880959,0.032947146,3074.0,SF,Tcon SF
JIA_patient_5,synovial_fluid,CD8,0.0194147234,0.0233332122,0.0372884235,0.042540918,2648.0,SF,CD8 SF
JIA_patient_6,peripheral_blood,Tcon,0.0112960048,0.0116008907,0.0199791468,0.0218650518,4276.0,PB,Tcon PB
JIA_patient_6,peripheral_blood,Treg,0.0111247718,0.0138852429,0.0292015624,0.0358880438,1953.0,PB,Treg PB
JIA_patient_6,peripheral_blood,CD8,0.0139947481,0.0153025396,0.0235429269,0.0270532886,3311.0,PB,CD8 PB
JIA_patient_6,synovial_fluid,Tcon,0.0202425748,0.0230086831,0.0241182978,0.0278301773,4454.0,SF,Tcon SF
JIA_patient_6,synovial_fluid,Treg,0.0216861461,0.0258045284,0.0380685518,0.0450426223,1825.0,SF,Treg SF
JIA_patient_6,synovial_fluid,CD8,0.0194900052,0.0224273286,0.0360272562,0.0404461557,3287.0,SF,CD8 SF
JIA_patient_7,peripheral_blood,Tcon,0.0110786246,0.0149914873,0.0212345752,0.0269194761,3032.0,PB,Tcon PB
JIA_patient_7,peripheral_blood,Treg,0.0108322077,0.0144718034,0.0307222163,0.0383134752,266.0,PB,Treg PB
JIA_patient_7,peripheral_blood,CD8,0.0126295775,0.0171629208,0.0211083327,0.0272502742,2861.0,PB,CD8 PB
JIA_patient_7,synovial_fluid,Tcon,0.0154889137,0.0197085678,0.0244182257,0.0296904255,2653.0,SF,Tcon SF
JIA_patient_7,synovial_fluid,Treg,0.0163399772,0.0196878858,0.0402874869,0.0464298031,2814.0,SF,Treg SF
JIA_patient_7,synovial_fluid,CD8,0.0160732977,0.0204192803,0.0294354648,0.0356398646,2763.0,SF,CD8 SF
