donor,tissue,coarse_label,WT_heat_up_AUCell,WT_heat_up_UCell,WT_heat_down_AUCell,WT_heat_down_UCell,n_cells
JIA_patient_1,peripheral_blood,Tcon,0.011062913077686655,0.013677315082432083,0.023800923233603184,0.028475527772218397,2885
JIA_patient_1,peripheral_blood,Treg,0.012809624176982302,0.015442377019080071,0.035464259610618866,0.041958279238056964,2360
JIA_patient_1,peripheral_blood,CD8,0.014064657030102212,0.017574320504152682,0.030268373939820906,0.03627899406802177,2547
JIA_patient_1,synovial_fluid,Tcon,0.016148305247178023,0.019671990130219294,0.02712778794876493,0.03215041158611922,2851
JIA_patient_1,synovial_fluid,Treg,0.01989711428716897,0.023414445757376896,0.042402814169389534,0.0488863278241018,1761
JIA_patient_1,synovial_fluid,CD8,0.016219778184833306,0.020045164427004387,0.038123058767563764,0.04465875634924043,2787
JIA_patient_2,peripheral_blood,Tcon,0.011990426989542212,0.01568858876299788,0.019601455941897775,0.024751335600984702,2480
JIA_patient_2,peripheral_blood,Treg,0.011184503779603503,0.014096472717805812,0.027760564922203135,0.03452199787633248,1271
JIA_patient_2,peripheral_blood,CD8,0.013505538043458413,0.017423562668474113,0.020446738807333498,0.02606909013194888,1637
JIA_patient_2,synovial_fluid,Tcon,0.016598090834062468,0.021129440538850998,0.024317489992936626,0.03003860118763608,2238
JIA_patient_2,synovial_fluid,Treg,0.01983672077034542,0.02311204504115048,0.037950840500302514,0.044234126502137455,2669
JIA_patient_2,synovial_fluid,CD8,0.016826216780228057,0.020926240497811836,0.03337499744196901,0.03960453601274864,2545
JIA_patient_3,peripheral_blood,Treg,0.009721237566299246,0.012144168773589266,0.029521182015933206,0.03608927381502386,1581
JIA_patient_3,synovial_fluid,Tcon,0.015885055544161638,0.019385840917187085,0.025195482121962216,0.030537633188076913,1653
JIA_patient_3,synovial_fluid,Treg,0.019596184147212294,0.023428661991569504,0.04147772276500622,0.0487442209393801,1636
JIA_patient_3,synovial_fluid,CD8,0.01865303250829444,0.02270703377803195,0.03648767774653058,0.04308612209595498,2478
JIA_patient_4,peripheral_blood,Tcon,0.01166784495116464,0.015520433032012377,0.020603594810263116,0.026355411321461082,2222
JIA_patient_4,peripheral_blood,Treg,0.012148272992225184,0.015674752647090076,0.031186483658108194,0.039135792021419015,2230
JIA_patient_4,peripheral_blood,CD8,0.013411228119162157,0.01795113340691328,0.02290273521273943,0.029918257412608184,2675
JIA_patient_4,synovial_fluid,Tcon,0.017664965350712054,0.022050812275340025,0.026023195478174246,0.03214936352279855,2579
JIA_patient_4,synovial_fluid,Treg,0.017994819026085285,0.021802409091746078,0.04262056586443844,0.050255241997614476,2867
JIA_patient_4,synovial_fluid,CD8,0.01727550471855643,0.021377487370290927,0.03384152973197138,0.0407414663768872,2502
JIA_patient_5,peripheral_blood,Tcon,0.011379485068989564,0.015026520436561035,0.01952040995919333,0.025038950252375337,3516
JIA_patient_5,peripheral_blood,Treg,0.010347696460592283,0.013602187986613534,0.02870523454420553,0.03631281706689861,3942
JIA_patient_5,peripheral_blood,CD8,0.013993670763313586,0.018455494409723897,0.023472897659328286,0.030436531944643165,2786
JIA_patient_5,synovial_fluid,Tcon,0.022094223399287793,0.026473982854151885,0.02877503460670322,0.03385096051454824,3074
JIA_patient_5,synovial_fluid,CD8,0.0196967645541005,0.02366790219974364,0.03847940235742651,0.04388340386181619,2648
JIA_patient_6,peripheral_blood,Tcon,0.011414282671157178,0.011752969906099692,0.020355962766867564,0.022331204703028507,4276
JIA_patient_6,peripheral_blood,Treg,0.011253488860479211,0.014031438530833126,0.03001761729342109,0.0368855697201672,1953
JIA_patient_6,peripheral_blood,CD8,0.014164361816535926,0.015520120295758812,0.024085535878643195,0.0277069460193366,3311
JIA_patient_6,synovial_fluid,Tcon,0.020524071139100403,0.02335346795052827,0.02468846108312276,0.028503764733110448,4454
JIA_patient_6,synovial_fluid,Treg,0.0220054728986285,0.026183597593856724,0.03927265963958946,0.046419279541647915,1825
JIA_patient_6,synovial_fluid,CD8,0.01974414396858847,0.02274044804101391,0.03710731989860091,0.04165865809677806,3287
JIA_patient_7,peripheral_blood,Tcon,0.011212660207518594,0.015162281475135589,0.0218603672855473,0.027656952009213528,3032
JIA_patient_7,peripheral_blood,Treg,0.010947116458583607,0.014613173152594628,0.031674612924164,0.039450187380539445,266
JIA_patient_7,peripheral_blood,CD8,0.012802391264211921,0.01739682564739412,0.021669170760099773,0.027914952422196788,2861
JIA_patient_7,synovial_fluid,Tcon,0.015695644330997387,0.019977840353078983,0.025081977967682405,0.030429683912621984,2653
JIA_patient_7,synovial_fluid,Treg,0.01656743990945059,0.019964412790805693,0.04161227946951671,0.04792977338328336,2814
JIA_patient_7,synovial_fluid,CD8,0.016299589217857846,0.02071035019517136,0.030304909700528532,0.03665830806729262,2763
