lineage,gene,n_cells,median_expr,mean_expr,frac_expressing
CD8,FOXP3,34827.0,0.0,0.0181174595,0.0103080943
CD8,IL2RA,34827.0,0.0,0.0130579406,0.0106239412
CD8,CTLA4,34827.0,0.0,0.145097822,0.112240503
CD8,IKZF2,34827.0,0.0,0.165187418,0.128865535
CD8,CD8A,34827.0,2.40336776,2.22660828,0.92741264
CD8,IL7R,34827.0,1.08093011,1.30262709,0.532001034
Tcon,FOXP3,37913.0,0.0,0.0594561994,0.0384828423
Tcon,IL2RA,37913.0,0.0,0.0726834387,0.0674175085
Tcon,CTLA4,37913.0,0.0,0.220582753,0.175190568
Tcon,IKZF2,37913.0,0.0,0.044543907,0.035607839
Tcon,CD8A,37913.0,0.0,0.00382879609,0.002532113
Tcon,IL7R,37913.0,2.62700391,2.35270929,0.87719252
Treg,FOXP3,27175.0,1.83971441,1.69267619,0.797424103
Treg,IL2RA,27175.0,1.13912845,1.14550614,0.668408464
Treg,CTLA4,27175.0,1.08871126,1.01489151,0.651959522
Treg,IKZF2,27175.0,0.680203319,0.675384283,0.527212511
Treg,CD8A,27175.0,0.0,0.00197105552,0.00165593376
Treg,IL7R,27175.0,0.0,0.662966013,0.426973321
