gene_symbol,log2FoldChange,pvalue,padj,neg_log10_padj,sf_direction,passes_de_gates,arm,hypoxia_purged,le_program,reference_axis,label_drawn,n_genes_tested,n_gates_sf_high_all_genes,n_gates_blood_high_all_genes,contrast,evidence_tier
IFI6,1.58132671,3.38396923e-36,1.16730431e-33,32.9328159,SF_high,True,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
SPATS2L,1.78201414,1.25452959e-25,1.84820958e-23,22.7332488,SF_high,True,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
OASL,2.05724598,1.38956823e-24,1.90802558e-22,21.7194158,SF_high,True,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
LY6E,1.09995724,3.39027293e-23,4.16944609e-21,20.3799216,SF_high,True,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
ANXA1,2.4319369,8.47021066e-18,5.42055155e-16,15.2659565,SF_high,True,not_in_signature,False,not_annotated,sting_specific,True,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
MT2A,1.32452885,1.7294788e-15,8.83033166e-14,13.054023,SF_high,True,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
RSAD2,1.94500421,7.59815408e-12,2.39333392e-10,9.6209967,SF_high,True,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
ISG15,1.15145775,1.30851912e-11,3.96282355e-10,9.40199526,SF_high,True,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
IFI44,1.01611479,3.29295286e-11,9.40853179e-10,9.02647814,SF_high,True,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
ZBTB43,0.82520053,1.63973437e-10,4.0900817e-09,8.38826802,SF_high,False,not_in_signature,False,not_annotated,sting_specific,True,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
ANKRD28,1.67579057,2.02359585e-10,4.90063631e-09,8.30974753,SF_high,True,not_in_signature,False,not_annotated,sting_specific,True,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
OAS1,0.825084001,8.37647894e-10,1.85978872e-08,7.73053639,SF_high,False,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
IFITM3,1.13076174,8.80806373e-09,1.5991328e-07,6.79611547,SF_high,True,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
