gene_symbol,log2FoldChange,pvalue,padj,neg_log10_padj,sf_direction,passes_de_gates,arm,hypoxia_purged,le_program,reference_axis,label_drawn,n_genes_tested,n_gates_sf_high_all_genes,n_gates_blood_high_all_genes,contrast,evidence_tier
LPAR6,-2.00270371,2.90874313e-07,5.28824611e-05,4.27668834,blood_high,True,down,False,not_annotated,none,False,13999.0,860.0,937.0,SF_vs_PB,primary_pseudobulk
RHOB,4.65236598,6.84917362e-07,7.80390708e-05,4.10768791,SF_high,True,down,False,not_annotated,none,False,13999.0,860.0,937.0,SF_vs_PB,primary_pseudobulk
HLA-DRB1,2.08511729,2.75144268e-06,0.00017350201,3.76069549,SF_high,True,down,False,not_annotated,none,False,13999.0,860.0,937.0,SF_vs_PB,primary_pseudobulk
HLA-DRB5,2.01401934,5.77446646e-06,0.000269455853,3.56951238,SF_high,True,down,False,not_annotated,none,False,13999.0,860.0,937.0,SF_vs_PB,primary_pseudobulk
DBP,-1.26263163,1.68662286e-05,0.000505742386,3.29607065,blood_high,True,down,False,not_annotated,none,False,13999.0,860.0,937.0,SF_vs_PB,primary_pseudobulk
NUAK2,-3.29350548,1.76597579e-05,0.000516114721,3.28725375,blood_high,True,down,False,not_annotated,none,False,13999.0,860.0,937.0,SF_vs_PB,primary_pseudobulk
SIDT1,-1.04504068,1.81424477e-05,0.000520206752,3.28382402,blood_high,True,down,False,not_annotated,none,False,13999.0,860.0,937.0,SF_vs_PB,primary_pseudobulk
AK5,-4.18065443,3.59167143e-05,0.000788900824,3.10297759,blood_high,True,down,False,not_annotated,none,False,13999.0,860.0,937.0,SF_vs_PB,primary_pseudobulk
ENTPD1,1.32126914,4.07616684e-05,0.000852948574,3.06907715,SF_high,True,down,False,not_annotated,none,False,13999.0,860.0,937.0,SF_vs_PB,primary_pseudobulk
PDE4A,1.79181159,4.85423364e-05,0.000945928566,3.02414166,SF_high,True,down,False,not_annotated,none,False,13999.0,860.0,937.0,SF_vs_PB,primary_pseudobulk
RBM3,0.52867173,0.000225099211,0.00253625829,2.59580652,SF_high,False,down,False,not_annotated,none,False,13999.0,860.0,937.0,SF_vs_PB,primary_pseudobulk
BMP1,2.04185882,0.000255816183,0.00277089191,2.55738042,SF_high,True,down,False,not_annotated,none,False,13999.0,860.0,937.0,SF_vs_PB,primary_pseudobulk
CEACAM1,2.15383482,0.000335634669,0.00328104637,2.48398763,SF_high,True,down,False,not_annotated,none,False,13999.0,860.0,937.0,SF_vs_PB,primary_pseudobulk
ACSS1,-0.814025523,0.00107668928,0.00697557005,2.1564203,blood_high,False,down,False,not_annotated,none,False,13999.0,860.0,937.0,SF_vs_PB,primary_pseudobulk
FAM167A,2.54186255,0.0011880913,0.0074919325,2.12540614,SF_high,True,down,False,not_annotated,none,False,13999.0,860.0,937.0,SF_vs_PB,primary_pseudobulk
SAMD9L,0.577433008,0.00172228808,0.00975298284,2.01086254,SF_high,False,down,False,not_annotated,none,False,13999.0,860.0,937.0,SF_vs_PB,primary_pseudobulk
