population,hsr_term,level,method,r,pvalue,n,evidence_tier
Treg,HSR_core,cell,spearman,0.18944279,7.25392478e-110,13572.0,secondary_percell
Treg,HSR_core,cell,pearson,0.221890083,5.18570047e-151,13572.0,secondary_percell
Treg,HSR_core,donor_sf_mean,spearman,-0.142857143,0.787172012,6.0,secondary_percell
Treg,HSR_core,donor_sf_mean,pearson,-0.0826634724,0.876287221,6.0,secondary_percell
Treg,HSR_sensitivity,cell,spearman,0.0728549879,1.92818125e-17,13572.0,secondary_percell
Treg,HSR_sensitivity,cell,pearson,0.10999134,8.41390234e-38,13572.0,secondary_percell
Treg,HSR_sensitivity,donor_sf_mean,spearman,-0.485714286,0.328723032,6.0,secondary_percell
Treg,HSR_sensitivity,donor_sf_mean,pearson,-0.165264589,0.754360002,6.0,secondary_percell
Tcon,HSR_core,cell,spearman,0.128458455,1.54920511e-72,19502.0,secondary_percell
Tcon,HSR_core,cell,pearson,0.150676103,2.16613763e-99,19502.0,secondary_percell
Tcon,HSR_core,donor_sf_mean,spearman,0.178571429,0.701657943,7.0,secondary_percell
Tcon,HSR_core,donor_sf_mean,pearson,0.308043744,0.501503106,7.0,secondary_percell
Tcon,HSR_sensitivity,cell,spearman,0.0451464307,2.83594997e-10,19502.0,secondary_percell
Tcon,HSR_sensitivity,cell,pearson,0.0687106206,7.53148666e-22,19502.0,secondary_percell
Tcon,HSR_sensitivity,donor_sf_mean,spearman,0.357142857,0.431611352,7.0,secondary_percell
Tcon,HSR_sensitivity,donor_sf_mean,pearson,0.131615209,0.778493293,7.0,secondary_percell
CD8,HSR_core,cell,spearman,0.10822498,1.24889654e-50,19010.0,secondary_percell
CD8,HSR_core,cell,pearson,0.125125474,3.3900577e-67,19010.0,secondary_percell
CD8,HSR_core,donor_sf_mean,spearman,0.25,0.588724448,7.0,secondary_percell
CD8,HSR_core,donor_sf_mean,pearson,0.431460279,0.333759377,7.0,secondary_percell
CD8,HSR_sensitivity,cell,spearman,0.0417802968,8.27940065e-09,19010.0,secondary_percell
CD8,HSR_sensitivity,cell,pearson,0.0573818385,2.42089463e-15,19010.0,secondary_percell
CD8,HSR_sensitivity,donor_sf_mean,spearman,0.571428571,0.180201989,7.0,secondary_percell
CD8,HSR_sensitivity,donor_sf_mean,pearson,0.451914396,0.308684948,7.0,secondary_percell
