"pathway_id","pathway_name","database","nes","pvalue","padj","set_size","core_enrichment","contrast","direction"
"thermal_proteostasis_up","thermal_proteostasis_up","mouse_projection",NA,NA,NA,2,"","SF_vs_PB_CD8_heat_decomposition","up"
"upr_er_up","upr_er_up","mouse_projection",NA,NA,NA,1,"","SF_vs_PB_CD8_heat_decomposition","up"
"hypoxia_up","hypoxia_up","mouse_projection",1.80567269199549,0.00254572372578403,0.0089100330402441,12,"CDKN1A/ANXA2/SDC4/AK4/ATF3/SERPINE1/P4HA2","SF_vs_PB_CD8_heat_decomposition","up"
"nfkb_tnfa_up","nfkb_tnfa_up","mouse_projection",1.22781952481506,0.188555605242338,0.219981539449394,28,"CDKN1A/SDC4/CCL4/EGR1/CSF2/ATF3/OLR1/CD80/SERPINE1/EGR2/TNFSF9","SF_vs_PB_CD8_heat_decomposition","up"
"ifn_type_i_up","ifn_type_i_up","mouse_projection",NA,NA,NA,1,"","SF_vs_PB_CD8_heat_decomposition","up"
"inflammatory_up","inflammatory_up","mouse_projection",1.48207527262893,0.058429734361611,0.102252035132819,15,"CDKN1A/RGS16/CD70/SGMS2/OLR1/SERPINE1/TNFSF9/GPR183","SF_vs_PB_CD8_heat_decomposition","up"
"t_activation_up","t_activation_up","mouse_projection",1.43765987461219,0.0828049846961084,0.115926978574552,10,"RGS16/CSF2/FAH/SPP1/EOMES/BATF3","SF_vs_PB_CD8_heat_decomposition","up"
"unassigned_up","unassigned_up","mouse_projection",2.09750545625198,5.48642076071543e-06,3.8404945325008e-05,66,"CYSTM1/SEMA4A/OAS3/ATP2B4/CLU/CCL3/ITGA3/FASLG/SPINT1/FAM110C/FAM83G/PLK3/C15orf48/UPP1/PLXNB2/TP73/EMILIN2/CASZ1/ILDR1/ASB2/ADORA2A/SLC4A11/B3GNT5/PAK1/NAB2/DENND3/IL1RN/ZBTB32/ADAM8/EPN2","SF_vs_PB_CD8_heat_decomposition","up"
"nfkb_tnfa_down","nfkb_tnfa_down","mouse_projection",NA,NA,NA,2,"","SF_vs_PB_CD8_heat_decomposition","down"
"ifn_type_i_down","ifn_type_i_down","mouse_projection",NA,NA,NA,3,"","SF_vs_PB_CD8_heat_decomposition","down"
"inflammatory_down","inflammatory_down","mouse_projection",NA,NA,NA,2,"","SF_vs_PB_CD8_heat_decomposition","down"
"t_activation_down","t_activation_down","mouse_projection",1.49174180521914,0.0476666164053076,0.102252035132819,5,"AHR/RHOB/ITGAE","SF_vs_PB_CD8_heat_decomposition","down"
"unassigned_down","unassigned_down","mouse_projection",-1.11865897299815,0.264587499683568,0.264587499683568,47,"CIRBP/SIDT1/PRRT1/MYLIP/BANK1/SGK3/CA11/AK5/AGAP1/PYROXD2/PODN/CNR2/NUAK2","SF_vs_PB_CD8_heat_decomposition","down"
