"pathway_id","pathway_name","database","nes","pvalue","padj","set_size","core_enrichment","contrast","direction"
"thermal_proteostasis_up","thermal_proteostasis_up","mouse_projection",NA,NA,NA,2,"","SF_vs_PB_Tcon_heat_decomposition","up"
"upr_er_up","upr_er_up","mouse_projection",NA,NA,NA,1,"","SF_vs_PB_Tcon_heat_decomposition","up"
"hypoxia_up","hypoxia_up","mouse_projection",2.06843081060209,0.000146435204293323,0.000256261607513315,15,"CDKN1A/SDC4/FOSL2/PLAUR/ANXA2/P4HA2/ATF3/AK4/SERPINE1","SF_vs_PB_Tcon_heat_decomposition","up"
"nfkb_tnfa_up","nfkb_tnfa_up","mouse_projection",2.31606435801193,5.52610642699117e-07,1.93413724944691e-06,31,"CDKN1A/SDC4/FOSL2/CCL4/PLAUR/EGR2/CCL20/ATF3/NR4A1/CSF2/EGR3/TNFSF9/OLR1/EGR1/CD83/SERPINE1/SPHK1/FOSL1/HBEGF","SF_vs_PB_Tcon_heat_decomposition","up"
"ifn_type_i_up","ifn_type_i_up","mouse_projection",NA,NA,NA,1,"","SF_vs_PB_Tcon_heat_decomposition","up"
"inflammatory_up","inflammatory_up","mouse_projection",2.11054395904455,6.50242405955556e-05,0.000151723228056296,17,"RGS16/CDKN1A/CD70/PLAUR/CCL20/TIMP1/TNFSF9/OLR1/SGMS2/SERPINE1/SPHK1/HBEGF","SF_vs_PB_Tcon_heat_decomposition","up"
"t_activation_up","t_activation_up","mouse_projection",1.89316871079026,0.00137220624447828,0.00192108874226959,13,"RGS16/EOMES/CSF2/FAH/BATF3/SPP1/CD83/SCN9A/HK2/TGM2","SF_vs_PB_Tcon_heat_decomposition","up"
"unassigned_up","unassigned_up","mouse_projection",2.2724085156271,1.04045581204444e-07,7.28319068431108e-07,75,"ATP2B4/SEMA4A/CYSTM1/UPP1/CCL3/OAS3/FASLG/ITGA3/PLXNB2/CLU/DENND3/C15orf48/FAM83G/TNFSF14/GFI1/EMILIN2/CAMK2N1/CD53/ADAM8/SPINT1/IL1RN/DAB2/RAB34/FAM110C/C3/TP73/PAK1/CASZ1/OAF/KLRC1/PLK3/TMEM205/B3GNT5/IGF2BP2/PXDC1/DMWD/PLEK2/NEO1/MST1R","SF_vs_PB_Tcon_heat_decomposition","up"
"nfkb_tnfa_down","nfkb_tnfa_down","mouse_projection",NA,NA,NA,2,"","SF_vs_PB_Tcon_heat_decomposition","down"
"ifn_type_i_down","ifn_type_i_down","mouse_projection",NA,NA,NA,3,"","SF_vs_PB_Tcon_heat_decomposition","down"
"inflammatory_down","inflammatory_down","mouse_projection",NA,NA,NA,2,"","SF_vs_PB_Tcon_heat_decomposition","down"
"t_activation_down","t_activation_down","mouse_projection",1.44650018674227,0.0794516824262664,0.0794516824262664,6,"ITGAE/RHOB/AHR/TLR7","SF_vs_PB_Tcon_heat_decomposition","down"
"unassigned_down","unassigned_down","mouse_projection",1.41217930372741,0.0499448944247153,0.0582690434955012,50,"HLA-DRB1/HLA-DRB5/PDE4A/ENTPD1/GALNT10/FAM167A/BMF/CIITA/CEACAM1","SF_vs_PB_Tcon_heat_decomposition","down"
