"pathway_id","pathway_name","database","nes","pvalue","padj","set_size","core_enrichment","contrast","direction"
"thermal_proteostasis_up","thermal_proteostasis_up","mouse_projection",NA,NA,NA,2,"","SF_vs_PB_Treg_heat_decomposition","up"
"upr_er_up","upr_er_up","mouse_projection",NA,NA,NA,1,"","SF_vs_PB_Treg_heat_decomposition","up"
"hypoxia_up","hypoxia_up","mouse_projection",1.93850075697518,0.000169868618826077,0.00039636011059418,10,"CDKN1A/SDC4/FOSL2/ANXA2/PLAUR/AK4/ATF3","SF_vs_PB_Treg_heat_decomposition","up"
"nfkb_tnfa_up","nfkb_tnfa_up","mouse_projection",2.06033487942692,5.10372735896355e-05,0.000178630457563724,24,"CDKN1A/SDC4/CCL4/FOSL2/CD80/NR4A1/CCL20/EGR3/PLAUR/HBEGF/ATF3/EGR2/EGR1/NR4A3","SF_vs_PB_Treg_heat_decomposition","up"
"ifn_type_i_up","ifn_type_i_up","mouse_projection",NA,NA,NA,1,"","SF_vs_PB_Treg_heat_decomposition","up"
"inflammatory_up","inflammatory_up","mouse_projection",1.90000130781758,0.000813263589819419,0.00142321128218398,12,"CDKN1A/TIMP1/CD70/RGS16/LTA/CCL20/PLAUR/HBEGF","SF_vs_PB_Treg_heat_decomposition","up"
"t_activation_up","t_activation_up","mouse_projection",1.12413252463117,0.338461831406973,0.394872136641469,7,"FAH/RGS16/BATF3/HK2","SF_vs_PB_Treg_heat_decomposition","up"
"unassigned_up","unassigned_up","mouse_projection",2.1466161797194,3.5235858361512e-07,2.46651008530584e-06,66,"IL1RN/CYSTM1/SPINT1/FASLG/OAS3/CLU/C15orf48/NAB2/SEMA4A/DENND3/TMEM205/CD53/UPP1/ATP2B4/PLXNB2/TP73/ITGA3/CAMK2N1/FAM83G/FAM110C/EMILIN2/ZBTB32/GFI1/CD40LG/ADAM8/ADORA2A/SLC41A1/MST1R/PLA2G4C/PAK1/ASB2","SF_vs_PB_Treg_heat_decomposition","up"
"nfkb_tnfa_down","nfkb_tnfa_down","mouse_projection",NA,NA,NA,2,"","SF_vs_PB_Treg_heat_decomposition","down"
"ifn_type_i_down","ifn_type_i_down","mouse_projection",NA,NA,NA,3,"","SF_vs_PB_Treg_heat_decomposition","down"
"inflammatory_down","inflammatory_down","mouse_projection",NA,NA,NA,2,"","SF_vs_PB_Treg_heat_decomposition","down"
"t_activation_down","t_activation_down","mouse_projection",1.24031122303793,0.233816499912914,0.327343099878079,5,"RHOB/ITGAE/AHR","SF_vs_PB_Treg_heat_decomposition","down"
"unassigned_down","unassigned_down","mouse_projection",0.945766920051857,0.548397360752922,0.548397360752922,47,"HLA-DRB1/HLA-DRB5/ENTPD1/PDE4A/CEACAM1/RBM3","SF_vs_PB_Treg_heat_decomposition","down"
