gene,mouse_arm,n_subcomponents,subcomponents
ABCB4,WT_heat_down,0,unassigned
ABCC8,WT_heat_down,0,unassigned
ABI3,WT_heat_down,0,unassigned
ACCS,WT_heat_down,0,unassigned
ACSS1,WT_heat_down,0,unassigned
ADAMTS18,WT_heat_down,0,unassigned
ADAMTSL2,WT_heat_down,0,unassigned
AGAP1,WT_heat_down,0,unassigned
AHR,WT_heat_down,2,inflammatory;t_activation
AK5,WT_heat_down,0,unassigned
ARHGAP24,WT_heat_down,0,unassigned
ARL5C,WT_heat_down,0,unassigned
ARSB,WT_heat_down,0,unassigned
BANK1,WT_heat_down,0,unassigned
BMF,WT_heat_down,0,unassigned
BMP1,WT_heat_down,0,unassigned
CA11,WT_heat_down,0,unassigned
CAPN3,WT_heat_down,1,t_activation
CCDC125,WT_heat_down,0,unassigned
CD1D,WT_heat_down,0,unassigned
CD40,WT_heat_down,1,inflammatory
CEACAM1,WT_heat_down,0,unassigned
CHAD,WT_heat_down,0,unassigned
CIITA,WT_heat_down,0,unassigned
CIRBP,WT_heat_down,0,unassigned
CNR2,WT_heat_down,0,unassigned
CRACR2A,WT_heat_down,0,unassigned
CST6,WT_heat_down,0,unassigned
CYSRT1,WT_heat_down,0,unassigned
DBP,WT_heat_down,0,unassigned
DIO2,WT_heat_down,0,unassigned
DMXL2,WT_heat_down,0,unassigned
DYRK4,WT_heat_down,0,unassigned
ENTPD1,WT_heat_down,0,unassigned
EPHB2,WT_heat_down,0,unassigned
FAM167A,WT_heat_down,0,unassigned
FMNL2,WT_heat_down,0,unassigned
FUT2,WT_heat_down,0,unassigned
GAL,WT_heat_down,0,unassigned
GALNT10,WT_heat_down,0,unassigned
GBP2,WT_heat_down,1,ifn_type_i
GBP6,WT_heat_down,0,unassigned
HLA-DRB1,WT_heat_down,0,unassigned
HLA-DRB5,WT_heat_down,0,unassigned
HPGDS,WT_heat_down,0,unassigned
IKZF2,WT_heat_down,1,t_activation
ITGAE,WT_heat_down,1,t_activation
KCNIP3,WT_heat_down,0,unassigned
LPAR6,WT_heat_down,1,ifn_type_i
LRP4,WT_heat_down,0,unassigned
LZTS1,WT_heat_down,0,unassigned
MPEG1,WT_heat_down,0,unassigned
MS4A6A,WT_heat_down,0,unassigned
MYH15,WT_heat_down,0,unassigned
MYL10,WT_heat_down,0,unassigned
MYLIP,WT_heat_down,0,unassigned
NACC2,WT_heat_down,0,unassigned
NCMAP,WT_heat_down,0,unassigned
NOD1,WT_heat_down,0,unassigned
NRGN,WT_heat_down,0,unassigned
NSG2,WT_heat_down,0,unassigned
NTN5,WT_heat_down,0,unassigned
NUAK2,WT_heat_down,0,unassigned
OR2V1,WT_heat_down,0,unassigned
PDE2A,WT_heat_down,0,unassigned
PDE4A,WT_heat_down,0,unassigned
PIGR,WT_heat_down,0,unassigned
PIGZ,WT_heat_down,0,unassigned
PIK3IP1,WT_heat_down,0,unassigned
PLEKHD1,WT_heat_down,0,unassigned
PODN,WT_heat_down,0,unassigned
PRRT1,WT_heat_down,0,unassigned
PYROXD2,WT_heat_down,0,unassigned
RAB19,WT_heat_down,0,unassigned
RASL11B,WT_heat_down,0,unassigned
RBM3,WT_heat_down,0,unassigned
RHOB,WT_heat_down,2,nfkb_tnfa;t_activation
RNASEL,WT_heat_down,0,unassigned
RNF122,WT_heat_down,0,unassigned
RNF208,WT_heat_down,0,unassigned
RUNDC3A,WT_heat_down,0,unassigned
SAMD9L,WT_heat_down,1,ifn_type_i
SGK3,WT_heat_down,0,unassigned
SIDT1,WT_heat_down,0,unassigned
SIX1,WT_heat_down,0,unassigned
SLC2A9,WT_heat_down,0,unassigned
SLC34A3,WT_heat_down,0,unassigned
SNN,WT_heat_down,1,nfkb_tnfa
SPIN2A,WT_heat_down,0,unassigned
ST8SIA1,WT_heat_down,0,unassigned
STAP2,WT_heat_down,0,unassigned
TAC3,WT_heat_down,0,unassigned
TASL,WT_heat_down,0,unassigned
TLR7,WT_heat_down,1,t_activation
TSPAN7,WT_heat_down,0,unassigned
UPK1B,WT_heat_down,0,unassigned
ACTBL2,WT_heat_up,0,unassigned
ADAM8,WT_heat_up,0,unassigned
ADCY4,WT_heat_up,0,unassigned
ADM,WT_heat_up,2,hypoxia;inflammatory
ADORA2A,WT_heat_up,0,unassigned
ADORA2B,WT_heat_up,2,hypoxia;inflammatory
AK4,WT_heat_up,1,hypoxia
ALDH1A2,WT_heat_up,0,unassigned
ANKRD33B,WT_heat_up,0,unassigned
ANO1,WT_heat_up,0,unassigned
ANXA2,WT_heat_up,1,hypoxia
ANXA3,WT_heat_up,0,unassigned
APLP1,WT_heat_up,1,t_activation
AREG,WT_heat_up,1,nfkb_tnfa
ARHGEF25,WT_heat_up,0,unassigned
ASB2,WT_heat_up,0,unassigned
ATF3,WT_heat_up,3,upr_er;hypoxia;nfkb_tnfa
ATP2B4,WT_heat_up,0,unassigned
AVPR1A,WT_heat_up,0,unassigned
B3GNT5,WT_heat_up,0,unassigned
BATF3,WT_heat_up,1,t_activation
BCAM,WT_heat_up,0,unassigned
BCL6B,WT_heat_up,0,unassigned
BICD1,WT_heat_up,0,unassigned
C11orf86,WT_heat_up,0,unassigned
C15orf48,WT_heat_up,0,unassigned
C22orf15,WT_heat_up,0,unassigned
C3,WT_heat_up,0,unassigned
CALCA,WT_heat_up,0,unassigned
CAMK2N1,WT_heat_up,0,unassigned
CASZ1,WT_heat_up,0,unassigned
CCL20,WT_heat_up,2,nfkb_tnfa;inflammatory
CCL22,WT_heat_up,1,inflammatory
CCL3,WT_heat_up,0,unassigned
CCL4,WT_heat_up,1,nfkb_tnfa
CCN1,WT_heat_up,2,hypoxia;nfkb_tnfa
CD200,WT_heat_up,0,unassigned
CD40LG,WT_heat_up,0,unassigned
CD53,WT_heat_up,0,unassigned
CD70,WT_heat_up,1,inflammatory
CD80,WT_heat_up,1,nfkb_tnfa
CD83,WT_heat_up,2,nfkb_tnfa;t_activation
CDKN1A,WT_heat_up,3,hypoxia;nfkb_tnfa;inflammatory
CLDN4,WT_heat_up,0,unassigned
CLU,WT_heat_up,0,unassigned
CPM,WT_heat_up,0,unassigned
CPNE6,WT_heat_up,0,unassigned
CRABP2,WT_heat_up,0,unassigned
CSF2,WT_heat_up,2,nfkb_tnfa;t_activation
CTH,WT_heat_up,0,unassigned
CYSTM1,WT_heat_up,0,unassigned
DAB2,WT_heat_up,0,unassigned
DAGLA,WT_heat_up,0,unassigned
DENND3,WT_heat_up,0,unassigned
DMWD,WT_heat_up,0,unassigned
DNAH7,WT_heat_up,0,unassigned
DYNLT2B,WT_heat_up,0,unassigned
EBF1,WT_heat_up,0,unassigned
EGFR,WT_heat_up,1,hypoxia
EGR1,WT_heat_up,1,nfkb_tnfa
EGR2,WT_heat_up,1,nfkb_tnfa
EGR3,WT_heat_up,1,nfkb_tnfa
EHD2,WT_heat_up,0,unassigned
EMILIN2,WT_heat_up,0,unassigned
EOMES,WT_heat_up,1,t_activation
EPCAM,WT_heat_up,0,unassigned
EPHA2,WT_heat_up,0,unassigned
EPN2,WT_heat_up,0,unassigned
ESYT3,WT_heat_up,0,unassigned
F3,WT_heat_up,3,hypoxia;nfkb_tnfa;inflammatory
FAH,WT_heat_up,1,t_activation
FAM110C,WT_heat_up,0,unassigned
FAM83G,WT_heat_up,0,unassigned
FASLG,WT_heat_up,0,unassigned
FHIP1A,WT_heat_up,0,unassigned
FOSL1,WT_heat_up,1,nfkb_tnfa
FOSL2,WT_heat_up,2,hypoxia;nfkb_tnfa
GAP43,WT_heat_up,0,unassigned
GARIN3,WT_heat_up,0,unassigned
GATM,WT_heat_up,0,unassigned
GDF6,WT_heat_up,0,unassigned
GFI1,WT_heat_up,0,unassigned
GFPT2,WT_heat_up,1,nfkb_tnfa
GJA5,WT_heat_up,0,unassigned
GPR183,WT_heat_up,2,nfkb_tnfa;inflammatory
GPRC5A,WT_heat_up,0,unassigned
GPRIN2,WT_heat_up,0,unassigned
GRP,WT_heat_up,0,unassigned
HAVCR1,WT_heat_up,0,unassigned
HBEGF,WT_heat_up,2,nfkb_tnfa;inflammatory
HK2,WT_heat_up,2,hypoxia;t_activation
HSPA1A,WT_heat_up,1,hsr_curated
HSPG2,WT_heat_up,0,unassigned
HSPH1,WT_heat_up,1,hsr_curated
IDI2,WT_heat_up,0,unassigned
IER3,WT_heat_up,2,hypoxia;nfkb_tnfa
IGF2BP2,WT_heat_up,0,unassigned
IGKC,WT_heat_up,0,unassigned
IL17F,WT_heat_up,0,unassigned
IL1A,WT_heat_up,2,nfkb_tnfa;inflammatory
IL1RN,WT_heat_up,0,unassigned
IL2,WT_heat_up,0,unassigned
IL23A,WT_heat_up,1,nfkb_tnfa
IL24,WT_heat_up,0,unassigned
IL3,WT_heat_up,0,unassigned
IL9,WT_heat_up,0,unassigned
ILDR1,WT_heat_up,0,unassigned
INHBA,WT_heat_up,2,nfkb_tnfa;inflammatory
IRF6,WT_heat_up,1,t_activation
ITGA3,WT_heat_up,0,unassigned
KDM6B,WT_heat_up,1,nfkb_tnfa
KLRC1,WT_heat_up,0,unassigned
LAMC2,WT_heat_up,0,unassigned
LTA,WT_heat_up,1,inflammatory
MAB21L3,WT_heat_up,0,unassigned
MCF2L,WT_heat_up,0,unassigned
MOCOS,WT_heat_up,0,unassigned
MST1R,WT_heat_up,0,unassigned
MYO16,WT_heat_up,0,unassigned
NAB2,WT_heat_up,0,unassigned
NEB,WT_heat_up,0,unassigned
NEO1,WT_heat_up,0,unassigned
NOTCH3,WT_heat_up,0,unassigned
NPPC,WT_heat_up,0,unassigned
NPR3,WT_heat_up,0,unassigned
NR4A1,WT_heat_up,1,nfkb_tnfa
NR4A2,WT_heat_up,1,nfkb_tnfa
NR4A3,WT_heat_up,1,nfkb_tnfa
OAF,WT_heat_up,0,unassigned
OAS3,WT_heat_up,0,unassigned
OLR1,WT_heat_up,2,nfkb_tnfa;inflammatory
OPHN1,WT_heat_up,0,unassigned
P4HA2,WT_heat_up,1,hypoxia
PAK1,WT_heat_up,0,unassigned
PDGFB,WT_heat_up,1,hypoxia
PIK3AP1,WT_heat_up,0,unassigned
PKIB,WT_heat_up,0,unassigned
PLA1A,WT_heat_up,0,unassigned
PLA2G4C,WT_heat_up,0,unassigned
PLAUR,WT_heat_up,3,hypoxia;nfkb_tnfa;inflammatory
PLEK,WT_heat_up,1,nfkb_tnfa
PLEK2,WT_heat_up,0,unassigned
PLK2,WT_heat_up,1,nfkb_tnfa
PLK3,WT_heat_up,0,unassigned
PLXNB2,WT_heat_up,0,unassigned
PPEF1,WT_heat_up,0,unassigned
PROCR,WT_heat_up,1,ifn_type_i
PTGER2,WT_heat_up,2,inflammatory;t_activation
PTGS2,WT_heat_up,1,nfkb_tnfa
PTPN5,WT_heat_up,0,unassigned
PXDC1,WT_heat_up,0,unassigned
RAB34,WT_heat_up,0,unassigned
RGS16,WT_heat_up,2,inflammatory;t_activation
RIPK4,WT_heat_up,0,unassigned
RNF152,WT_heat_up,0,unassigned
S1PR3,WT_heat_up,0,unassigned
SAMD4A,WT_heat_up,0,unassigned
SCN9A,WT_heat_up,1,t_activation
SDC1,WT_heat_up,0,unassigned
SDC4,WT_heat_up,2,hypoxia;nfkb_tnfa
SEMA4A,WT_heat_up,0,unassigned
SERPINE1,WT_heat_up,3,hypoxia;nfkb_tnfa;inflammatory
SGMS2,WT_heat_up,1,inflammatory
SH3GL3,WT_heat_up,0,unassigned
SH3PXD2B,WT_heat_up,0,unassigned
SIX5,WT_heat_up,0,unassigned
SLC13A3,WT_heat_up,0,unassigned
SLC35D3,WT_heat_up,0,unassigned
SLC41A1,WT_heat_up,0,unassigned
SLC4A11,WT_heat_up,0,unassigned
SP7,WT_heat_up,0,unassigned
SPHK1,WT_heat_up,2,nfkb_tnfa;inflammatory
SPINT1,WT_heat_up,0,unassigned
SPP1,WT_heat_up,1,t_activation
SPRY1,WT_heat_up,0,unassigned
SRXN1,WT_heat_up,0,unassigned
SSPOP,WT_heat_up,0,unassigned
STRA6,WT_heat_up,0,unassigned
SYT15,WT_heat_up,0,unassigned
TAL2,WT_heat_up,0,unassigned
TANC2,WT_heat_up,0,unassigned
TEX15,WT_heat_up,0,unassigned
TGM1,WT_heat_up,0,unassigned
TGM2,WT_heat_up,2,hypoxia;t_activation
TIMP1,WT_heat_up,1,inflammatory
TMEFF2,WT_heat_up,0,unassigned
TMEM125,WT_heat_up,0,unassigned
TMEM205,WT_heat_up,0,unassigned
TNFRSF11B,WT_heat_up,0,unassigned
TNFSF11,WT_heat_up,1,t_activation
TNFSF14,WT_heat_up,0,unassigned
TNFSF9,WT_heat_up,2,nfkb_tnfa;inflammatory
TP73,WT_heat_up,0,unassigned
TRPM6,WT_heat_up,0,unassigned
TTC39C,WT_heat_up,0,unassigned
UAP1,WT_heat_up,0,unassigned
UPP1,WT_heat_up,0,unassigned
VILL,WT_heat_up,0,unassigned
WNT3,WT_heat_up,0,unassigned
YAP1,WT_heat_up,0,unassigned
ZBTB32,WT_heat_up,0,unassigned
ZNF583,WT_heat_up,0,unassigned
