subcomponent,curated_set,role,mouse_arm,n_curated_set,n_mouse_arm,n_intersect,frac_of_mouse_arm,frac_of_curated_set,genes
thermal_proteostasis,HSR_core,canonical HSF1 / co-chaperone thermal core,WT_heat_up,56.0,199,2,0.010050251256281407,0.03571428571428571,HSPA1A;HSPH1
upr_er,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,ER-side proteostasis,WT_heat_up,113.0,199,1,0.005025125628140704,0.008849557522123894,ATF3
hypoxia,HALLMARK_HYPOXIA,"the niche's other stress, co-exposure with joint temperature",WT_heat_up,200.0,199,18,0.09045226130653267,0.09,ADM;ADORA2B;AK4;ANXA2;ATF3;CCN1;CDKN1A;EGFR;F3;FOSL2;HK2;IER3;P4HA2;PDGFB;PLAUR;SDC4;SERPINE1;TGM2
nfkb_tnfa,HALLMARK_TNFA_SIGNALING_VIA_NFKB,TNFA / NF-kB inflammatory signalling,WT_heat_up,200.0,199,35,0.17587939698492464,0.175,AREG;ATF3;CCL20;CCL4;CCN1;CD80;CD83;CDKN1A;CSF2;EGR1;EGR2;EGR3;F3;FOSL1;FOSL2;GFPT2;GPR183;HBEGF;IER3;IL1A;IL23A;INHBA;KDM6B;NR4A1;NR4A2;NR4A3;OLR1;PLAUR;PLEK;PLK2;PTGS2;SDC4;SERPINE1;SPHK1;TNFSF9
ifn_type_i,HALLMARK_INTERFERON_ALPHA_RESPONSE,"type-I interferon, the cGAS/STING-adjacent arm",WT_heat_up,97.0,199,1,0.005025125628140704,0.010309278350515464,PROCR
inflammatory,HALLMARK_INFLAMMATORY_RESPONSE,broad inflammatory response,WT_heat_up,200.0,199,21,0.10552763819095477,0.105,ADM;ADORA2B;CCL20;CCL22;CD70;CDKN1A;F3;GPR183;HBEGF;IL1A;INHBA;LTA;OLR1;PLAUR;PTGER2;RGS16;SERPINE1;SGMS2;SPHK1;TIMP1;TNFSF9
t_activation,HALLMARK_IL2_STAT5_SIGNALING,T-cell activation / IL2-STAT5 growth signalling,WT_heat_up,199.0,199,14,0.07035175879396985,0.07035175879396985,APLP1;BATF3;CD83;CSF2;EOMES;FAH;HK2;IRF6;PTGER2;RGS16;SCN9A;SPP1;TGM2;TNFSF11
unassigned,(none),the part of the mouse arm no curated presumption claims,WT_heat_up,,199,137,0.6884422110552764,,ACTBL2;ADAM8;ADCY4;ADORA2A;ALDH1A2;ANKRD33B;ANO1;ANXA3;ARHGEF25;ASB2;ATP2B4;AVPR1A;B3GNT5;BCAM;BCL6B;BICD1;C11orf86;C15orf48;C22orf15;C3;CALCA;CAMK2N1;CASZ1;CCL3;CD200;CD40LG;CD53;CLDN4;CLU;CPM;CPNE6;CRABP2;CTH;CYSTM1;DAB2;DAGLA;DENND3;DMWD;DNAH7;EBF1;EHD2;EMILIN2;EPCAM;EPHA2;EPN2;ESYT3;FAM110C;FAM83G;FASLG;GAP43;GATM;GDF6;GFI1;GJA5;GPRC5A;GPRIN2;GRP;HAVCR1;HSPG2;IDI2;IGF2BP2;IGKC;IL17F;IL1RN;IL2;IL24;IL3;IL9;ILDR1;ITGA3;KLRC1;LAMC2;MAB21L3;MCF2L;MOCOS;MST1R;MYO16;NAB2;NEB;NEO1;NOTCH3;NPPC;NPR3;OAF;OAS3;OPHN1;PAK1;PIK3AP1;PKIB;PLA1A;PLA2G4C;PLEK2;PLK3;PLXNB2;PPEF1;PTPN5;PXDC1;RAB34;RIPK4;RNF152;S1PR3;SAMD4A;SDC1;SEMA4A;SH3GL3;SH3PXD2B;SIX5;SLC13A3;SLC35D3;SLC41A1;SLC4A11;SP7;SPINT1;SPRY1;SRXN1;SSPOP;STRA6;SYT15;TAL2;TANC2;TEX15;TGM1;TMEFF2;TMEM125;TMEM205;TNFRSF11B;TNFSF14;TP73;TRPM6;TTC39C;UAP1;UPP1;VILL;WNT3;YAP1;ZBTB32;ZNF583
thermal_proteostasis,HSR_core,canonical HSF1 / co-chaperone thermal core,WT_heat_down,56.0,94,0,0.0,0.0,
upr_er,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,ER-side proteostasis,WT_heat_down,113.0,94,0,0.0,0.0,
hypoxia,HALLMARK_HYPOXIA,"the niche's other stress, co-exposure with joint temperature",WT_heat_down,200.0,94,0,0.0,0.0,
nfkb_tnfa,HALLMARK_TNFA_SIGNALING_VIA_NFKB,TNFA / NF-kB inflammatory signalling,WT_heat_down,200.0,94,2,0.02127659574468085,0.01,RHOB;SNN
ifn_type_i,HALLMARK_INTERFERON_ALPHA_RESPONSE,"type-I interferon, the cGAS/STING-adjacent arm",WT_heat_down,97.0,94,3,0.031914893617021274,0.030927835051546393,GBP2;LPAR6;SAMD9L
inflammatory,HALLMARK_INFLAMMATORY_RESPONSE,broad inflammatory response,WT_heat_down,200.0,94,2,0.02127659574468085,0.01,AHR;CD40
t_activation,HALLMARK_IL2_STAT5_SIGNALING,T-cell activation / IL2-STAT5 growth signalling,WT_heat_down,199.0,94,6,0.06382978723404255,0.03015075376884422,AHR;CAPN3;IKZF2;ITGAE;RHOB;TLR7
unassigned,(none),the part of the mouse arm no curated presumption claims,WT_heat_down,,94,83,0.8829787234042553,,ABCB4;ABCC8;ABI3;ACCS;ACSS1;ADAMTS18;ADAMTSL2;AGAP1;AK5;ARHGAP24;ARL5C;ARSB;BANK1;BMF;BMP1;CA11;CCDC125;CD1D;CEACAM1;CHAD;CIITA;CIRBP;CNR2;CRACR2A;CST6;CYSRT1;DBP;DIO2;DMXL2;DYRK4;ENTPD1;EPHB2;FAM167A;FMNL2;FUT2;GAL;GALNT10;GBP6;HLA-DRB1;HLA-DRB5;HPGDS;KCNIP3;LRP4;LZTS1;MPEG1;MS4A6A;MYH15;MYL10;MYLIP;NACC2;NCMAP;NOD1;NRGN;NSG2;NTN5;NUAK2;PDE2A;PDE4A;PIGR;PIGZ;PIK3IP1;PLEKHD1;PODN;PRRT1;PYROXD2;RAB19;RASL11B;RBM3;RNASEL;RNF122;RNF208;RUNDC3A;SGK3;SIDT1;SIX1;SLC2A9;SLC34A3;SPIN2A;ST8SIA1;STAP2;TAC3;TSPAN7;UPK1B
