signature,tissue,coarse_label,n_cells,n_donors,mean_auc,std_auc,median_auc,q25_auc,q75_auc,iqr_auc,set_size_nominal,set_size_effective,power_band,interpretable_at_percell,evidence_tier
WT_heat_up,synovial_fluid,Treg,13572.0,6.0,0.0190402515,0.00719392168,0.0186673797,0.0142183161,0.0232472558,0.00902893976,199.0,174.0,testable,True,secondary_percell
WT_heat_up,peripheral_blood,Treg,13603.0,7.0,0.0112171403,0.00544791279,0.0108445027,0.00735425184,0.0146970037,0.00734275184,199.0,174.0,testable,True,secondary_percell
Interaction_up,synovial_fluid,Treg,13572.0,6.0,0.12453881,0.114826393,0.0987996307,0.0271731961,0.192191004,0.165017808,7.0,7.0,underpowered_reported,False,secondary_percell
Interaction_up,peripheral_blood,Treg,13603.0,7.0,0.0716562626,0.0831208549,0.0524996702,0.0,0.108297058,0.108297058,7.0,7.0,underpowered_reported,False,secondary_percell
Interaction_fdrOnly_up,synovial_fluid,Treg,13572.0,6.0,0.115547394,0.0753405154,0.099200825,0.0605310647,0.157153906,0.0966228409,18.0,18.0,testable,True,secondary_percell
Interaction_fdrOnly_up,peripheral_blood,Treg,13603.0,7.0,0.069707437,0.0556305601,0.0597061098,0.0330497551,0.0939417376,0.0608919825,18.0,18.0,testable,True,secondary_percell
HALLMARK_HYPOXIA,synovial_fluid,Treg,13572.0,6.0,0.0973590685,0.0147380496,0.0970520231,0.0878309249,0.106945087,0.0191141618,200.0,173.0,testable,True,secondary_percell
HALLMARK_HYPOXIA,peripheral_blood,Treg,13603.0,7.0,0.0735839162,0.0138024237,0.0732080925,0.0646069364,0.0824248555,0.0178179191,200.0,173.0,testable,True,secondary_percell
WT_heat_up_purged_hypoxia,synovial_fluid,Treg,13572.0,6.0,0.0154563349,0.00704226751,0.0150045544,0.0104956497,0.0196500927,0.00915444294,181.0,158.0,testable,True,secondary_percell
WT_heat_up_purged_hypoxia,peripheral_blood,Treg,13603.0,7.0,0.00918966945,0.00514576579,0.00876338851,0.00547476207,0.0122875899,0.00681282784,181.0,158.0,testable,True,secondary_percell
