signature,tissue,coarse_label,n_cells,n_donors,mean_auc,std_auc,median_auc,q25_auc,q75_auc,iqr_auc,set_size_nominal,set_size_effective,power_band,interpretable_at_percell,evidence_tier
WT_heat_up,synovial_fluid,Treg,13572,6,0.018767641800674546,0.007080855371108245,0.01839554815846385,0.0140223950726311,0.0229158882737226,0.008893493201091498,202,177,testable,True,secondary_percell
WT_heat_up,peripheral_blood,Treg,13603,7,0.011086363036369009,0.005378350212719717,0.0107163479501376,0.0072574527586245,0.0145035834380626,0.0072461306794381,202,177,testable,True,secondary_percell
Interaction_up,synovial_fluid,Treg,13572,6,0.12453881030153836,0.11482639343389915,0.0987996306555863,0.0271731961482654,0.192191003825353,0.1650178076770876,7,7,underpowered_reported,False,secondary_percell
Interaction_up,peripheral_blood,Treg,13603,7,0.07165626257614073,0.08312085492924368,0.0524996702282021,0.0,0.108297058435563,0.108297058435563,7,7,underpowered_reported,False,secondary_percell
Interaction_fdrOnly_up,synovial_fluid,Treg,13572,6,0.11104107751125836,0.07277553956252032,0.0950984704100083,0.058092655035918504,0.150515564677711,0.09242290964179248,19,19,testable,True,secondary_percell
Interaction_fdrOnly_up,peripheral_blood,Treg,13603,7,0.06777249869232337,0.0537058776664442,0.0580560035185457,0.0325465474270635,0.0912867126032351,0.05874016517617161,19,19,testable,True,secondary_percell
HALLMARK_HYPOXIA,synovial_fluid,Treg,13572,6,0.09502201710444129,0.014391103365899079,0.0947312100475909,0.08575230210357353,0.104446509532258,0.018694207428684467,200,178,testable,True,secondary_percell
HALLMARK_HYPOXIA,peripheral_blood,Treg,13603,7,0.0717934385484761,0.01344598120416485,0.0714426515727521,0.0630677818140858,0.0804201515023514,0.017352369688265604,200,178,testable,True,secondary_percell
WT_heat_up_purged_hypoxia,synovial_fluid,Treg,13572,6,0.015214910914178564,0.00692040276747831,0.0147561833965153,0.0103416766481854,0.019343565933591,0.0090018892854056,184,161,testable,True,secondary_percell
WT_heat_up_purged_hypoxia,peripheral_blood,Treg,13603,7,0.009078526993814744,0.005073976592512713,0.008656137707914,0.0054023683983058,0.01215378536236,0.0067514169640542,184,161,testable,True,secondary_percell
