arm,gate,n_arm,program,curated_set,n_curated_set,n_intersect,frac_of_arm,weight_fractional_sum,frac_of_arm_fractional,band_order,arm_n_claimed,arm_n_unassigned,arm_n_claims_total,arm_n_excess_claims,arm_max_lenses_per_gene,is_partition,measurement,evidence_tier
WT_heat_up,fdr_logfc,199.0,nfkb_tnfa,HALLMARK_TNFA_SIGNALING_VIA_NFKB,200.0,35.0,0.175879397,24.0,0.120603015,0.0,67.0,132.0,100.0,33.0,4.0,False,membership_not_enrichment,secondary_annotation
WT_heat_up,fdr_logfc,199.0,inflammatory,HALLMARK_INFLAMMATORY_RESPONSE,200.0,21.0,0.105527638,12.25,0.0615577889,1.0,67.0,132.0,100.0,33.0,4.0,False,membership_not_enrichment,secondary_annotation
WT_heat_up,fdr_logfc,199.0,t_activation,HALLMARK_IL2_STAT5_SIGNALING,199.0,14.0,0.0703517588,11.0,0.0552763819,2.0,67.0,132.0,100.0,33.0,4.0,False,membership_not_enrichment,secondary_annotation
WT_heat_up,fdr_logfc,199.0,hypoxia,HALLMARK_HYPOXIA,200.0,18.0,0.0904522613,10.5,0.0527638191,3.0,67.0,132.0,100.0,33.0,4.0,False,membership_not_enrichment,secondary_annotation
WT_heat_up,fdr_logfc,199.0,ifn_generic_axis,ifn_only_up,200.0,6.0,0.0301507538,5.25,0.0263819095,4.0,67.0,132.0,100.0,33.0,4.0,False,membership_not_enrichment,secondary_annotation
WT_heat_up,fdr_logfc,199.0,ifn_type_i,HALLMARK_INTERFERON_ALPHA_RESPONSE,97.0,1.0,0.00502512563,1.0,0.00502512563,5.0,67.0,132.0,100.0,33.0,4.0,False,membership_not_enrichment,secondary_annotation
WT_heat_up,fdr_logfc,199.0,hsr_curated,HSR_core,56.0,2.0,0.0100502513,2.0,0.0100502513,6.0,67.0,132.0,100.0,33.0,4.0,False,membership_not_enrichment,secondary_annotation
WT_heat_up,fdr_logfc,199.0,sting_specific_published,de_Cevins_sting_specific_up,21.0,2.0,0.0100502513,0.75,0.00376884422,7.0,67.0,132.0,100.0,33.0,4.0,False,membership_not_enrichment,secondary_annotation
WT_heat_up,fdr_logfc,199.0,upr_er,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,113.0,1.0,0.00502512563,0.25,0.00125628141,8.0,67.0,132.0,100.0,33.0,4.0,False,membership_not_enrichment,secondary_annotation
WT_heat_up,fdr_logfc,199.0,unassigned,(none),0.0,132.0,0.663316583,132.0,0.663316583,9.0,67.0,132.0,100.0,33.0,4.0,False,membership_not_enrichment,secondary_annotation
