arm,gate,program,curated_set,gene,n_programs_for_gene,weight_fractional
WT_heat_up,fdr_logfc,hypoxia,HALLMARK_HYPOXIA,ADM,2,0.5
WT_heat_up,fdr_logfc,hypoxia,HALLMARK_HYPOXIA,ADORA2B,2,0.5
WT_heat_up,fdr_logfc,hypoxia,HALLMARK_HYPOXIA,AK4,1,1.0
WT_heat_up,fdr_logfc,hypoxia,HALLMARK_HYPOXIA,ANXA2,1,1.0
WT_heat_up,fdr_logfc,hypoxia,HALLMARK_HYPOXIA,ATF3,4,0.25
WT_heat_up,fdr_logfc,hypoxia,HALLMARK_HYPOXIA,CCN1,2,0.5
WT_heat_up,fdr_logfc,hypoxia,HALLMARK_HYPOXIA,CDKN1A,3,0.3333333333333333
WT_heat_up,fdr_logfc,hypoxia,HALLMARK_HYPOXIA,EGFR,1,1.0
WT_heat_up,fdr_logfc,hypoxia,HALLMARK_HYPOXIA,F3,3,0.3333333333333333
WT_heat_up,fdr_logfc,hypoxia,HALLMARK_HYPOXIA,FOSL2,2,0.5
WT_heat_up,fdr_logfc,hypoxia,HALLMARK_HYPOXIA,HK2,2,0.5
WT_heat_up,fdr_logfc,hypoxia,HALLMARK_HYPOXIA,IER3,2,0.5
WT_heat_up,fdr_logfc,hypoxia,HALLMARK_HYPOXIA,P4HA2,1,1.0
WT_heat_up,fdr_logfc,hypoxia,HALLMARK_HYPOXIA,PDGFB,1,1.0
WT_heat_up,fdr_logfc,hypoxia,HALLMARK_HYPOXIA,PLAUR,4,0.25
WT_heat_up,fdr_logfc,hypoxia,HALLMARK_HYPOXIA,SDC4,2,0.5
WT_heat_up,fdr_logfc,hypoxia,HALLMARK_HYPOXIA,SERPINE1,3,0.3333333333333333
WT_heat_up,fdr_logfc,hypoxia,HALLMARK_HYPOXIA,TGM2,2,0.5
WT_heat_up,fdr_logfc,nfkb_tnfa,HALLMARK_TNFA_SIGNALING_VIA_NFKB,AREG,1,1.0
WT_heat_up,fdr_logfc,nfkb_tnfa,HALLMARK_TNFA_SIGNALING_VIA_NFKB,ATF3,4,0.25
WT_heat_up,fdr_logfc,nfkb_tnfa,HALLMARK_TNFA_SIGNALING_VIA_NFKB,CCL20,2,0.5
WT_heat_up,fdr_logfc,nfkb_tnfa,HALLMARK_TNFA_SIGNALING_VIA_NFKB,CCL4,1,1.0
WT_heat_up,fdr_logfc,nfkb_tnfa,HALLMARK_TNFA_SIGNALING_VIA_NFKB,CCN1,2,0.5
WT_heat_up,fdr_logfc,nfkb_tnfa,HALLMARK_TNFA_SIGNALING_VIA_NFKB,CD80,1,1.0
WT_heat_up,fdr_logfc,nfkb_tnfa,HALLMARK_TNFA_SIGNALING_VIA_NFKB,CD83,2,0.5
WT_heat_up,fdr_logfc,nfkb_tnfa,HALLMARK_TNFA_SIGNALING_VIA_NFKB,CDKN1A,3,0.3333333333333333
WT_heat_up,fdr_logfc,nfkb_tnfa,HALLMARK_TNFA_SIGNALING_VIA_NFKB,CSF2,2,0.5
WT_heat_up,fdr_logfc,nfkb_tnfa,HALLMARK_TNFA_SIGNALING_VIA_NFKB,EGR1,1,1.0
WT_heat_up,fdr_logfc,nfkb_tnfa,HALLMARK_TNFA_SIGNALING_VIA_NFKB,EGR2,1,1.0
