arm,gene,n_programs,programs
WT_heat_up,ACTBL2,0,unassigned
WT_heat_up,ADAM8,0,unassigned
WT_heat_up,ADCY4,0,unassigned
WT_heat_up,ADM,2,hypoxia;inflammatory
WT_heat_up,ADORA2A,0,unassigned
WT_heat_up,ADORA2B,2,hypoxia;inflammatory
WT_heat_up,AK4,1,hypoxia
WT_heat_up,ALDH1A2,0,unassigned
WT_heat_up,ANKRD33B,0,unassigned
WT_heat_up,ANO1,0,unassigned
WT_heat_up,ANXA2,1,hypoxia
WT_heat_up,ANXA3,0,unassigned
WT_heat_up,APLP1,1,t_activation
WT_heat_up,AREG,1,nfkb_tnfa
WT_heat_up,ARHGEF25,0,unassigned
WT_heat_up,ASB2,0,unassigned
WT_heat_up,ATF3,4,hypoxia;nfkb_tnfa;upr_er;ifn_generic_axis
WT_heat_up,ATP2B4,0,unassigned
WT_heat_up,AVPR1A,0,unassigned
WT_heat_up,B3GNT5,0,unassigned
WT_heat_up,BATF3,1,t_activation
WT_heat_up,BCAM,0,unassigned
WT_heat_up,BCL6B,0,unassigned
WT_heat_up,BICD1,0,unassigned
WT_heat_up,C11orf86,0,unassigned
WT_heat_up,C15orf48,0,unassigned
WT_heat_up,C22orf15,0,unassigned
WT_heat_up,C3,0,unassigned
WT_heat_up,CALCA,0,unassigned
WT_heat_up,CAMK2N1,0,unassigned
WT_heat_up,CASZ1,0,unassigned
WT_heat_up,CCL20,2,nfkb_tnfa;inflammatory
WT_heat_up,CCL22,1,inflammatory
WT_heat_up,CCL3,0,unassigned
WT_heat_up,CCL4,1,nfkb_tnfa
WT_heat_up,CCN1,2,hypoxia;nfkb_tnfa
WT_heat_up,CD200,0,unassigned
WT_heat_up,CD40LG,0,unassigned
WT_heat_up,CD53,0,unassigned
WT_heat_up,CD70,1,inflammatory
WT_heat_up,CD80,1,nfkb_tnfa
WT_heat_up,CD83,2,nfkb_tnfa;t_activation
WT_heat_up,CDKN1A,3,hypoxia;nfkb_tnfa;inflammatory
WT_heat_up,CLDN4,0,unassigned
WT_heat_up,CLU,0,unassigned
WT_heat_up,CPM,0,unassigned
