arm,gate,n_arm,program,curated_set,n_curated_set,n_intersect,frac_of_arm,genes
WT_heat_up,fdr_logfc,199,hypoxia,HALLMARK_HYPOXIA,200,18,0.09045226130653267,ADM;ADORA2B;AK4;ANXA2;ATF3;CCN1;CDKN1A;EGFR;F3;FOSL2;HK2;IER3;P4HA2;PDGFB;PLAUR;SDC4;SERPINE1;TGM2
WT_heat_up,fdr_logfc,199,nfkb_tnfa,HALLMARK_TNFA_SIGNALING_VIA_NFKB,200,35,0.17587939698492464,AREG;ATF3;CCL20;CCL4;CCN1;CD80;CD83;CDKN1A;CSF2;EGR1;EGR2;EGR3;F3;FOSL1;FOSL2;GFPT2;GPR183;HBEGF;IER3;IL1A;IL23A;INHBA;KDM6B;NR4A1;NR4A2;NR4A3;OLR1;PLAUR;PLEK;PLK2;PTGS2;SDC4;SERPINE1;SPHK1;TNFSF9
WT_heat_up,fdr_logfc,199,inflammatory,HALLMARK_INFLAMMATORY_RESPONSE,200,21,0.10552763819095477,ADM;ADORA2B;CCL20;CCL22;CD70;CDKN1A;F3;GPR183;HBEGF;IL1A;INHBA;LTA;OLR1;PLAUR;PTGER2;RGS16;SERPINE1;SGMS2;SPHK1;TIMP1;TNFSF9
WT_heat_up,fdr_logfc,199,t_activation,HALLMARK_IL2_STAT5_SIGNALING,199,14,0.07035175879396985,APLP1;BATF3;CD83;CSF2;EOMES;FAH;HK2;IRF6;PTGER2;RGS16;SCN9A;SPP1;TGM2;TNFSF11
WT_heat_up,fdr_logfc,199,ifn_type_i,HALLMARK_INTERFERON_ALPHA_RESPONSE,97,1,0.005025125628140704,PROCR
WT_heat_up,fdr_logfc,199,upr_er,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,113,1,0.005025125628140704,ATF3
WT_heat_up,fdr_logfc,199,hsr_curated,HSR_core,56,2,0.010050251256281407,HSPA1A;HSPH1
WT_heat_up,fdr_logfc,199,sting_specific_published,de_Cevins_sting_specific_up,21,2,0.010050251256281407,PLAUR;PTGS2
WT_heat_up,fdr_logfc,199,ifn_generic_axis,ifn_only_up,200,6,0.03015075376884422,ATF3;IL1RN;IL2;OAS3;SAMD4A;TGM1
WT_heat_up,fdr_logfc,199,unassigned,(none),0,132,0.6633165829145728,ACTBL2;ADAM8;ADCY4;ADORA2A;ALDH1A2;ANKRD33B;ANO1;ANXA3;ARHGEF25;ASB2;ATP2B4;AVPR1A;B3GNT5;BCAM;BCL6B;BICD1;C11orf86;C15orf48;C22orf15;C3;CALCA;CAMK2N1;CASZ1;CCL3;CD200;CD40LG;CD53;CLDN4;CLU;CPM;CPNE6;CRABP2;CTH;CYSTM1;DAB2;DAGLA;DENND3;DMWD;DNAH7;EBF1;EHD2;EMILIN2;EPCAM;EPHA2;EPN2;ESYT3;FAM110C;FAM83G;FASLG;GAP43;GATM;GDF6;GFI1;GJA5;GPRC5A;GPRIN2;GRP;HAVCR1;HSPG2;IDI2;IGF2BP2;IGKC;IL17F;IL24;IL3;IL9;ILDR1;ITGA3;KLRC1;LAMC2;MAB21L3;MCF2L;MOCOS;MST1R;MYO16;NAB2;NEB;NEO1;NOTCH3;NPPC;NPR3;OAF;OPHN1;PAK1;PIK3AP1;PKIB;PLA1A;PLA2G4C;PLEK2;PLK3;PLXNB2;PPEF1;PTPN5;PXDC1;RAB34;RIPK4;RNF152;S1PR3;SDC1;SEMA4A;SH3GL3;SH3PXD2B;SIX5;SLC13A3;SLC35D3;SLC41A1;SLC4A11;SP7;SPINT1;SPRY1;SRXN1;SSPOP;STRA6;SYT15;TAL2;TANC2;TEX15;TMEFF2;TMEM125;TMEM205;TNFRSF11B;TNFSF14;TP73;TRPM6;TTC39C;UAP1;UPP1;VILL;WNT3;YAP1;ZBTB32;ZNF583
KO_heat_up,fdr_logfc,218,hypoxia,HALLMARK_HYPOXIA,200,19,0.0871559633027523,ADM;ADORA2B;AK4;ANXA2;CAVIN1;CCN1;CDKN1A;EGFR;F3;FOSL2;HK2;IER3;P4HA2;PDGFB;PLAUR;SDC4;SERPINE1;SLC2A1;TGM2
KO_heat_up,fdr_logfc,218,nfkb_tnfa,HALLMARK_TNFA_SIGNALING_VIA_NFKB,200,33,0.15137614678899083,AREG;CCL20;CCL4;CCN1;CD80;CD83;CDKN1A;CSF2;EGR1;EGR2;EGR3;F3;FOSL1;FOSL2;GFPT2;GPR183;HBEGF;IER3;IL1A;IL23A;INHBA;KDM6B;NR4A1;NR4A2;NR4A3;OLR1;PLAUR;PLEK;PLK2;SDC4;SERPINE1;SPHK1;TNFSF9
KO_heat_up,fdr_logfc,218,inflammatory,HALLMARK_INFLAMMATORY_RESPONSE,200,21,0.0963302752293578,ADM;ADORA2B;CCL20;CCL22;CD70;CDKN1A;F3;GPR183;HBEGF;IL1A;INHBA;LTA;OLR1;PLAUR;PTGER2;RGS16;SERPINE1;SGMS2;SPHK1;TIMP1;TNFSF9
KO_heat_up,fdr_logfc,218,t_activation,HALLMARK_IL2_STAT5_SIGNALING,199,16,0.07339449541284404,APLP1;BATF3;CD83;CDCP1;CSF2;EOMES;FAH;HK2;IL1R2;IRF6;PTGER2;RGS16;SCN9A;SPP1;TGM2;TNFSF11
KO_heat_up,fdr_logfc,218,ifn_type_i,HALLMARK_INTERFERON_ALPHA_RESPONSE,97,1,0.0045871559633027525,PROCR
KO_heat_up,fdr_logfc,218,upr_er,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,113,0,0.0,
KO_heat_up,fdr_logfc,218,hsr_curated,HSR_core,56,2,0.009174311926605505,HSPA1A;HSPH1
KO_heat_up,fdr_logfc,218,sting_specific_published,de_Cevins_sting_specific_up,21,1,0.0045871559633027525,PLAUR
KO_heat_up,fdr_logfc,218,ifn_generic_axis,ifn_only_up,200,4,0.01834862385321101,IL1RN;IL2;SAMD4A;TGM1
