"population","thread","pathway_id","display_label","source_collection","tested","direction","nes","pvalue","padj","padj_pooled","significant_pooled","set_size","leading_edge_size","rank_padj_pooled","rank_nes_signed","rank_nes_abs","n_tests_pooled","n_sig_pooled","n_genes_shared_with_WT_heat_up","why_included"
"CD8","cGAS-STING","sting_specific_up","sting_specific_up","sting_axes",TRUE,"up",1.69445452,0.0114651739,0.0114651739,0.095601146,FALSE,13,7,1383,663,836,11532,939,NA,"a member of the complete cGAS-STING family in this sweep; all six are drawn, including the two regulation-of terms whose signs disagree, so no member is chosen for its result"
"CD8","cGAS-STING","REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES","REACTOME STING MEDIATED INDUCTION OF HOST IMMUNE RESPONSES","Reactome",TRUE,"up",1.29856555,0.161580826,0.415605788,0.418000829,FALSE,13,4,4457,3334,4103,11532,939,NA,"a member of the complete cGAS-STING family in this sweep; all six are drawn, including the two regulation-of terms whose signs disagree, so no member is chosen for its result"
"CD8","cGAS-STING","GOBP_NEGATIVE_REGULATION_OF_CGAS_STING_SIGNALING_PATHWAY","GOBP NEGATIVE REGULATION OF CGAS STING SIGNALING PATHWAY","GO_BP",TRUE,"up",1.080038,0.362886745,0.622473718,0.618068096,FALSE,14,4,6770,5275,6708,11532,939,NA,"a member of the complete cGAS-STING family in this sweep; all six are drawn, including the two regulation-of terms whose signs disagree, so no member is chosen for its result"
"CD8","cGAS-STING","WP_STING_PATHWAY_IN_KAWASAKILIKE_DISEASE_AND_COVID19","WP STING PATHWAY IN KAWASAKILIKE DISEASE AND COVID19","WikiPathways",TRUE,"up",1.06751321,0.372478513,0.59073829,0.626084029,FALSE,18,12,6860,5396,6875,11532,939,NA,"a member of the complete cGAS-STING family in this sweep; all six are drawn, including the two regulation-of terms whose signs disagree, so no member is chosen for its result"
"CD8","cGAS-STING","GOBP_POSITIVE_REGULATION_OF_CGAS_STING_SIGNALING_PATHWAY","GOBP POSITIVE REGULATION OF CGAS STING SIGNALING PATHWAY","GO_BP",TRUE,"down",-0.991456998,0.480428574,0.705700729,0.703420021,FALSE,5,4,7874,9736,7825,11532,939,NA,"a member of the complete cGAS-STING family in this sweep; all six are drawn, including the two regulation-of terms whose signs disagree, so no member is chosen for its result"
"CD8","cGAS-STING","GOBP_CGAS_STING_SIGNALING_PATHWAY","GOBP CGAS STING SIGNALING PATHWAY","GO_BP",TRUE,"up",0.809167342,0.746210168,0.8564739,0.862948154,FALSE,24,4,9971,7293,9899,11532,939,NA,"a member of the complete cGAS-STING family in this sweep; all six are drawn, including the two regulation-of terms whose signs disagree, so no member is chosen for its result"
"CD8","curated, anchor-independent","HALLMARK_HYPOXIA","HALLMARK HYPOXIA","Hallmark",TRUE,"up",1.80002894,3.68207745e-05,0.000184103873,0.00166516538,TRUE,145,44,255,387,502,11532,939,NA,"the curated versioned hypoxia set this compartment has used throughout; the hypoxia half of the question this figure closes, and a panel of the per-cell arm map"
"CD8","curated, anchor-independent","HSR_core","HSR_core","project_frozen",TRUE,"down",-1.12795746,0.257263391,0.257263391,0.523320499,FALSE,44,9,5669,10258,6119,11532,939,NA,"the curated activation-free proteostasis core, the anchor-independent lens any proteostasis reading rests on; a panel of the per-cell arm map, where it colours synovial territory alongside the mouse arms"
"CD8","derived here from GSE161426","eTreg_up","eTreg_up","eTreg_lens",TRUE,"up",3.24389627,1.45206925e-41,1.45206925e-41,1.11635084e-38,TRUE,160,96,15,1,21,11532,939,NA,"this compartment's own effector-Treg contrast on another cohort, and the third panel of the per-cell arm map; it asks this contrast's own synovial-versus-blood question of different patients, so its position marks what a set built to separate exactly these two tissues reaches in this sweep"
"CD8","inflammation and activation","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK IL2 STAT5 SIGNALING","Hallmark",TRUE,"up",1.86094839,3.10154036e-06,1.72307798e-05,0.000227815054,TRUE,170,63,157,255,351,11532,939,NA,"the three programs the per-cell program map rules the cGAS-STING family off from; a colouring shared with these is generic inflammation, and their rows here give that comparison a number"
"CD8","inflammation and activation","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK TNFA SIGNALING VIA NFKB","Hallmark",TRUE,"up",1.70475303,7.81446672e-05,0.000355203033,0.00285045559,TRUE,170,51,316,629,797,11532,939,NA,"the three programs the per-cell program map rules the cGAS-STING family off from; a colouring shared with these is generic inflammation, and their rows here give that comparison a number"
"CD8","inflammation and activation","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK INFLAMMATORY RESPONSE","Hallmark",TRUE,"up",1.69092653,0.000311489513,0.00111246255,0.00865668281,TRUE,137,41,414,676,852,11532,939,NA,"the three programs the per-cell program map rules the cGAS-STING family off from; a colouring shared with these is generic inflammation, and their rows here give that comparison a number"
