"population","contrast","pathway_name","database","contrast_score","contrast_pvalue","contrast_padj","direction","set_size","donor_difference","donor_padj","n_paired_donors","sig_contrast","sig_donor"
"CD8","SF_vs_PB_CD8","JAK-STAT","PROGENy",10.8457668,2.62895911e-27,3.68054275e-26,"up",409,9.86390514,0.0047307976,6,TRUE,TRUE
"CD8","SF_vs_PB_CD8","Hypoxia","PROGENy",5.94113304,2.89234571e-09,2.024642e-08,"up",462,6.30826424,0.017624841,6,TRUE,TRUE
"CD8","SF_vs_PB_CD8","TGFb","PROGENy",5.63941786,1.73660079e-08,8.10413701e-08,"up",281,7.9051166,0.0010530512,6,TRUE,TRUE
"CD8","SF_vs_PB_CD8","EGFR","PROGENy",5.55490542,2.82417881e-08,9.88462583e-08,"up",392,6.89581942,0.0010530512,6,TRUE,TRUE
"CD8","SF_vs_PB_CD8","WNT","PROGENy",-3.87175433,0.000108506517,0.000303818247,"down",305,-4.28082394,0.00136932402,6,TRUE,TRUE
"CD8","SF_vs_PB_CD8","PI3K","PROGENy",2.89593467,0.0037856928,0.00883328319,"up",352,2.4687997,0.0369536746,6,TRUE,TRUE
"CD8","SF_vs_PB_CD8","NFkB","PROGENy",1.9163525,0.055338956,0.110677912,"up",415,3.36033643,0.0391634108,6,FALSE,TRUE
"CD8","SF_vs_PB_CD8","VEGF","PROGENy",1.77667302,0.0756420294,0.132373551,"up",292,2.58400808,0.0369536746,6,FALSE,TRUE
"CD8","SF_vs_PB_CD8","Estrogen","PROGENy",-1.36467201,0.172376339,0.268140972,"down",377,-2.21813643,0.0448969834,6,FALSE,TRUE
"CD8","SF_vs_PB_CD8","MAPK","PROGENy",-1.26639891,0.205389687,0.287545562,"down",462,0.728149981,0.497989676,6,FALSE,FALSE
"CD8","SF_vs_PB_CD8","Trail","PROGENy",1.11913793,0.263098968,0.334853232,"up",167,-0.353021753,0.497989676,6,FALSE,FALSE
"CD8","SF_vs_PB_CD8","p53","PROGENy",-1.00807699,0.313433535,0.365672457,"down",355,-2.92071174,0.202736432,6,FALSE,FALSE
"CD8","SF_vs_PB_CD8","Androgen","PROGENy",-0.311302336,0.755575056,0.813696214,"down",378,-0.396902283,0.497989676,6,FALSE,FALSE
"CD8","SF_vs_PB_CD8","TNFa","PROGENy",-0.145762237,0.884111019,0.884111019,"down",374,-1.08370136,0.247986497,6,FALSE,FALSE
"Tcon","SF_vs_PB_Tcon","JAK-STAT","PROGENy",8.88901697,6.84636781e-19,9.58491494e-18,"up",409,9.50749676,0.00712935899,6,TRUE,TRUE
"Tcon","SF_vs_PB_Tcon","EGFR","PROGENy",7.47608568,8.07382406e-14,5.65167684e-13,"up",392,10.0087493,0.00193665177,6,TRUE,TRUE
"Tcon","SF_vs_PB_Tcon","TGFb","PROGENy",7.31176543,2.76782368e-13,1.29165105e-12,"up",281,9.06348981,0.00140597794,6,TRUE,TRUE
"Tcon","SF_vs_PB_Tcon","Hypoxia","PROGENy",6.539767,6.35792854e-11,2.22527499e-10,"up",462,7.44191407,0.00843450839,6,TRUE,TRUE
"Tcon","SF_vs_PB_Tcon","NFkB","PROGENy",4.07143452,4.69608116e-05,0.000131490273,"up",415,6.99811715,0.00430674499,6,TRUE,TRUE
"Tcon","SF_vs_PB_Tcon","PI3K","PROGENy",3.66743442,0.000245831296,0.000573606358,"up",352,3.3312425,0.00843450839,6,TRUE,TRUE
"Tcon","SF_vs_PB_Tcon","WNT","PROGENy",-3.07562542,0.0021043407,0.00420868141,"down",305,-3.39679671,0.00193665177,6,TRUE,TRUE
