"population","contrast","pathway_name","n_paired_donors","mean_sf","mean_pb","mean_difference","ci_low","ci_high","t_statistic","pvalue","padj","direction","significant"
"Treg","SF_vs_PB_Treg","EGFR",6,5.96920584,-4.94237679,10.9115826,9.11654259,12.7066227,15.6259,1.95077847e-05,0.000273108986,"up",TRUE
"Treg","SF_vs_PB_Treg","JAK-STAT",6,5.19482794,-3.77881899,8.97364693,2.30946958,15.6378243,3.46141656,0.0180148356,0.0280230776,"up",TRUE
"Treg","SF_vs_PB_Treg","NFkB",6,4.56504134,-3.69144378,8.25648512,6.03535163,10.4776186,9.55546831,0.000212513533,0.00099172982,"up",TRUE
"Treg","SF_vs_PB_Treg","TGFb",6,4.18524433,-3.68628241,7.87152674,6.18500979,9.55804368,11.997747,7.0959596e-05,0.000496717172,"up",TRUE
"Treg","SF_vs_PB_Treg","Hypoxia",6,4.05643992,-3.3604187,7.41685862,5.13810633,9.69561091,8.36670232,0.00039926042,0.00115045841,"up",TRUE
"Treg","SF_vs_PB_Treg","PI3K",6,3.10605689,-2.38212447,5.48818136,1.89938346,9.07697926,3.93107099,0.011058418,0.022116836,"up",TRUE
"Treg","SF_vs_PB_Treg","VEGF",6,2.26446137,-1.86945851,4.13391987,2.8560614,5.41177834,8.31592826,0.000410878005,0.00115045841,"up",TRUE
"Treg","SF_vs_PB_Treg","MAPK",6,1.01710241,-0.72975074,1.74685315,-3.30834963,6.80205592,0.888278704,0.415073912,0.484252898,"up",FALSE
"Treg","SF_vs_PB_Treg","Androgen",6,0.786760755,-0.841219099,1.62797985,0.345778426,2.91018128,3.26380501,0.0223512793,0.031291791,"up",TRUE
"Treg","SF_vs_PB_Treg","p53",6,0.263500851,0.0280215877,0.235479264,-12.0565896,12.5275481,0.0492446574,0.96263092,0.986121893,"up",FALSE
"Treg","SF_vs_PB_Treg","Estrogen",6,-0.152233326,-0.168922485,0.0166891584,-2.33008044,2.36345876,0.0182808093,0.986121893,0.986121893,"up",FALSE
"Treg","SF_vs_PB_Treg","Trail",6,-0.644061534,0.217495395,-0.861556929,-2.9887339,1.26562004,-1.04114637,0.345509545,0.439739421,"down",FALSE
"Treg","SF_vs_PB_Treg","TNFa",6,-1.08331948,0.876643962,-1.95996345,-3.41474876,-0.505178134,-3.46322333,0.0179798591,0.0280230776,"down",TRUE
"Treg","SF_vs_PB_Treg","WNT",6,-1.92601743,1.61591996,-3.54193739,-4.88506378,-2.198811,-6.77884076,0.00106230123,0.00247870287,"down",TRUE
"Tcon","SF_vs_PB_Tcon","EGFR",6,4.49514582,-5.51360346,10.0087493,7.10111759,12.916381,8.84854473,0.00030639277,0.00193665177,"up",TRUE
"Tcon","SF_vs_PB_Tcon","JAK-STAT",6,3.19648283,-6.31101393,9.50749676,4.9423025,14.072691,5.35350679,0.00305543957,0.00712935899,"up",TRUE
"Tcon","SF_vs_PB_Tcon","TGFb",6,3.77254054,-5.29094927,9.06348981,6.97728574,11.1496939,11.1678635,0.000100426996,0.00140597794,"up",TRUE
"Tcon","SF_vs_PB_Tcon","Hypoxia",6,3.21357518,-4.22833889,7.44191407,3.46887518,11.414953,4.8149665,0.00481971908,0.00843450839,"up",TRUE
"Tcon","SF_vs_PB_Tcon","NFkB",6,2.89774826,-4.10036889,6.99811715,4.11926076,9.87697354,6.24874269,0.00153812321,0.00430674499,"up",TRUE
"Tcon","SF_vs_PB_Tcon","VEGF",6,1.88416175,-2.28606783,4.17022958,2.86138444,5.47907472,8.1903627,0.00044137707,0.00193665177,"up",TRUE
"Tcon","SF_vs_PB_Tcon","PI3K",6,1.19799777,-2.13324472,3.3312425,1.58529885,5.07718615,4.90464367,0.00445645514,0.00843450839,"up",TRUE
"Tcon","SF_vs_PB_Tcon","p53",6,0.799501776,-0.597675916,1.39717769,-0.0419277983,2.83628318,2.4956889,0.0547782724,0.0766895814,"up",FALSE
"Tcon","SF_vs_PB_Tcon","MAPK",6,0.496946462,-0.844568948,1.34151541,-0.535207132,3.21823795,1.83749865,0.125550838,0.146475978,"up",FALSE
"Tcon","SF_vs_PB_Tcon","Androgen",6,0.62497152,-0.598854404,1.22382592,0.115332579,2.33231927,2.8380366,0.0363300987,0.0565134868,"up",FALSE
"Tcon","SF_vs_PB_Tcon","Trail",6,0.280929068,-0.303634767,0.584563835,-0.744336628,1.9134643,1.13076127,0.309459037,0.333263579,"up",FALSE
"Tcon","SF_vs_PB_Tcon","TNFa",6,0.0406002268,0.315629041,-0.275028814,-1.18755785,0.63750022,-0.774752416,0.473512777,0.473512777,"down",FALSE
"Tcon","SF_vs_PB_Tcon","Estrogen",6,-0.330030142,0.54164448,-0.871674622,-1.89534429,0.151995051,-2.18890039,0.080207765,0.10208261,"down",FALSE
