group,pathway_id,cell_state,source_table,tested,contrast,nes,pvalue,padj_per_collection,padj_pooled,significant_pooled,genes_in_ranked_list,leading_edge_size,rank_padj_pooled,rank_nes_signed,n_sets_in_pooled_family
Oxygen and HIF response,HALLMARK_HYPOXIA,Treg,tables/_overview/named_sets_in_sweep.csv,True,SF_vs_PB_Treg,2.27131461,9.20868074e-11,6.5776291e-10,1.42162841e-08,True,143.0,65.0,74,96,11514.0
Oxygen and HIF response,HALLMARK_HYPOXIA,Tcon,tables/_overview/named_sets_in_sweep.csv,True,SF_vs_PB_Tcon,2.22837424,7.60279132e-10,3.80139566e-09,7.26406534e-08,True,157.0,63.0,123,122,11752.0
Oxygen and HIF response,HALLMARK_HYPOXIA,CD8,tables/_overview/named_sets_in_sweep.csv,True,SF_vs_PB_CD8,1.80002894,3.68207745e-05,0.000184103873,0.00166516538,True,145.0,44.0,255,387,11532.0
Oxygen and HIF response,GOBP_RESPONSE_TO_OXYGEN_LEVELS,Treg,tables/gsea_all.csv,True,SF_vs_PB_Treg,1.68082265,4.87892733e-05,0.0015662309,0.00115857756,True,230.0,81.0,,,11514.0
Oxygen and HIF response,GOBP_RESPONSE_TO_OXYGEN_LEVELS,Tcon,tables/gsea_all.csv,True,SF_vs_PB_Tcon,1.95886542,3.36214325e-08,2.17093228e-06,1.9087878e-06,True,237.0,97.0,,,11752.0
Oxygen and HIF response,GOBP_RESPONSE_TO_OXYGEN_LEVELS,CD8,tables/gsea_all.csv,True,SF_vs_PB_CD8,1.47390549,0.00333894462,0.0488273814,0.0440557315,True,231.0,73.0,,,11532.0
Oxygen and HIF response,GOBP_CELLULAR_RESPONSE_TO_OXYGEN_LEVELS,Treg,tables/gsea_all.csv,True,SF_vs_PB_Treg,1.1971998,0.136904466,0.365890138,0.362371958,False,125.0,39.0,,,11514.0
Oxygen and HIF response,GOBP_CELLULAR_RESPONSE_TO_OXYGEN_LEVELS,Tcon,tables/gsea_all.csv,True,SF_vs_PB_Tcon,1.43146468,0.0168295683,0.0791398257,0.0793027611,False,128.0,50.0,,,11752.0
Oxygen and HIF response,GOBP_CELLULAR_RESPONSE_TO_OXYGEN_LEVELS,CD8,tables/gsea_all.csv,True,SF_vs_PB_CD8,1.22436137,0.115447106,0.356153716,0.349983183,False,127.0,47.0,,,11532.0
Oxygen and HIF response,REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,Treg,tables/gsea_all.csv,True,SF_vs_PB_Treg,2.14066958,6.06204109e-06,0.000123183784,0.000207116739,True,56.0,31.0,,,11514.0
