"population","database","pathway_id","pathway_name","direction","nes","pvalue","padj","padj_pooled","set_size","leading_edge_size","n_tests_in_db","n_tests_pooled"
"Treg","WikiPathways","WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS","WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS","down",-3.45931337,4.12779107e-36,3.44257775e-33,4.68297897e-32,86,80,834,11345
"Treg","Reactome","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","down",-3.3930906,3.03177974e-33,4.76595775e-30,1.71977706e-29,92,80,1572,11345
"Treg","KEGG","KEGG_RIBOSOME","KEGG_RIBOSOME","down",-3.345842,1.38746212e-30,2.56680491e-28,3.14815154e-27,85,77,185,11345
"Treg","Reactome","REACTOME_SELENOAMINO_ACID_METABOLISM","REACTOME_SELENOAMINO_ACID_METABOLISM","down",-3.29731897,1.21751517e-30,6.37977947e-28,3.14815154e-27,100,81,1572,11345
"Treg","Reactome","REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY","REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY","down",-3.25604982,1.16765411e-28,4.58888064e-26,1.89243369e-25,99,78,1572,11345
"Treg","Reactome","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","down",-3.24608874,5.74824345e-31,4.51811935e-28,2.17379406e-27,118,86,1572,11345
"Treg","Reactome","REACTOME_NONSENSE_MEDIATED_DECAY_NMD","REACTOME_NONSENSE_MEDIATED_DECAY_NMD","down",-3.14830795,3.96003502e-27,1.24503501e-24,5.61582466e-24,114,82,1572,11345
"Treg","GO_CC","GOCC_CYTOSOLIC_RIBOSOME","GOCC_CYTOSOLIC_RIBOSOME","down",-3.13910317,2.94919068e-26,2.52450722e-23,3.7176187e-23,110,77,856,11345
"Treg","GO_BP","GOBP_CYTOPLASMIC_TRANSLATION","GOBP_CYTOPLASMIC_TRANSLATION","down",-3.10349888,8.26457781e-30,4.76535556e-26,1.56269392e-26,158,91,5766,11345
"Treg","GO_CC","GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT","GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT","down",-3.07173418,1.00817933e-19,2.87667168e-17,7.6251963e-17,52,47,856,11345
"Treg","Reactome","REACTOME_INTERLEUKIN_10_SIGNALING","REACTOME_INTERLEUKIN_10_SIGNALING","up",2.6440277,7.58028608e-12,6.62011651e-10,1.75506828e-09,34,21,1572,11345
"Treg","GO_CC","GOCC_COPII_COATED_ER_TO_GOLGI_TRANSPORT_VESICLE","GOCC_COPII_COATED_ER_TO_GOLGI_TRANSPORT_VESICLE","up",2.63137573,7.38617377e-14,1.05376079e-11,2.26476058e-11,80,41,856,11345
"Treg","mouse_projection","WT_heat_up","WT_heat_up","up",2.59163282,1.01402716e-14,1.52104074e-14,3.71101231e-12,119,65,3,11345
"Treg","Hallmark","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","up",2.58912226,2.57238165e-17,6.43095413e-16,1.38969856e-14,167,89,50,11345
"Treg","mouse_projection","KO_heat_up","KO_heat_up","up",2.56445948,2.86231257e-15,8.58693771e-15,1.11975642e-12,132,69,3,11345
"Treg","Hallmark","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","up",2.55359919,4.5766435e-18,2.28832175e-16,2.73273792e-15,188,106,50,11345
"Treg","WikiPathways","WP_ALLOGRAFT_REJECTION","WP_ALLOGRAFT_REJECTION","up",2.54953493,3.76048361e-11,1.04541444e-08,6.66604477e-09,65,34,834,11345
"Treg","Hallmark","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","up",2.54547707,5.13506468e-17,8.55844113e-16,2.64805949e-14,178,90,50,11345
"Treg","WikiPathways","WP_PROTEASOME_DEGRADATION","WP_PROTEASOME_DEGRADATION","up",2.52431787,1.10792086e-10,2.310015e-08,1.67591496e-08,57,35,834,11345
"Treg","KEGG","KEGG_GRAFT_VERSUS_HOST_DISEASE","KEGG_GRAFT_VERSUS_HOST_DISEASE","up",2.51203802,2.82433276e-09,8.74526954e-08,2.72693769e-07,31,20,185,11345
