population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,pooled_under,set_size,leading_edge_size,gene_ratio
CD8,SF_vs_PB_CD8,GO_BP,facet,top 10 per direction by pooled FDR,1,GOBP_VIRAL_LIFE_CYCLE,Viral Life Cycle,up,2.15157596,0.48277556,7.7870371e-12,3.27055558e-9,1.7958465e-9,GO_BP,227,82,0.36123348
CD8,SF_vs_PB_CD8,GO_BP,facet,top 10 per direction by pooled FDR,2,GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION,Negative Regulation of Viral Genome Replication,up,2.51913699,0.743058763,1.40306699e-10,4.83091835e-8,2.99606767e-8,GO_BP,41,20,0.487804878
CD8,SF_vs_PB_CD8,GO_BP,facet,top 10 per direction by pooled FDR,3,GOBP_REGULATION_OF_VIRAL_LIFE_CYCLE,Regulation of Viral Life Cycle,up,2.37528176,0.603965516,1.9935146e-10,6.16940309e-8,4.10486016e-8,GO_BP,91,33,0.362637363
CD8,SF_vs_PB_CD8,GO_BP,facet,top 10 per direction by pooled FDR,4,GOBP_REGULATION_OF_VIRAL_PROCESS,Regulation of Viral Process,up,2.30021515,0.565413855,3.85050953e-10,1.07814267e-7,7.40003756e-8,GO_BP,113,57,0.504424779
CD8,SF_vs_PB_CD8,GO_BP,facet,top 10 per direction by pooled FDR,5,GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_CLASS_II_PROTEIN_COMPLEX,Peptide Antigen Assembly With MHC Class II Protein Complex,up,2.39453342,0.914438972,5.07392767e-10,1.35612249e-7,9.59138687e-8,GO_BP,14,11,0.785714286
CD8,SF_vs_PB_CD8,GO_BP,facet,top 10 per direction by pooled FDR,6,GOBP_REGULATION_OF_VIRAL_GENOME_REPLICATION,Regulation of Viral Genome Replication,up,2.41515985,0.645118476,5.61979598e-10,1.43671306e-7,1.02860107e-7,GO_BP,68,25,0.367647059
CD8,SF_vs_PB_CD8,GO_BP,facet,top 10 per direction by pooled FDR,7,GOBP_VIRAL_GENOME_REPLICATION,Viral Genome Replication,up,2.30976009,0.580389607,7.73598186e-10,1.89531556e-7,1.37236318e-7,GO_BP,98,32,0.326530612
CD8,SF_vs_PB_CD8,GO_BP,facet,top 10 per direction by pooled FDR,8,GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS,Negative Regulation of Viral Process,up,2.36824574,0.646242089,2.42714517e-9,5.70864543e-7,4.11579572e-7,GO_BP,61,28,0.459016393
CD8,SF_vs_PB_CD8,GO_BP,facet,top 10 per direction by pooled FDR,9,GOBP_ESTABLISHMENT_OF_ORGANELLE_LOCALIZATION,Establishment of Organelle Localization,up,1.86959811,0.403612214,5.58137268e-9,1.2622489e-6,8.81627512e-7,GO_BP,327,141,0.431192661
CD8,SF_vs_PB_CD8,GO_BP,facet,top 10 per direction by pooled FDR,10,GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II,Antigen Processing and Presentation of Exogenous Peptide Antigen via MHC Class II,up,2.45729451,0.794375159,5.87025615e-9,1.27841134e-6,9.14728698e-7,GO_BP,27,15,0.555555556
