population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,set_size,leading_edge_size,gene_ratio
CD8,SF_vs_PB_CD8,GO_MF,facet,top 10 per direction by pooled FDR,1,GOMF_MHC_CLASS_II_PROTEIN_COMPLEX_BINDING,MHC Class II Protein Complex Binding,up,2.46436401,0.811457328,3.72878335e-9,1.71648327e-6,5.74232636e-7,25,15,0.6
CD8,SF_vs_PB_CD8,GO_MF,facet,top 10 per direction by pooled FDR,2,GOMF_MICROTUBULE_BINDING,Microtubule Binding,up,1.96724089,0.443441148,1.35029766e-8,4.66190267e-6,1.82892124e-6,217,85,0.391705069
CD8,SF_vs_PB_CD8,GO_MF,facet,top 10 per direction by pooled FDR,3,GOMF_TUBULIN_BINDING,Tubulin Binding,up,1.88339249,0.410503292,2.20891914e-8,6.10103466e-6,2.79018752e-6,297,108,0.363636364
CD8,SF_vs_PB_CD8,GO_MF,facet,top 10 per direction by pooled FDR,4,GOMF_ACTIN_BINDING,Actin Binding,up,1.85366043,0.4051392,6.34861551e-8,1.46123967e-5,7.31680609e-6,288,108,0.375
CD8,SF_vs_PB_CD8,GO_MF,facet,top 10 per direction by pooled FDR,5,GOMF_POLYPEPTIDE_CONFORMATION_OR_ASSEMBLY_ISOMERASE_ACTIVITY,Polypeptide Conformation or Assembly Isomerase Activity,up,2.19083946,0.56700456,2.00512708e-7,3.95582928e-5,2.03077825e-5,81,41,0.50617284
CD8,SF_vs_PB_CD8,GO_MF,facet,top 10 per direction by pooled FDR,6,GOMF_CYTOSKELETAL_MOTOR_ACTIVITY,Cytoskeletal Motor Activity,up,2.1716386,0.574790991,3.6020696e-7,6.21807264e-5,3.43173444e-5,71,37,0.521126761
CD8,SF_vs_PB_CD8,GO_MF,facet,top 10 per direction by pooled FDR,7,GOMF_ACTIN_FILAMENT_BINDING,Actin Filament Binding,up,1.94239358,0.463961577,1.28348226e-6,1.96943222e-4,1.00901451e-4,137,58,0.423357664
CD8,SF_vs_PB_CD8,GO_MF,facet,top 10 per direction by pooled FDR,8,GOMF_MHC_PROTEIN_COMPLEX_BINDING,MHC Protein Complex Binding,up,2.18930548,0.671183898,1.74987679e-6,2.41657984e-4,1.30278906e-4,34,16,0.470588235
CD8,SF_vs_PB_CD8,GO_MF,facet,top 10 per direction by pooled FDR,9,GOMF_PEPTIDE_ANTIGEN_BINDING,Peptide Antigen Binding,up,2.23520574,0.722671884,2.63075203e-6,3.30278959e-4,1.84888058e-4,27,17,0.62962963
CD8,SF_vs_PB_CD8,GO_MF,facet,top 10 per direction by pooled FDR,10,GOMF_CALMODULIN_BINDING,Calmodulin Binding,up,1.91094758,0.466018456,7.65648144e-6,7.55257205e-4,4.391539e-4,118,44,0.372881356
CD8,SF_vs_PB_CD8,GO_MF,facet,top 10 per direction by pooled FDR,11,GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME,Structural Constituent of Ribosome,down,-3.36650469,-0.726979598,2.78250443e-38,3.84263862e-35,1.95505718e-35,156,90,0.576923077
CD8,SF_vs_PB_CD8,GO_MF,facet,top 10 per direction by pooled FDR,12,GOMF_RRNA_BINDING,rRNA Binding,down,-2.5634873,-0.646742493,7.88392863e-11,5.44385272e-8,1.61147501e-8,62,34,0.548387097
CD8,SF_vs_PB_CD8,GO_MF,facet,top 10 per direction by pooled FDR,13,GOMF_TRANSLATION_FACTOR_ACTIVITY,Translation Factor Activity,down,-2.08058044,-0.503187738,4.08682617e-6,4.70325578e-4,2.7025941e-4,77,22,0.285714286
CD8,SF_vs_PB_CD8,GO_MF,facet,top 10 per direction by pooled FDR,14,GOMF_TRANSLATION_INITIATION_FACTOR_ACTIVITY,Translation Initiation Factor Activity,down,-2.16342697,-0.573371087,6.56337602e-6,6.97232484e-4,3.88344596e-4,49,13,0.265306122
CD8,SF_vs_PB_CD8,GO_MF,facet,top 10 per direction by pooled FDR,15,GOMF_TRNA_BINDING,tRNA Binding,down,-1.95540847,-0.487099587,6.58021049e-5,0.00533257267,0.00239400409,66,33,0.5
CD8,SF_vs_PB_CD8,GO_MF,facet,top 10 per direction by pooled FDR,16,GOMF_MRNA_5_UTR_BINDING,mRNA 5 Utr Binding,down,-2.15555041,-0.699999096,8.34829333e-5,0.00576449654,0.0029328598,21,11,0.523809524
CD8,SF_vs_PB_CD8,GO_MF,facet,top 10 per direction by pooled FDR,17,GOMF_RNA_METHYLTRANSFERASE_ACTIVITY,RNA Methyltransferase Activity,down,-1.91628693,-0.493819635,1.2939795e-4,0.007769503,0.00418014872,56,35,0.625
CD8,SF_vs_PB_CD8,GO_MF,facet,top 10 per direction by pooled FDR,18,GOMF_CATALYTIC_ACTIVITY_ACTING_ON_A_TRNA,Catalytic Activity Acting On A tRNA,down,-1.63962597,-0.366245004,7.18605905e-4,0.0261156514,0.0141729256,124,67,0.540322581
CD8,SF_vs_PB_CD8,GO_MF,facet,top 10 per direction by pooled FDR,19,GOMF_TRNA_METHYLTRANSFERASE_ACTIVITY,tRNA Methyltransferase Activity,down,-1.92283115,-0.564604955,8.23404049e-4,0.0270415104,0.0155109113,31,22,0.709677419
CD8,SF_vs_PB_CD8,GO_MF,facet,top 10 per direction by pooled FDR,20,GOMF_LARGE_RIBOSOMAL_SUBUNIT_RRNA_BINDING,Large Ribosomal Subunit rRNA Binding,down,-1.89090896,-0.84731931,8.45931935e-4,0.0270415104,0.0156543342,7,6,0.857142857
