population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,pooled_under,set_size,leading_edge_size,gene_ratio
CD8,SF_vs_PB_CD8,Hallmark,barplot,every one of the 18 sets at pooled FDR < 0.05,1,HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon-gamma Response,up,2.35242978,0.542406107,7.22720092e-14,3.61360046e-12,2.00087702e-11,Hallmark,180,70,0.388888889
CD8,SF_vs_PB_CD8,Hallmark,barplot,every one of the 18 sets at pooled FDR < 0.05,2,HALLMARK_INTERFERON_ALPHA_RESPONSE,Interferon-alpha Response,up,2.25270313,0.573099238,1.01375089e-8,1.01375089e-7,1.42062795e-6,Hallmark,91,37,0.406593407
CD8,SF_vs_PB_CD8,Hallmark,barplot,every one of the 18 sets at pooled FDR < 0.05,3,HALLMARK_CHOLESTEROL_HOMEOSTASIS,Cholesterol Homeostasis,up,2.10754221,0.568753401,1.46964463e-6,9.18527893e-6,1.15047836e-4,Hallmark,64,29,0.453125
CD8,SF_vs_PB_CD8,Hallmark,barplot,every one of the 18 sets at pooled FDR < 0.05,4,HALLMARK_E2F_TARGETS,E2f Targets,up,2.10645134,0.48077682,2.15553052e-10,5.38882631e-9,4.0110536e-8,Hallmark,195,100,0.512820513
CD8,SF_vs_PB_CD8,Hallmark,barplot,every one of the 18 sets at pooled FDR < 0.05,5,HALLMARK_MITOTIC_SPINDLE,Mitotic Spindle,up,2.09469957,0.4826066,4.06123203e-9,6.76872005e-8,6.22960064e-7,Hallmark,181,95,0.524861878
CD8,SF_vs_PB_CD8,Hallmark,barplot,every one of the 18 sets at pooled FDR < 0.05,6,HALLMARK_APOPTOSIS,Apoptosis,up,2.07522173,0.497629669,8.51059322e-8,7.09216101e-7,9.66037436e-6,Hallmark,134,55,0.410447761
CD8,SF_vs_PB_CD8,Hallmark,barplot,every one of the 18 sets at pooled FDR < 0.05,7,HALLMARK_G2M_CHECKPOINT,G2m Checkpoint,up,2.04511963,0.470814509,7.59828003e-9,9.49785004e-8,1.07810096e-6,Hallmark,182,101,0.554945055
CD8,SF_vs_PB_CD8,Hallmark,barplot,every one of the 18 sets at pooled FDR < 0.05,8,HALLMARK_MYC_TARGETS_V1,Myc Targets V1,down,-1.95594486,-0.410503417,1.8557508e-7,1.32553629e-6,1.91496612e-5,Hallmark,192,50,0.260416667
CD8,SF_vs_PB_CD8,Hallmark,barplot,every one of the 18 sets at pooled FDR < 0.05,9,HALLMARK_MYC_TARGETS_V2,Myc Targets V2,down,-1.9087525,-0.489982754,2.56720578e-4,8.55735258e-4,0.00701725902,Hallmark,57,28,0.49122807
CD8,SF_vs_PB_CD8,Hallmark,barplot,every one of the 18 sets at pooled FDR < 0.05,10,HALLMARK_IL2_STAT5_SIGNALING,IL-2/STAT5 Signaling,up,1.86587683,0.434894232,2.62343601e-6,1.45746445e-5,1.86680692e-4,Hallmark,166,62,0.373493976
CD8,SF_vs_PB_CD8,Hallmark,barplot,every one of the 18 sets at pooled FDR < 0.05,11,HALLMARK_ANGIOGENESIS,Angiogenesis,up,1.81641897,0.692251189,0.00311220018,0.00864500051,0.0384987363,Hallmark,14,10,0.714285714
CD8,SF_vs_PB_CD8,Hallmark,barplot,every one of the 18 sets at pooled FDR < 0.05,12,HALLMARK_HYPOXIA,Hypoxia,up,1.7908442,0.426433209,2.37955039e-5,1.1897752e-4,0.00111153401,Hallmark,141,47,0.333333333
CD8,SF_vs_PB_CD8,Hallmark,barplot,every one of the 18 sets at pooled FDR < 0.05,13,HALLMARK_INFLAMMATORY_RESPONSE,Inflammatory Response,up,1.71352112,0.410548778,2.21096198e-4,8.50369991e-4,0.0063697029,Hallmark,135,41,0.303703704
CD8,SF_vs_PB_CD8,Hallmark,barplot,every one of the 18 sets at pooled FDR < 0.05,14,HALLMARK_TNFA_SIGNALING_VIA_NFKB,TNF-alpha Signaling via NF-kappaB,up,1.70192192,0.39564043,1.26650949e-4,5.7568613e-4,0.00411924045,Hallmark,169,51,0.301775148
CD8,SF_vs_PB_CD8,Hallmark,barplot,every one of the 18 sets at pooled FDR < 0.05,15,HALLMARK_KRAS_SIGNALING_DN,Kras Signaling Dn,up,1.67961063,0.451054031,0.00286519192,0.00842703506,0.0363383167,Hallmark,66,21,0.318181818
CD8,SF_vs_PB_CD8,Hallmark,barplot,every one of the 18 sets at pooled FDR < 0.05,16,HALLMARK_P53_PATHWAY,p53 Pathway,up,1.67464977,0.391054842,2.03494288e-4,8.47892865e-4,0.00606263428,Hallmark,163,47,0.288343558
CD8,SF_vs_PB_CD8,Hallmark,barplot,every one of the 18 sets at pooled FDR < 0.05,17,HALLMARK_COMPLEMENT,Complement,up,1.67386602,0.39506176,2.49827325e-4,8.55735258e-4,0.00693347181,Hallmark,151,45,0.298013245
CD8,SF_vs_PB_CD8,Hallmark,barplot,every one of the 18 sets at pooled FDR < 0.05,18,HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,up,1.61023555,0.376013194,6.83159394e-4,0.00213487311,0.0137736097,Hallmark,163,33,0.202453988
