population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,pooled_under,set_size,leading_edge_size,gene_ratio
CD8,SF_vs_PB_CD8,Hallmark,facet,top 10 per direction by pooled FDR,1,HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon-gamma Response,up,2.35242978,0.542406107,7.22720092e-14,3.61360046e-12,2.00087702e-11,Hallmark,180,70,0.388888889
CD8,SF_vs_PB_CD8,Hallmark,facet,top 10 per direction by pooled FDR,2,HALLMARK_E2F_TARGETS,E2f Targets,up,2.10645134,0.48077682,2.15553052e-10,5.38882631e-9,4.0110536e-8,Hallmark,195,100,0.512820513
CD8,SF_vs_PB_CD8,Hallmark,facet,top 10 per direction by pooled FDR,3,HALLMARK_MITOTIC_SPINDLE,Mitotic Spindle,up,2.09469957,0.4826066,4.06123203e-9,6.76872005e-8,6.22960064e-7,Hallmark,181,95,0.524861878
CD8,SF_vs_PB_CD8,Hallmark,facet,top 10 per direction by pooled FDR,4,HALLMARK_G2M_CHECKPOINT,G2m Checkpoint,up,2.04511963,0.470814509,7.59828003e-9,9.49785004e-8,1.07810096e-6,Hallmark,182,101,0.554945055
CD8,SF_vs_PB_CD8,Hallmark,facet,top 10 per direction by pooled FDR,5,HALLMARK_INTERFERON_ALPHA_RESPONSE,Interferon-alpha Response,up,2.25270313,0.573099238,1.01375089e-8,1.01375089e-7,1.42062795e-6,Hallmark,91,37,0.406593407
CD8,SF_vs_PB_CD8,Hallmark,facet,top 10 per direction by pooled FDR,6,HALLMARK_APOPTOSIS,Apoptosis,up,2.07522173,0.497629669,8.51059322e-8,7.09216101e-7,9.66037436e-6,Hallmark,134,55,0.410447761
CD8,SF_vs_PB_CD8,Hallmark,facet,top 10 per direction by pooled FDR,7,HALLMARK_CHOLESTEROL_HOMEOSTASIS,Cholesterol Homeostasis,up,2.10754221,0.568753401,1.46964463e-6,9.18527893e-6,1.15047836e-4,Hallmark,64,29,0.453125
CD8,SF_vs_PB_CD8,Hallmark,facet,top 10 per direction by pooled FDR,8,HALLMARK_IL2_STAT5_SIGNALING,IL-2/STAT5 Signaling,up,1.86587683,0.434894232,2.62343601e-6,1.45746445e-5,1.86680692e-4,Hallmark,166,62,0.373493976
CD8,SF_vs_PB_CD8,Hallmark,facet,top 10 per direction by pooled FDR,9,HALLMARK_HYPOXIA,Hypoxia,up,1.7908442,0.426433209,2.37955039e-5,1.1897752e-4,0.00111153401,Hallmark,141,47,0.333333333
CD8,SF_vs_PB_CD8,Hallmark,facet,top 10 per direction by pooled FDR,10,HALLMARK_TNFA_SIGNALING_VIA_NFKB,TNF-alpha Signaling via NF-kappaB,up,1.70192192,0.39564043,1.26650949e-4,5.7568613e-4,0.00411924045,Hallmark,169,51,0.301775148
CD8,SF_vs_PB_CD8,Hallmark,facet,top 10 per direction by pooled FDR,11,HALLMARK_MYC_TARGETS_V1,Myc Targets V1,down,-1.95594486,-0.410503417,1.8557508e-7,1.32553629e-6,1.91496612e-5,Hallmark,192,50,0.260416667
CD8,SF_vs_PB_CD8,Hallmark,facet,top 10 per direction by pooled FDR,12,HALLMARK_MYC_TARGETS_V2,Myc Targets V2,down,-1.9087525,-0.489982754,2.56720578e-4,8.55735258e-4,0.00701725902,Hallmark,57,28,0.49122807
CD8,SF_vs_PB_CD8,Hallmark,facet,top 10 per direction by pooled FDR,13,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Unfolded Protein Response,down,-1.37620096,-0.316473553,0.0276879952,0.0553759904,0.150376284,Hallmark,103,29,0.281553398
CD8,SF_vs_PB_CD8,Hallmark,facet,top 10 per direction by pooled FDR,14,HALLMARK_APICAL_SURFACE,Apical Surface,down,-1.22240339,-0.371602119,0.184769338,0.258251367,0.435127957,Hallmark,27,5,0.185185185
CD8,SF_vs_PB_CD8,Hallmark,facet,top 10 per direction by pooled FDR,15,HALLMARK_ESTROGEN_RESPONSE_EARLY,Estrogen Response Early,down,-1.07950132,-0.241537159,0.275687066,0.361681512,0.538146842,Hallmark,122,25,0.204918033
CD8,SF_vs_PB_CD8,Hallmark,facet,top 10 per direction by pooled FDR,16,HALLMARK_WNT_BETA_CATENIN_SIGNALING,Wnt beta Catenin Signaling,down,-1.10804282,-0.323634394,0.294693897,0.361681512,0.556676723,Hallmark,32,8,0.25
CD8,SF_vs_PB_CD8,Hallmark,facet,top 10 per direction by pooled FDR,17,HALLMARK_ANDROGEN_RESPONSE,Androgen Response,down,-1.02928772,-0.247034165,0.388864521,0.462933954,0.635848906,Hallmark,81,12,0.148148148
CD8,SF_vs_PB_CD8,Hallmark,facet,top 10 per direction by pooled FDR,18,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Oxidative Phosphorylation,down,-0.89993291500000006,-0.190516714,0.761468793,0.803569538,0.871313737,Hallmark,179,45,0.251396648
CD8,SF_vs_PB_CD8,Hallmark,facet,top 10 per direction by pooled FDR,19,HALLMARK_BILE_ACID_METABOLISM,Bile Acid Metabolism,down,-0.826554515,-0.201831115,0.827265098,0.84414806,0.906621757,Hallmark,74,22,0.297297297
CD8,SF_vs_PB_CD8,Hallmark,facet,top 10 per direction by pooled FDR,20,HALLMARK_PROTEIN_SECRETION,Protein Secretion,down,-0.815600915,-0.193584158,0.859713327,0.859713327,0.925161735,Hallmark,86,11,0.127906977
