population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,pooled_under,set_size,leading_edge_size,gene_ratio
CD8,SF_vs_PB_CD8,KEGG,facet,top 10 per direction by pooled FDR,1,KEGG_TYPE_I_DIABETES_MELLITUS,Type I Diabetes Mellitus,up,2.30159503,0.709785048,1.71327233e-7,1.58477691e-5,1.93683758e-5,KEGG,33,21,0.636363636
CD8,SF_vs_PB_CD8,KEGG,facet,top 10 per direction by pooled FDR,2,KEGG_ALLOGRAFT_REJECTION,Allograft Rejection,up,2.27240907,0.700784438,3.98047274e-7,2.45462486e-5,4.0925341e-5,KEGG,33,21,0.636363636
CD8,SF_vs_PB_CD8,KEGG,facet,top 10 per direction by pooled FDR,3,KEGG_AUTOIMMUNE_THYROID_DISEASE,Autoimmune Thyroid Disease,up,2.26410818,0.702661738,7.28471412e-7,3.00234815e-5,6.66666972e-5,KEGG,32,19,0.59375
CD8,SF_vs_PB_CD8,KEGG,facet,top 10 per direction by pooled FDR,4,KEGG_GRAFT_VERSUS_HOST_DISEASE,Graft Versus Host Disease,up,2.25828933,0.68745435,8.11445446e-7,3.00234815e-5,7.19752111e-5,KEGG,35,20,0.571428571
CD8,SF_vs_PB_CD8,KEGG,facet,top 10 per direction by pooled FDR,5,KEGG_ASTHMA,Asthma,up,2.20662139,0.766726828,5.1281618e-6,1.48039439e-4,3.39843872e-4,KEGG,20,11,0.55
CD8,SF_vs_PB_CD8,KEGG,facet,top 10 per direction by pooled FDR,6,KEGG_CHEMOKINE_SIGNALING_PATHWAY,Chemokine Signaling Pathway,up,1.87827106,0.448457763,5.6014923e-6,1.48039439e-4,3.64919817e-4,KEGG,137,57,0.416058394
CD8,SF_vs_PB_CD8,KEGG,facet,top 10 per direction by pooled FDR,7,KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,Antigen Processing and Presentation,up,2.05745077,0.551901748,9.45276823e-6,2.18595265e-4,5.64766168e-4,KEGG,66,22,0.333333333
CD8,SF_vs_PB_CD8,KEGG,facet,top 10 per direction by pooled FDR,8,KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,Regulation of Actin Cytoskeleton,up,1.82774434,0.434048784,1.16005574e-5,2.38455903e-4,6.62208059e-4,KEGG,142,62,0.436619718
CD8,SF_vs_PB_CD8,KEGG,facet,top 10 per direction by pooled FDR,9,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,Intestinal Immune Network For Iga Production,up,2.07422839,0.623760181,1.97103998e-5,3.64642397e-4,0.0010284191,KEGG,37,13,0.351351351
CD8,SF_vs_PB_CD8,KEGG,facet,top 10 per direction by pooled FDR,10,KEGG_AXON_GUIDANCE,Axon Guidance,up,1.97577283,0.517291975,2.36048413e-5,3.96990513e-4,0.00118342359,KEGG,76,42,0.552631579
CD8,SF_vs_PB_CD8,KEGG,facet,top 10 per direction by pooled FDR,11,KEGG_RIBOSOME,Ribosome,down,-3.73655707,-0.888091305,3.0654521199999992e-49,5.67108642e-47,5.8912880599999994e-46,KEGG,85,76,0.894117647
CD8,SF_vs_PB_CD8,KEGG,facet,top 10 per direction by pooled FDR,12,KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,Neuroactive Ligand Receptor Interaction,down,-1.71115479,-0.436181103,0.00206762982,0.0159379798,0.0316204767,KEGG,59,16,0.271186441
CD8,SF_vs_PB_CD8,KEGG,facet,top 10 per direction by pooled FDR,13,KEGG_ARACHIDONIC_ACID_METABOLISM,Arachidonic Acid Metabolism,down,-1.67281554,-0.513677267,0.0120274914,0.0585548924,0.0977371413,KEGG,26,11,0.423076923
CD8,SF_vs_PB_CD8,KEGG,facet,top 10 per direction by pooled FDR,14,KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,Metabolism of Xenobiotics by Cytochrome P450,down,-1.64912508,-0.55074547,0.0176117941,0.0724040423,0.121460286,KEGG,19,11,0.578947368
CD8,SF_vs_PB_CD8,KEGG,facet,top 10 per direction by pooled FDR,15,KEGG_PROTEIN_EXPORT,Protein Export,down,-1.59742166,-0.506847548,0.023407176,0.08327553,0.14220661,KEGG,23,10,0.434782609
CD8,SF_vs_PB_CD8,KEGG,facet,top 10 per direction by pooled FDR,16,KEGG_SPLICEOSOME,Spliceosome,down,-1.33779582,-0.298561874,0.0322234157,0.106452355,0.170982649,KEGG,124,36,0.290322581
CD8,SF_vs_PB_CD8,KEGG,facet,top 10 per direction by pooled FDR,17,KEGG_LINOLEIC_ACID_METABOLISM,Linoleic Acid Metabolism,down,-1.5291968,-0.65851884,0.053064275,0.140241298,0.225414466,KEGG,8,7,0.875
CD8,SF_vs_PB_CD8,KEGG,facet,top 10 per direction by pooled FDR,18,KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,Cysteine and Methionine Metabolism,down,-1.42940123,-0.434862095,0.06264945,0.160974281,0.248368687,KEGG,27,9,0.333333333
CD8,SF_vs_PB_CD8,KEGG,facet,top 10 per direction by pooled FDR,19,KEGG_BASAL_CELL_CARCINOMA,Basal Cell Carcinoma,down,-1.42002906,-0.44073688,0.0713673178,0.172405155,0.266390218,KEGG,25,9,0.36
CD8,SF_vs_PB_CD8,KEGG,facet,top 10 per direction by pooled FDR,20,KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,Aminoacyl tRNA Biosynthesis,down,-1.36787883,-0.383734591,0.0741777293,0.175934358,0.271710101,KEGG,38,17,0.447368421
