population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,pooled_under,set_size,leading_edge_size,gene_ratio
CD8,SF_vs_PB_CD8,MitoPathways,dotplot,top 20 by pooled FDR,1,MITOPATHWAYS_Mitochondrial_central_dogma,Mitochondrial Central Dogma,down,-1.7544138,-0.360204584,2.39396289e-6,2.63335918e-4,1.82829007e-4,MitoPathways,228,107,0.469298246
CD8,SF_vs_PB_CD8,MitoPathways,dotplot,top 20 by pooled FDR,2,MITOPATHWAYS_Mitochondrial_central_dogma.Translation,Mitochondrial Central Dogma Translation,down,-1.76955286,-0.383626544,3.50970974e-5,0.00193034036,0.00160611003,MitoPathways,152,76,0.5
CD8,SF_vs_PB_CD8,MitoPathways,dotplot,top 20 by pooled FDR,3,MITOPATHWAYS_Mitochondrial_central_dogma.mtRNA_metabolism,Mitochondrial Central Dogma Mtrna Metabolism,down,-1.84853338,-0.44845756,1.53014076e-4,0.00561051612,0.00498462803,MitoPathways,76,39,0.513157895
CD8,SF_vs_PB_CD8,MitoPathways,dotplot,top 20 by pooled FDR,4,MITOPATHWAYS_Protein_import_sorting_and_homeostasis.Protein_homeostasis.Chaperones,Protein Import Sorting and Homeostasis Protein Homeostasis Chaperones,down,-1.84594186,-0.657433777,0.00348384139,0.0894898857,0.0452428592,MitoPathways,15,10,0.666666667
CD8,SF_vs_PB_CD8,MitoPathways,dotplot,top 20 by pooled FDR,5,MITOPATHWAYS_Protein_import_sorting_and_homeostasis,Protein Import Sorting and Homeostasis,down,-1.5859869,-0.378654429,0.00406772208,0.0894898857,0.0499563056,MitoPathways,83,29,0.34939759
CD8,SF_vs_PB_CD8,MitoPathways,dotplot,top 20 by pooled FDR,6,MITOPATHWAYS_Mitochondrial_central_dogma.mtRNA_metabolism.mt-tRNA_modifications,Mitochondrial Central Dogma Mtrna Metabolism Mt-Trna Modifications,down,-1.76530248,-0.566313942,0.00643670573,0.118006272,0.0672355892,MitoPathways,22,13,0.590909091
CD8,SF_vs_PB_CD8,MitoPathways,dotplot,top 20 by pooled FDR,7,MITOPATHWAYS_Protein_import_sorting_and_homeostasis.Protein_homeostasis,Protein Import Sorting and Homeostasis Protein Homeostasis,down,-1.61773384,-0.42654501,0.00796446623,0.125155898,0.0762584025,MitoPathways,50,16,0.32
CD8,SF_vs_PB_CD8,MitoPathways,dotplot,top 20 by pooled FDR,8,MITOPATHWAYS_Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_granules,Mitochondrial Central Dogma Mtrna Metabolism Mtrna Granules,down,-1.67927443,-0.506169396,0.0102771948,0.141311428,0.0895817158,MitoPathways,28,15,0.535714286
CD8,SF_vs_PB_CD8,MitoPathways,dotplot,top 20 by pooled FDR,9,MITOPATHWAYS_Metabolism.Carbohydrate_metabolism.Gluconeogenesis,Metabolism Carbohydrate Metabolism Gluconeogenesis,up,1.65722705,0.770037686,0.0117801774,0.143979947,0.0970655817,MitoPathways,7,4,0.571428571
CD8,SF_vs_PB_CD8,MitoPathways,dotplot,top 20 by pooled FDR,10,MITOPATHWAYS_Mitochondrial_central_dogma.Translation.Mitochondrial_ribosome_assembly,Mitochondrial Central Dogma Translation Mitochondrial Ribosome Assembly,down,-1.63307866,-0.512350643,0.0165334475,0.164137848,0.116899888,MitoPathways,24,11,0.458333333
CD8,SF_vs_PB_CD8,MitoPathways,dotplot,top 20 by pooled FDR,11,MITOPATHWAYS_OXPHOS.Complex_I.CI_assembly_factors,OXPHOS Complex I Ci Assembly Factors,down,-1.64354534,-0.52725391,0.0172352816,0.164137848,0.119950071,MitoPathways,22,10,0.454545455
CD8,SF_vs_PB_CD8,MitoPathways,dotplot,top 20 by pooled FDR,12,MITOPATHWAYS_Metabolism.Metals_and_cofactors.Carnitine_synthesis_and_transport,Metabolism Metals and Cofactors Carnitine Synthesis and Transport,down,-1.6195169,-0.803383437,0.0190908313,0.164137848,0.127483071,MitoPathways,5,4,0.8
CD8,SF_vs_PB_CD8,MitoPathways,dotplot,top 20 by pooled FDR,13,MITOPATHWAYS_Metabolism.Metals_and_cofactors,Metabolism Metals and Cofactors,down,-1.40080015,-0.319222521,0.0193981093,0.164137848,0.128710585,MitoPathways,109,47,0.431192661
CD8,SF_vs_PB_CD8,MitoPathways,dotplot,top 20 by pooled FDR,14,MITOPATHWAYS_Mitochondrial_central_dogma.Translation.mt-tRNA_synthetases,Mitochondrial Central Dogma Translation Mt-Trna Synthetases,down,-1.61809441,-0.525523711,0.0216001504,0.169715468,0.134863527,MitoPathways,21,12,0.571428571
CD8,SF_vs_PB_CD8,MitoPathways,dotplot,top 20 by pooled FDR,15,MITOPATHWAYS_Mitochondrial_dynamics_and_surveillance.Apoptosis,Mitochondrial Dynamics and Surveillance Apoptosis,up,1.53707223,0.48599825,0.0276993709,0.20312872,0.157428351,MitoPathways,30,13,0.433333333
CD8,SF_vs_PB_CD8,MitoPathways,dotplot,top 20 by pooled FDR,16,MITOPATHWAYS_Mitochondrial_central_dogma.Translation.Translation_factors,Mitochondrial Central Dogma Translation Translation Factors,down,-1.54282,-0.540071628,0.0414831554,0.255719124,0.197353031,MitoPathways,16,13,0.8125
CD8,SF_vs_PB_CD8,MitoPathways,dotplot,top 20 by pooled FDR,17,MITOPATHWAYS_Protein_import_sorting_and_homeostasis.Protein_import_and_sorting,Protein Import Sorting and Homeostasis Protein Import and Sorting,down,-1.41643647,-0.380231585,0.0440186301,0.255719124,0.204604128,MitoPathways,46,17,0.369565217
CD8,SF_vs_PB_CD8,MitoPathways,dotplot,top 20 by pooled FDR,18,MITOPATHWAYS_OXPHOS.Complex_III,OXPHOS Complex III,down,-1.5369913,-0.547400767,0.044991978,0.255719124,0.207124747,MitoPathways,15,10,0.666666667
CD8,SF_vs_PB_CD8,MitoPathways,dotplot,top 20 by pooled FDR,19,MITOPATHWAYS_OXPHOS.OXPHOS_assembly_factors,OXPHOS OXPHOS Assembly Factors,down,-1.3609697,-0.337387746,0.0467741075,0.255719124,0.211391251,MitoPathways,68,30,0.441176471
CD8,SF_vs_PB_CD8,MitoPathways,dotplot,top 20 by pooled FDR,20,MITOPATHWAYS_Metabolism.Metals_and_cofactors.Heme-containing_proteins,Metabolism Metals and Cofactors Heme-Containing Proteins,down,-1.54388543,-0.638512093,0.048304578,0.255719124,0.214744947,MitoPathways,9,8,0.888888889
