population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,pooled_under,set_size,leading_edge_size,gene_ratio
CD8,SF_vs_PB_CD8,MitoPathways,facet,top 10 per direction by pooled FDR,1,MITOPATHWAYS_Metabolism.Carbohydrate_metabolism.Gluconeogenesis,Metabolism Carbohydrate Metabolism Gluconeogenesis,up,1.65722705,0.770037686,0.0117801774,0.143979947,0.0971265407,MitoPathways,7,4,0.571428571
CD8,SF_vs_PB_CD8,MitoPathways,facet,top 10 per direction by pooled FDR,2,MITOPATHWAYS_Mitochondrial_dynamics_and_surveillance.Apoptosis,Mitochondrial Dynamics and Surveillance Apoptosis,up,1.53707223,0.48599825,0.0276993709,0.20312872,0.157492282,MitoPathways,30,13,0.433333333
CD8,SF_vs_PB_CD8,MitoPathways,facet,top 10 per direction by pooled FDR,3,MITOPATHWAYS_Metabolism.Carbohydrate_metabolism.TCA-associated,Metabolism Carbohydrate Metabolism Tca-Associated,up,1.37471794,0.524808691,0.109839654,0.389753611,0.339101355,MitoPathways,14,4,0.285714286
CD8,SF_vs_PB_CD8,MitoPathways,facet,top 10 per direction by pooled FDR,4,MITOPATHWAYS_Metabolism.Vitamin_metabolism.Folate_and_1-C_metabolism,Metabolism Vitamin Metabolism Folate and 1-C Metabolism,up,1.25300844,0.454103651,0.188421868,0.547113231,0.44876611,MitoPathways,17,4,0.235294118
CD8,SF_vs_PB_CD8,MitoPathways,facet,top 10 per direction by pooled FDR,5,MITOPATHWAYS_Protein_import_sorting_and_homeostasis.Protein_import_and_sorting.TIM23_presequence_pathway,Protein Import Sorting and Homeostasis Protein Import and Sorting Tim23 Presequence Pathway,up,1.27606351,0.619923629,0.193976509,0.547113231,0.45456503,MitoPathways,6,5,0.833333333
CD8,SF_vs_PB_CD8,MitoPathways,facet,top 10 per direction by pooled FDR,6,MITOPATHWAYS_Metabolism.Metals_and_cofactors.Copper_metabolism,Metabolism Metals and Cofactors Copper Metabolism,up,1.22007831,0.566914643,0.242234529,0.606348379,0.507855701,MitoPathways,7,2,0.285714286
CD8,SF_vs_PB_CD8,MitoPathways,facet,top 10 per direction by pooled FDR,7,MITOPATHWAYS_Small_molecule_transport,Small Molecule Transport,up,1.09568123,0.290515456,0.299386796,0.69704792,0.564763943,MitoPathways,71,10,0.14084507
CD8,SF_vs_PB_CD8,MitoPathways,facet,top 10 per direction by pooled FDR,8,MITOPATHWAYS_Metabolism.Amino_acid_metabolism.Glycine_metabolism,Metabolism Amino Acid Metabolism Glycine Metabolism,up,1.1437081,0.455646646,0.300089718,0.69704792,0.565075783,MitoPathways,12,2,0.166666667
CD8,SF_vs_PB_CD8,MitoPathways,facet,top 10 per direction by pooled FDR,9,MITOPATHWAYS_Metabolism.Sulfur_metabolism,Metabolism Sulfur Metabolism,up,1.13296658,0.462193267,0.31351215,0.697375691,0.576219691,MitoPathways,11,5,0.454545455
CD8,SF_vs_PB_CD8,MitoPathways,facet,top 10 per direction by pooled FDR,10,MITOPATHWAYS_Mitochondrial_dynamics_and_surveillance.Trafficking,Mitochondrial Dynamics and Surveillance Trafficking,up,1.10911671,0.538819306,0.358784878,0.733333333,0.615234217,MitoPathways,6,3,0.5
