population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,set_size,leading_edge_size,gene_ratio
CD8,SF_vs_PB_CD8,Reactome,dotplot,top 20 by pooled FDR,1,REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,Eukaryotic Translation Initiation,down,-3.73708459,-0.840580569,6.813946929999999e-51,1.07183385e-47,7.660239139999999e-47,118,88,0.745762712
CD8,SF_vs_PB_CD8,Reactome,dotplot,top 20 by pooled FDR,2,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,Eukaryotic Translation Elongation,down,-3.7634318,-0.882296005,5.29111005e-50,4.16145805e-47,1.9827553099999997e-46,92,80,0.869565217
CD8,SF_vs_PB_CD8,Reactome,dotplot,top 20 by pooled FDR,3,REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,Srp Dependent Cotranslational Protein Targeting to Membrane,down,-3.72064373,-0.846146095,1.8966396199999997e-49,9.94471374e-47,5.33050565e-46,110,79,0.718181818
CD8,SF_vs_PB_CD8,Reactome,dotplot,top 20 by pooled FDR,4,REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION,Influenza Viral RNA Transcription and Replication,down,-3.62672108,-0.801683982,8.18465802e-48,3.21861677e-45,1.31445608e-44,133,78,0.586466165
CD8,SF_vs_PB_CD8,Reactome,dotplot,top 20 by pooled FDR,5,REACTOME_NONSENSE_MEDIATED_DECAY_NMD,Nonsense Mediated Decay Nmd,down,-3.66385082,-0.828811296,1.4054853799999998e-46,4.421657e-44,1.97505833e-43,114,78,0.684210526
CD8,SF_vs_PB_CD8,Reactome,dotplot,top 20 by pooled FDR,6,REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,Response of Eif2ak4 Gcn2 to Amino Acid Deficiency,down,-3.70360228,-0.857024922,3.3082792399999996e-46,8.6732054e-44,4.13240835e-43,99,77,0.777777778
CD8,SF_vs_PB_CD8,Reactome,dotplot,top 20 by pooled FDR,7,REACTOME_SELENOAMINO_ACID_METABOLISM,Selenoamino Acid Metabolism,down,-3.67868118,-0.847117442,5.11363813e-45,1.1491075399999999e-42,5.2261381699999994e-42,102,79,0.774509804
CD8,SF_vs_PB_CD8,Reactome,dotplot,top 20 by pooled FDR,8,REACTOME_RRNA_PROCESSING,rRNA Processing,down,-3.42437111,-0.715729936,9.22860552e-44,1.8145745599999998e-41,8.645665269999999e-41,196,99,0.505102041
CD8,SF_vs_PB_CD8,Reactome,dotplot,top 20 by pooled FDR,9,REACTOME_CELLULAR_RESPONSE_TO_STARVATION,Cellular Response to Starvation,down,-3.50470036,-0.763648858,1.3697736499999999e-42,2.39405994e-40,1.1845381e-39,146,83,0.568493151
CD8,SF_vs_PB_CD8,Reactome,dotplot,top 20 by pooled FDR,10,REACTOME_INFLUENZA_INFECTION,Influenza Infection,down,-3.4576636,-0.74791093,2.1627047099999998e-41,3.4019345e-39,1.73665188e-38,154,81,0.525974026
CD8,SF_vs_PB_CD8,Reactome,dotplot,top 20 by pooled FDR,11,REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL,Ribosome Associated Quality Control,down,-3.36233612,-0.739059788,5.592667809999999e-36,7.99751496e-34,3.49293175e-33,138,74,0.536231884
CD8,SF_vs_PB_CD8,Reactome,dotplot,top 20 by pooled FDR,12,REACTOME_TRANSLATION,Translation,down,-2.88686398,-0.567105769,9.423664e-35,1.23528529e-32,5.57583319e-32,335,126,0.376119403
CD8,SF_vs_PB_CD8,Reactome,dotplot,top 20 by pooled FDR,13,REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,Regulation of Expression of Slits and Robos,down,-3.32537939,-0.727801159,2.8669962899999997e-34,3.46906551e-32,1.6115386099999998e-31,142,77,0.542253521
CD8,SF_vs_PB_CD8,Reactome,dotplot,top 20 by pooled FDR,14,REACTOME_SIGNALING_BY_ROBO_RECEPTORS,Signaling by Robo Receptors,down,-3.02190613,-0.640678933,8.469657119999999e-28,9.51626475e-26,4.139821099999999e-25,177,79,0.446327684
CD8,SF_vs_PB_CD8,Reactome,dotplot,top 20 by pooled FDR,15,REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,Metabolism of Amino Acids and Derivatives,down,-2.77710826,-0.561726941,2.2367171e-25,2.34557066e-23,1.00580694e-22,256,79,0.30859375
CD8,SF_vs_PB_CD8,Reactome,dotplot,top 20 by pooled FDR,16,REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY,Sars Cov 1 Modulates Host Translation Machinery,down,-3.17516552,-0.895548369,7.253484250000001e-23,7.131081710000001e-21,3.136295e-20,37,30,0.810810811
CD8,SF_vs_PB_CD8,Reactome,dotplot,top 20 by pooled FDR,17,REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,Activation of the mRNA Upon Binding of the Cap Binding Complex and Eifs and Subsequent Binding to 43s,down,-3.200844,-0.812313835,1.3719263899999999e-22,1.26943542e-20,5.712295010000001e-20,60,42,0.7
CD8,SF_vs_PB_CD8,Reactome,dotplot,top 20 by pooled FDR,18,REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY,Sars Cov 2 Modulates Host Translation Machinery,down,-3.09646786,-0.813070506,8.514782460000001e-20,7.440973779999999e-18,2.9007025599999995e-17,51,32,0.62745098
CD8,SF_vs_PB_CD8,Reactome,dotplot,top 20 by pooled FDR,19,REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE,Ribosome Quality Control Rqc Complex Extracts and Degrades Nascent Peptide,down,-2.96635758,-0.690543771,1.17226244e-19,9.705099e-18,3.8760512599999996e-17,96,46,0.479166667
CD8,SF_vs_PB_CD8,Reactome,dotplot,top 20 by pooled FDR,20,REACTOME_RHO_GTPASE_EFFECTORS,rho Gtpase Effectors,up,2.20542759,0.495033937,1.14362256e-12,8.9945914e-11,2.85702328e-10,224,112,0.5
