population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,pooled_under,set_size,leading_edge_size,gene_ratio
CD8,SF_vs_PB_CD8,Reactome,facet,top 10 per direction by pooled FDR,1,REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,MHC Class II Antigen Presentation,up,2.44839672,0.611121527,5.25918673e-12,3.97444254e-10,1.21297883e-9,Reactome,101,53,0.524752475
CD8,SF_vs_PB_CD8,Reactome,facet,top 10 per direction by pooled FDR,2,REACTOME_RHO_GTPASE_EFFECTORS,rho Gtpase Effectors,up,1.9972944,0.438533993,3.12878783e-10,2.25699377e-8,6.01353021e-8,Reactome,276,141,0.510869565
CD8,SF_vs_PB_CD8,Reactome,facet,top 10 per direction by pooled FDR,3,REACTOME_MITOTIC_PROMETAPHASE,Mitotic Prometaphase,up,2.07493348,0.474364322,2.07475095e-9,1.37192906e-7,3.51853352e-7,Reactome,191,99,0.518324607
CD8,SF_vs_PB_CD8,Reactome,facet,top 10 per direction by pooled FDR,4,REACTOME_M_PHASE,M Phase,up,1.83438892,0.391181661,8.39826025e-9,5.12616885e-7,1.25777581e-6,Reactome,375,159,0.424
CD8,SF_vs_PB_CD8,Reactome,facet,top 10 per direction by pooled FDR,5,REACTOME_MITOTIC_G2_G2_M_PHASES,Mitotic G2 G2 M Phases,up,2.04844189,0.472899351,9.39664829e-9,5.52314105e-7,1.3378043e-6,Reactome,177,80,0.451977401
CD8,SF_vs_PB_CD8,Reactome,facet,top 10 per direction by pooled FDR,6,REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,rho Gtpases Activate Formins,up,2.09344543,0.506672558,5.4362935e-8,3.0812135e-6,6.74100394e-6,Reactome,124,73,0.588709677
CD8,SF_vs_PB_CD8,Reactome,facet,top 10 per direction by pooled FDR,7,REACTOME_INTERFERON_SIGNALING,Interferon Signaling,up,1.88200765,0.417692871,8.88242407e-8,4.86083e-6,1.04522566e-5,Reactome,248,81,0.326612903
CD8,SF_vs_PB_CD8,Reactome,facet,top 10 per direction by pooled FDR,8,REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,Mitotic Metaphase and Anaphase,up,1.94151949,0.439717005,1.20526531e-7,6.3758535e-6,1.38991196e-5,Reactome,207,101,0.487922705
CD8,SF_vs_PB_CD8,Reactome,facet,top 10 per direction by pooled FDR,9,REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT,Golgi to ER Retrograde Transport,up,2.08224495,0.513781979,3.44095921e-7,1.76154912e-5,3.60737651e-5,Reactome,109,51,0.467889908
CD8,SF_vs_PB_CD8,Reactome,facet,top 10 per direction by pooled FDR,10,REACTOME_CELL_CYCLE_CHECKPOINTS,Cell Cycle Checkpoints,up,1.79897663,0.394786531,4.11054508e-7,2.03857345e-5,4.12198312e-5,Reactome,277,124,0.44765343
CD8,SF_vs_PB_CD8,Reactome,facet,top 10 per direction by pooled FDR,11,REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,Eukaryotic Translation Initiation,down,-3.73428709,-0.840580569,6.830121509999999e-51,1.08394028e-47,5.75261461e-47,Reactome,118,88,0.745762712
CD8,SF_vs_PB_CD8,Reactome,facet,top 10 per direction by pooled FDR,12,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,Eukaryotic Translation Elongation,down,-3.75800103,-0.882296005,5.2803466499999995e-50,4.18995506e-47,2.0297652499999997e-46,Reactome,92,80,0.869565217
CD8,SF_vs_PB_CD8,Reactome,facet,top 10 per direction by pooled FDR,13,REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,Srp Dependent Cotranslational Protein Targeting to Membrane,down,-3.72290672,-0.846658525,1.6407610899999995e-49,8.67962614e-47,3.7842513699999995e-46,Reactome,111,80,0.720720721
CD8,SF_vs_PB_CD8,Reactome,facet,top 10 per direction by pooled FDR,14,REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,Response of Eif2ak4 Gcn2 to Amino Acid Deficiency,down,-3.70028026,-0.856614539,6.72955134e-47,2.66994949e-44,1.10864551e-43,Reactome,100,77,0.77
CD8,SF_vs_PB_CD8,Reactome,facet,top 10 per direction by pooled FDR,15,REACTOME_SELENOAMINO_ACID_METABOLISM,Selenoamino Acid Metabolism,down,-3.66624976,-0.834942676,1.02944008e-46,3.2674428e-44,1.31905589e-43,Reactome,110,81,0.736363636
CD8,SF_vs_PB_CD8,Reactome,facet,top 10 per direction by pooled FDR,16,REACTOME_NONSENSE_MEDIATED_DECAY_NMD,Nonsense Mediated Decay Nmd,down,-3.6625686,-0.828811296,1.4060648099999998e-46,3.71904141e-44,1.62147393e-43,Reactome,114,78,0.684210526
CD8,SF_vs_PB_CD8,Reactome,facet,top 10 per direction by pooled FDR,17,REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION,Influenza Viral RNA Transcription and Replication,down,-3.61725996,-0.797074356,1.02455708e-45,2.32281727e-43,1.0741083899999999e-42,Reactome,135,78,0.577777778
CD8,SF_vs_PB_CD8,Reactome,facet,top 10 per direction by pooled FDR,18,REACTOME_RRNA_PROCESSING,rRNA Processing,down,-3.38005598,-0.701146823,6.02684966e-44,1.1955762999999998e-41,5.791802519999999e-41,Reactome,208,98,0.471153846
CD8,SF_vs_PB_CD8,Reactome,facet,top 10 per direction by pooled FDR,19,REACTOME_CELLULAR_RESPONSE_TO_STARVATION,Cellular Response to Starvation,down,-3.48940795,-0.757698164,1.54979192e-42,2.73279975e-40,1.3747846499999999e-39,Reactome,150,83,0.553333333
CD8,SF_vs_PB_CD8,Reactome,facet,top 10 per direction by pooled FDR,20,REACTOME_INFLUENZA_INFECTION,Influenza Infection,down,-3.4452526,-0.743950365,7.15133391e-42,1.13491669e-39,5.890655899999999e-39,Reactome,156,81,0.519230769
