population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,pooled_under,set_size,leading_edge_size,gene_ratio
CD8,SF_vs_PB_CD8,TF_Targets,dotplot,top 20 by pooled FDR,1,RFXAP,Rfxap,up,2.36363246,0.86994777,1.44122352e-8,8.48880654e-6,1.92462685e-6,TF_Targets,16,12,0.75
CD8,SF_vs_PB_CD8,TF_Targets,dotplot,top 20 by pooled FDR,2,HIF1A,HIF-1alpha,up,1.86477856,0.408041182,6.37828675e-8,1.33406544e-5,7.38774826e-6,TF_Targets,285,85,0.298245614
CD8,SF_vs_PB_CD8,TF_Targets,dotplot,top 20 by pooled FDR,3,RFXANK,Rfxank,up,2.33753205,0.834710179,6.79490037e-8,1.33406544e-5,7.7907994e-6,TF_Targets,18,12,0.666666667
CD8,SF_vs_PB_CD8,TF_Targets,dotplot,top 20 by pooled FDR,4,STAT1,STAT1,up,1.82658823,0.409028836,1.20143903e-6,1.76911897e-4,9.72432863e-5,TF_Targets,230,78,0.339130435
CD8,SF_vs_PB_CD8,TF_Targets,dotplot,top 20 by pooled FDR,5,ATF3,Atf3,up,2.08844111,0.556126286,3.10086678e-6,3.65282106e-4,2.13320841e-4,TF_Targets,69,36,0.52173913
CD8,SF_vs_PB_CD8,TF_Targets,dotplot,top 20 by pooled FDR,6,RFX5,Rfx5,up,2.20850111,0.741488001,4.05368536e-6,3.97936779e-4,2.72268535e-4,TF_Targets,23,12,0.52173913
CD8,SF_vs_PB_CD8,TF_Targets,dotplot,top 20 by pooled FDR,7,SP3,Sp3,up,1.75383435,0.390409543,7.20950694e-6,5.72214225e-4,4.19667248e-4,TF_Targets,243,82,0.33744856
CD8,SF_vs_PB_CD8,TF_Targets,dotplot,top 20 by pooled FDR,8,IRF1,IRF1,up,1.91166182,0.466419498,7.77200985e-6,5.72214225e-4,4.45555979e-4,TF_Targets,118,47,0.398305085
CD8,SF_vs_PB_CD8,TF_Targets,dotplot,top 20 by pooled FDR,9,NFKB1,NF-kappaB1,up,1.70186344,0.373719293,1.06609808e-5,6.97701967e-4,5.79008581e-4,TF_Targets,276,80,0.289855072
CD8,SF_vs_PB_CD8,TF_Targets,dotplot,top 20 by pooled FDR,10,E2F4,E2f4,up,1.82673333,0.430221759,1.51513638e-5,8.92415328e-4,7.85311098e-4,TF_Targets,152,79,0.519736842
CD8,SF_vs_PB_CD8,TF_Targets,dotplot,top 20 by pooled FDR,11,EGR1,Egr1,up,1.70087304,0.382111722,1.94953284e-5,0.00104388622,9.57971744e-4,TF_Targets,224,71,0.316964286
CD8,SF_vs_PB_CD8,TF_Targets,dotplot,top 20 by pooled FDR,12,IRF3,IRF3,up,2.00806998,0.552026536,2.36688582e-5,0.00116174645,0.00111018681,TF_Targets,58,19,0.327586207
CD8,SF_vs_PB_CD8,TF_Targets,dotplot,top 20 by pooled FDR,13,STAT3,STAT3,up,1.65951328,0.364923629,2.64265651e-5,0.00119732668,0.0011891277600000001,TF_Targets,273,88,0.322344322
CD8,SF_vs_PB_CD8,TF_Targets,dotplot,top 20 by pooled FDR,14,IRF2,IRF-2,up,2.01484869,0.585096614,3.15633168e-5,0.00125395954,0.00137270195,TF_Targets,44,21,0.477272727
CD8,SF_vs_PB_CD8,TF_Targets,dotplot,top 20 by pooled FDR,15,HSF1,Hsf1,up,1.97716739,0.529398883,3.19344536e-5,0.00125395954,0.00138354192,TF_Targets,67,26,0.388059701
CD8,SF_vs_PB_CD8,TF_Targets,dotplot,top 20 by pooled FDR,16,TP63,Tp63,up,1.77600065,0.42168956,5.2530744e-5,0.00193378801,0.00202058134,TF_Targets,143,42,0.293706294
CD8,SF_vs_PB_CD8,TF_Targets,dotplot,top 20 by pooled FDR,17,TBX21,Tbx21,up,1.96960826,0.57195914,6.34383619e-5,0.00219795266,0.00234567038,TF_Targets,44,25,0.568181818
CD8,SF_vs_PB_CD8,TF_Targets,dotplot,top 20 by pooled FDR,18,CEBPA,Cebpa,up,1.74375078,0.423619893,1.45153839e-4,0.00474975617,0.00462820568,TF_Targets,122,37,0.303278689
CD8,SF_vs_PB_CD8,TF_Targets,dotplot,top 20 by pooled FDR,19,NR1H3,Nr1h3,up,1.85371725,0.491086368,2.38701464e-4,0.00739974539,0.00674005054,TF_Targets,71,37,0.521126761
CD8,SF_vs_PB_CD8,TF_Targets,dotplot,top 20 by pooled FDR,20,PPARG,Pparg,up,1.63099247,0.369236746,2.53292806e-4,0.00745947315,0.00697846273,TF_Targets,209,59,0.282296651
