population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,pooled_under,set_size,leading_edge_size,gene_ratio
CD8,SF_vs_PB_CD8,TF_Targets,facet,top 10 per direction by pooled FDR,1,RFXAP,Rfxap,up,2.36809012,0.86994777,2.22764638e-8,1.3209943e-5,2.98685935e-6,TF_Targets,16,12,0.75
CD8,SF_vs_PB_CD8,TF_Targets,facet,top 10 per direction by pooled FDR,2,HIF1A,HIF-1alpha,up,1.86408816,0.407618769,5.81627329e-8,1.38421472e-5,7.21155348e-6,TF_Targets,288,86,0.298611111
CD8,SF_vs_PB_CD8,TF_Targets,facet,top 10 per direction by pooled FDR,3,RFXANK,Rfxank,up,2.34396964,0.834710179,7.00277261e-8,1.38421472e-5,8.49989168e-6,TF_Targets,18,12,0.666666667
CD8,SF_vs_PB_CD8,TF_Targets,facet,top 10 per direction by pooled FDR,4,STAT1,STAT1,up,1.82647087,0.409028836,8.03368714e-7,1.09570286e-4,7.18111987e-5,TF_Targets,230,78,0.339130435
CD8,SF_vs_PB_CD8,TF_Targets,facet,top 10 per direction by pooled FDR,5,SP3,Sp3,up,1.79746659,0.39902495,9.23864128e-7,1.09570286e-4,8.13212005e-5,TF_Targets,249,100,0.401606426
CD8,SF_vs_PB_CD8,TF_Targets,facet,top 10 per direction by pooled FDR,6,ATF3,Atf3,up,2.08153442,0.552471566,1.59508467e-6,1.57647534e-4,1.29527615e-4,TF_Targets,70,36,0.514285714
CD8,SF_vs_PB_CD8,TF_Targets,facet,top 10 per direction by pooled FDR,7,IRF1,IRF1,up,1.95878784,0.476570132,3.45882855e-6,2.9301219e-4,2.47725168e-4,TF_Targets,120,48,0.4
CD8,SF_vs_PB_CD8,TF_Targets,facet,top 10 per direction by pooled FDR,8,E2F4,E2f4,up,1.84898728,0.43300793,4.82120561e-6,3.32429788e-4,3.29019813e-4,TF_Targets,159,82,0.51572327
CD8,SF_vs_PB_CD8,TF_Targets,facet,top 10 per direction by pooled FDR,9,RFX5,Rfx5,up,2.20951034,0.741488001,5.04530875e-6,3.32429788e-4,3.38241019e-4,TF_Targets,23,12,0.52173913
CD8,SF_vs_PB_CD8,TF_Targets,facet,top 10 per direction by pooled FDR,10,NFKB1,NF-kappaB1,up,1.69879844,0.373041022,5.78067901e-6,3.42794265e-4,3.72385529e-4,TF_Targets,277,80,0.288808664
CD8,SF_vs_PB_CD8,TF_Targets,facet,top 10 per direction by pooled FDR,11,ZBTB14,Zbtb14,down,-1.80142473,-0.846518247,0.00215866163,0.0297694499,0.0327437973,TF_Targets,6,3,0.5
CD8,SF_vs_PB_CD8,TF_Targets,facet,top 10 per direction by pooled FDR,12,ELF2,Elf2,down,-1.80805263,-0.809217309,0.0031810358,0.0377270846,0.0426517718,TF_Targets,7,3,0.428571429
CD8,SF_vs_PB_CD8,TF_Targets,facet,top 10 per direction by pooled FDR,13,TFCP2,Tfcp2,down,-1.6932489,-0.457428354,0.00399050361,0.0430248844,0.049535117,TF_Targets,45,18,0.4
CD8,SF_vs_PB_CD8,TF_Targets,facet,top 10 per direction by pooled FDR,14,RORC,Rorc,down,-1.66079582,-0.592091867,0.0181930807,0.0998934892,0.124132789,TF_Targets,15,6,0.4
CD8,SF_vs_PB_CD8,TF_Targets,facet,top 10 per direction by pooled FDR,15,ZBED1,Zbed1,down,-1.63774004,-0.55493693,0.0198823338,0.105678872,0.130412404,TF_Targets,18,8,0.444444444
CD8,SF_vs_PB_CD8,TF_Targets,facet,top 10 per direction by pooled FDR,16,BCLAF1,Bclaf1,down,-1.54488726,-0.725967193,0.0432595791,0.164441861,0.202591592,TF_Targets,6,3,0.5
CD8,SF_vs_PB_CD8,TF_Targets,facet,top 10 per direction by pooled FDR,17,XBP1,Xbp1,down,-1.42354778,-0.399389437,0.050689074,0.177861662,0.220814398,TF_Targets,38,15,0.394736842
CD8,SF_vs_PB_CD8,TF_Targets,facet,top 10 per direction by pooled FDR,18,ESRRA,Esrra,down,-1.453852,-0.451831364,0.0560306835,0.184244265,0.232825157,TF_Targets,25,6,0.24
CD8,SF_vs_PB_CD8,TF_Targets,facet,top 10 per direction by pooled FDR,19,HOXB13,Hoxb13,down,-1.49631915,-0.703144263,0.0613491635,0.193510925,0.245624582,TF_Targets,6,4,0.666666667
CD8,SF_vs_PB_CD8,TF_Targets,facet,top 10 per direction by pooled FDR,20,LMO2,Lmo2,down,-1.41494262,-0.495455757,0.0850701633,0.234635381,0.292863734,TF_Targets,16,4,0.25
