population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,pooled_under,set_size,leading_edge_size,gene_ratio
CD8,SF_vs_PB_CD8,WikiPathways,dotplot,top 20 by pooled FDR,1,WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,Cytoplasmic Ribosomal Proteins,down,-3.74953763,-0.889536678,1.4660266399999998e-49,1.2168021099999998e-46,3.783923219999999e-46,WikiPathways,86,75,0.872093023
CD8,SF_vs_PB_CD8,WikiPathways,dotplot,top 20 by pooled FDR,2,WP_22Q112_DISTAL_CNV,22q112 Distal Cnv,down,-2.52971757,-0.568421815,4.90887575e-13,2.03718344e-10,1.25787214e-10,WikiPathways,119,37,0.31092437
CD8,SF_vs_PB_CD8,WikiPathways,dotplot,top 20 by pooled FDR,3,WP_CALCIUM_REGULATION_IN_CARDIAC_CELLS,Calcium Regulation in Cardiac Cells,up,2.17774037,0.558690346,1.05674905e-7,2.91046816e-5,1.24340544e-5,WikiPathways,85,34,0.4
CD8,SF_vs_PB_CD8,WikiPathways,dotplot,top 20 by pooled FDR,4,WP_ALLOGRAFT_REJECTION,Allograft Rejection,up,2.25978762,0.607680204,1.40263526e-7,2.91046816e-5,1.60136507e-5,WikiPathways,65,34,0.523076923
CD8,SF_vs_PB_CD8,WikiPathways,dotplot,top 20 by pooled FDR,5,WP_ALZHEIMERS_DISEASE_AND_MIRNA_EFFECTS,Alzheimers Disease and miRNA Effects,up,1.87943306,0.429205869,4.7930466e-7,7.95645735e-5,4.76453623e-5,WikiPathways,193,72,0.373056995
CD8,SF_vs_PB_CD8,WikiPathways,dotplot,top 20 by pooled FDR,6,WP_ALZHEIMERS_DISEASE,Alzheimers Disease,up,1.88486113,0.430634263,5.81630694e-7,8.04589127e-5,5.68371486e-5,WikiPathways,192,72,0.375
CD8,SF_vs_PB_CD8,WikiPathways,dotplot,top 20 by pooled FDR,7,WP_EBOLA_VIRUS_INFECTION_IN_HOST,Ebola Virus Infection in Host,up,1.98134772,0.488359804,1.67630881e-6,1.9876233e-4,1.35171447e-4,WikiPathways,110,41,0.372727273
CD8,SF_vs_PB_CD8,WikiPathways,dotplot,top 20 by pooled FDR,8,WP_EGFEGFR_SIGNALING,Egfegfr Signaling,up,1.87395776,0.444618968,5.5572065e-6,5.76560174e-4,3.64091751e-4,WikiPathways,143,64,0.447552448
CD8,SF_vs_PB_CD8,WikiPathways,dotplot,top 20 by pooled FDR,9,WP_G_PROTEIN_SIGNALING,G Protein Signaling,up,2.03282038,0.545013564,1.08832277e-5,9.47503358e-4,6.37027914e-4,WikiPathways,66,30,0.454545455
CD8,SF_vs_PB_CD8,WikiPathways,dotplot,top 20 by pooled FDR,10,WP_CELL_INTERACTIONS_IN_PANCREATIC_CANCER_MICROENVIRONMENT,Cell Interactions in Pancreatic Cancer Microenvironment,up,2.1761402,0.730316692,1.14157031e-5,9.47503358e-4,6.54897873e-4,WikiPathways,23,13,0.565217391
