population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,pooled_under,set_size,leading_edge_size,gene_ratio
Tcon,SF_vs_PB_Tcon,GO_BP,facet,top 10 per direction by pooled FDR,1,GOBP_MYELOID_LEUKOCYTE_ACTIVATION,Myeloid Leukocyte Activation,up,2.46298652,0.536613147,2.9679249900000002e-15,3.56447791e-12,7.75090099e-13,GO_BP,199,83,0.417085427
Tcon,SF_vs_PB_Tcon,GO_BP,facet,top 10 per direction by pooled FDR,2,GOBP_TAXIS,Taxis,up,2.26715421,0.471463178,4.30350188e-15,4.30708813e-12,1.09945118e-12,GO_BP,300,124,0.413333333
Tcon,SF_vs_PB_Tcon,GO_BP,facet,top 10 per direction by pooled FDR,3,GOBP_REGULATION_OF_T_CELL_ACTIVATION,Regulation of T Cell Activation,up,2.15593579,0.442691214,2.6608824e-14,2.28265698e-11,6.51472709e-12,GO_BP,341,114,0.33431085
Tcon,SF_vs_PB_Tcon,GO_BP,facet,top 10 per direction by pooled FDR,4,GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION,Antigen Processing and Presentation,up,2.57966795,0.617903248,4.37483477e-13,2.60202526e-10,9.65143502e-11,GO_BP,102,60,0.588235294
Tcon,SF_vs_PB_Tcon,GO_BP,facet,top 10 per direction by pooled FDR,5,GOBP_LEUKOCYTE_MEDIATED_IMMUNITY,Leukocyte Mediated Immunity,up,2.13336421,0.438828094,4.45659814e-13,2.60202526e-10,9.65143502e-11,GO_BP,335,131,0.391044776
Tcon,SF_vs_PB_Tcon,GO_BP,facet,top 10 per direction by pooled FDR,6,GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY,Lymphocyte Mediated Immunity,up,2.23739085,0.472806417,5.30710828e-13,2.60202526e-10,1.07532994e-10,GO_BP,258,112,0.434108527
Tcon,SF_vs_PB_Tcon,GO_BP,facet,top 10 per direction by pooled FDR,7,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,Leukocyte Cell Cell Adhesion,up,2.08296105,0.424482297,5.46331159e-13,2.60202526e-10,1.08821759e-10,GO_BP,368,113,0.307065217
Tcon,SF_vs_PB_Tcon,GO_BP,facet,top 10 per direction by pooled FDR,8,GOBP_VIRAL_LIFE_CYCLE,Viral Life Cycle,up,2.23361335,0.476817047,5.63302722e-13,2.60202526e-10,1.10332226e-10,GO_BP,236,98,0.415254237
Tcon,SF_vs_PB_Tcon,GO_BP,facet,top 10 per direction by pooled FDR,9,GOBP_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,Regulation of Immune Effector Process,up,2.12136486,0.438755565,8.25602609e-13,3.54124548e-10,1.56491643e-10,GO_BP,316,142,0.449367089
Tcon,SF_vs_PB_Tcon,GO_BP,facet,top 10 per direction by pooled FDR,10,GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,Adaptive Immune Response Based On Somatic Recombination of Immune Receptors Built from Immunoglobulin Superfamily Domains,up,2.15045457,0.448588525,2.58231708e-12,9.69175878e-10,4.74177973e-10,GO_BP,293,115,0.392491468
