population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,pooled_under,set_size,leading_edge_size,gene_ratio
Tcon,SF_vs_PB_Tcon,GO_CC,facet,top 10 per direction by pooled FDR,1,GOCC_SECRETORY_GRANULE_MEMBRANE,Secretory Granule Membrane,up,2.4006076,0.512356794,6.28093452e-16,6.98753965e-14,1.84518154e-13,GO_CC,237,139,0.58649789
Tcon,SF_vs_PB_Tcon,GO_CC,facet,top 10 per direction by pooled FDR,2,GOCC_TRANSPORT_VESICLE,Transport Vesicle,up,2.21171106,0.456022688,6.6236196e-15,6.55002383e-13,1.69204683e-12,GO_CC,328,143,0.43597561
Tcon,SF_vs_PB_Tcon,GO_CC,facet,top 10 per direction by pooled FDR,3,GOCC_ENDOCYTIC_VESICLE,Endocytic Vesicle,up,2.12476131,0.447673999,7.55753714e-12,6.1147346e-10,1.20011647e-9,GO_CC,267,123,0.460674157
Tcon,SF_vs_PB_Tcon,GO_CC,facet,top 10 per direction by pooled FDR,4,GOCC_LATE_ENDOSOME,Late Endosome,up,2.10245048,0.441625964,2.68045799e-11,1.98800634e-9,3.93725773e-9,GO_CC,274,100,0.364963504
Tcon,SF_vs_PB_Tcon,GO_CC,facet,top 10 per direction by pooled FDR,5,GOCC_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE,External Side of Plasma Membrane,up,2.16054668,0.461924309,3.13364176e-11,2.14533936e-9,4.4906615e-9,GO_CC,233,106,0.454935622
Tcon,SF_vs_PB_Tcon,GO_CC,facet,top 10 per direction by pooled FDR,6,GOCC_CELL_LEADING_EDGE,Cell Leading Edge,up,2.0231441,0.417637165,9.07168579e-11,5.69348954e-9,1.15871065e-8,GO_CC,324,138,0.425925926
Tcon,SF_vs_PB_Tcon,GO_CC,facet,top 10 per direction by pooled FDR,7,GOCC_MEMBRANE_MICRODOMAIN,Membrane Microdomain,up,2.17828793,0.475290537,9.59576889e-11,5.69348954e-9,1.19957319e-8,GO_CC,197,77,0.390862944
Tcon,SF_vs_PB_Tcon,GO_CC,facet,top 10 per direction by pooled FDR,8,GOCC_COATED_VESICLE,Coated Vesicle,up,2.09065773,0.442990031,2.85172509e-10,1.58627208e-8,3.10283533e-8,GO_CC,253,119,0.470355731
Tcon,SF_vs_PB_Tcon,GO_CC,facet,top 10 per direction by pooled FDR,9,GOCC_MHC_CLASS_II_PROTEIN_COMPLEX,MHC Class II Protein Complex,up,2.46004889,0.897298995,2.27868513e-9,1.1266832e-7,1.83565773e-7,GO_CC,15,12,0.8
Tcon,SF_vs_PB_Tcon,GO_CC,facet,top 10 per direction by pooled FDR,10,GOCC_TRANSPORT_VESICLE_MEMBRANE,Transport Vesicle Membrane,up,2.1175378,0.469657211,2.79350605e-9,1.30853704e-7,2.2031201e-7,GO_CC,174,78,0.448275862
Tcon,SF_vs_PB_Tcon,GO_CC,facet,top 10 per direction by pooled FDR,11,GOCC_CYTOSOLIC_RIBOSOME,Cytosolic Ribosome,down,-3.48784203,-0.776427805,3.5862831899999996e-37,3.19179204e-34,6.02034483e-34,GO_CC,113,77,0.681415929
Tcon,SF_vs_PB_Tcon,GO_CC,facet,top 10 per direction by pooled FDR,12,GOCC_RIBOSOMAL_SUBUNIT,Ribosomal Subunit,down,-3.19931358,-0.667604589,2.04433616e-32,9.09729593e-30,1.84792264e-29,GO_CC,174,96,0.551724138
Tcon,SF_vs_PB_Tcon,GO_CC,facet,top 10 per direction by pooled FDR,13,GOCC_RIBOSOME,Ribosome,down,-2.94197198,-0.596281823,7.34980178e-29,2.1804412e-26,5.0804424e-26,GO_CC,219,105,0.479452055
Tcon,SF_vs_PB_Tcon,GO_CC,facet,top 10 per direction by pooled FDR,14,GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,Cytosolic Large Ribosomal Subunit,down,-3.356315,-0.864611768,8.8808583e-27,1.97599097e-24,5.7977203299999995e-24,GO_CC,52,44,0.846153846
Tcon,SF_vs_PB_Tcon,GO_CC,facet,top 10 per direction by pooled FDR,15,GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT,Cytosolic Small Ribosomal Subunit,down,-3.11802205,-0.85038362,8.23826442e-20,1.4664110699999998e-17,3.33820156e-17,GO_CC,40,33,0.825
Tcon,SF_vs_PB_Tcon,GO_CC,facet,top 10 per direction by pooled FDR,16,GOCC_SMALL_RIBOSOMAL_SUBUNIT,Small Ribosomal Subunit,down,-2.95967997,-0.714563269,5.1915493e-18,7.70079813e-16,1.84866351e-15,GO_CC,72,45,0.625
Tcon,SF_vs_PB_Tcon,GO_CC,facet,top 10 per direction by pooled FDR,17,GOCC_LARGE_RIBOSOMAL_SUBUNIT,Large Ribosomal Subunit,down,-2.85596883,-0.643320113,3.62604237e-17,4.6102538600000004e-15,1.21741782e-14,GO_CC,105,49,0.466666667
Tcon,SF_vs_PB_Tcon,GO_CC,facet,top 10 per direction by pooled FDR,18,GOCC_PRERIBOSOME,Preribosome,down,-2.54032753,-0.573300212,6.36992976e-12,5.66923749e-10,1.03962562e-9,GO_CC,104,58,0.557692308
Tcon,SF_vs_PB_Tcon,GO_CC,facet,top 10 per direction by pooled FDR,19,GOCC_SMALL_SUBUNIT_PROCESSOME,Small Subunit Processome,down,-2.51191409,-0.605185765,7.11389205e-10,3.72433172e-8,6.96627879e-8,GO_CC,73,40,0.547945205
Tcon,SF_vs_PB_Tcon,GO_CC,facet,top 10 per direction by pooled FDR,20,GOCC_CYTOSOLIC_TRANSLATION_PREINITIATION_COMPLEX,Cytosolic Translation Preinitiation Complex,down,-2.29686969,-0.756457902,4.68512875e-6,9.26614353e-5,1.36274624e-4,GO_CC,19,8,0.421052632
