population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,pooled_under,set_size,leading_edge_size,gene_ratio
Tcon,SF_vs_PB_Tcon,GO_MF,dotplot,top 20 by pooled FDR,1,GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME,Structural Constituent of Ribosome,down,-3.18471616,-0.672776167,1.8994928800000002e-30,2.7295712700000002e-27,1.59435291e-27,GO_MF,158,93,0.588607595
Tcon,SF_vs_PB_Tcon,GO_MF,dotplot,top 20 by pooled FDR,2,GOMF_CYTOKINE_RECEPTOR_BINDING,Cytokine Receptor Binding,up,2.37541255,0.533549629,4.96421004e-13,3.56678492e-10,1.04168629e-10,GO_MF,159,75,0.471698113
Tcon,SF_vs_PB_Tcon,GO_MF,dotplot,top 20 by pooled FDR,3,GOMF_CYTOKINE_ACTIVITY,Cytokine Activity,up,2.3837722,0.58161664,3.08639414e-10,1.47838279e-7,3.3273594e-8,GO_MF,92,51,0.554347826
Tcon,SF_vs_PB_Tcon,GO_MF,dotplot,top 20 by pooled FDR,4,GOMF_CHEMOKINE_RECEPTOR_BINDING,Chemokine Receptor Binding,up,2.50660514,0.75974068,1.72965815e-9,6.21379691e-7,1.45180092e-7,GO_MF,31,21,0.677419355
Tcon,SF_vs_PB_Tcon,GO_MF,dotplot,top 20 by pooled FDR,5,GOMF_MHC_PROTEIN_COMPLEX_BINDING,MHC Protein Complex Binding,up,2.39805188,0.716174423,4.2482872e-8,1.22095774e-5,2.36595369e-6,GO_MF,33,22,0.666666667
Tcon,SF_vs_PB_Tcon,GO_MF,dotplot,top 20 by pooled FDR,6,GOMF_MHC_CLASS_II_PROTEIN_COMPLEX_BINDING,MHC Class II Protein Complex Binding,up,2.40203644,0.766925569,7.33801442e-8,1.75745445e-5,3.90032306e-6,GO_MF,25,15,0.6
Tcon,SF_vs_PB_Tcon,GO_MF,dotplot,top 20 by pooled FDR,7,GOMF_CCR_CHEMOKINE_RECEPTOR_BINDING,Ccr Chemokine Receptor Binding,up,2.40127175,0.811349391,9.33654847e-8,1.91666002e-5,4.83320621e-6,GO_MF,20,15,0.75
Tcon,SF_vs_PB_Tcon,GO_MF,dotplot,top 20 by pooled FDR,8,GOMF_ANTIGEN_BINDING,Antigen Binding,up,2.27560577,0.614601643,1.50460766e-7,2.70265151e-5,7.3060515e-6,GO_MF,53,33,0.622641509
Tcon,SF_vs_PB_Tcon,GO_MF,dotplot,top 20 by pooled FDR,9,GOMF_RRNA_BINDING,rRNA Binding,down,-2.28089424,-0.556417676,1.76461112e-7,2.81749576e-5,8.32768888e-6,GO_MF,68,33,0.485294118
Tcon,SF_vs_PB_Tcon,GO_MF,dotplot,top 20 by pooled FDR,10,GOMF_ENZYME_INHIBITOR_ACTIVITY,Enzyme Inhibitor Activity,up,1.81729632,0.379042771,2.10776307e-7,3.02885553e-5,9.67512648e-6,GO_MF,293,100,0.341296928
Tcon,SF_vs_PB_Tcon,GO_MF,dotplot,top 20 by pooled FDR,11,GOMF_CALCIUM_DEPENDENT_PROTEIN_BINDING,Calcium Dependent Protein Binding,up,2.27243527,0.626401492,2.86044999e-7,3.73678785e-5,1.26365217e-5,GO_MF,48,20,0.416666667
Tcon,SF_vs_PB_Tcon,GO_MF,dotplot,top 20 by pooled FDR,12,GOMF_ACTIN_BINDING,Actin Binding,up,1.81314259,0.375899613,4.56836644e-7,5.47061881e-5,1.89692134e-5,GO_MF,309,92,0.297734628
Tcon,SF_vs_PB_Tcon,GO_MF,dotplot,top 20 by pooled FDR,13,GOMF_POLYPEPTIDE_CONFORMATION_OR_ASSEMBLY_ISOMERASE_ACTIVITY,Polypeptide Conformation or Assembly Isomerase Activity,up,2.11192753,0.52864922,9.40667367e-7,1.03979924e-4,3.58889033e-5,GO_MF,79,44,0.556962025
Tcon,SF_vs_PB_Tcon,GO_MF,dotplot,top 20 by pooled FDR,14,GOMF_IMMUNE_RECEPTOR_ACTIVITY,Immune Receptor Activity,up,1.99108665,0.465244081,2.04759318e-6,2.10170814e-4,6.91415731e-5,GO_MF,121,48,0.396694215
Tcon,SF_vs_PB_Tcon,GO_MF,dotplot,top 20 by pooled FDR,15,GOMF_CHEMOKINE_ACTIVITY,Chemokine Activity,up,2.27495872,0.768670342,2.30843236e-6,2.2114782e-4,7.64123623e-5,GO_MF,20,15,0.75
Tcon,SF_vs_PB_Tcon,GO_MF,dotplot,top 20 by pooled FDR,16,GOMF_ENDOPEPTIDASE_REGULATOR_ACTIVITY,Endopeptidase Regulator Activity,up,2.04285257,0.500980407,3.24577968e-6,2.85787014e-4,1.00636298e-4,GO_MF,89,39,0.438202247
Tcon,SF_vs_PB_Tcon,GO_MF,dotplot,top 20 by pooled FDR,17,GOMF_PEPTIDE_BINDING,Peptide Binding,up,1.93304881,0.437684751,3.54166871e-6,2.85787014e-4,1.08380596e-4,GO_MF,150,57,0.38
Tcon,SF_vs_PB_Tcon,GO_MF,dotplot,top 20 by pooled FDR,18,GOMF_MICROTUBULE_BINDING,Microtubule Binding,up,1.80814462,0.386968334,3.57979559e-6,2.85787014e-4,1.08440776e-4,GO_MF,232,96,0.413793103
Tcon,SF_vs_PB_Tcon,GO_MF,dotplot,top 20 by pooled FDR,19,GOMF_GTPASE_ACTIVITY,Gtpase Activity,up,1.75887989,0.371265093,5.07926589e-6,3.84152899e-4,1.46290327e-4,GO_MF,262,86,0.328244275
Tcon,SF_vs_PB_Tcon,GO_MF,dotplot,top 20 by pooled FDR,20,GOMF_PHOSPHATIDYLINOSITOL_BINDING,Phosphatidylinositol Binding,up,1.77609523,0.38184422,6.70492437e-6,4.81748816e-4,1.84952034e-4,GO_MF,223,83,0.372197309
