population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,set_size,leading_edge_size,gene_ratio
Tcon,SF_vs_PB_Tcon,GO_MF,facet,top 10 per direction by pooled FDR,1,GOMF_CYTOKINE_RECEPTOR_BINDING,Cytokine Receptor Binding,up,2.40894583,0.543660019,4.30070405e-13,3.0255453e-10,8.35284199e-11,153,73,0.477124183
Tcon,SF_vs_PB_Tcon,GO_MF,facet,top 10 per direction by pooled FDR,2,GOMF_CYTOKINE_ACTIVITY,Cytokine Activity,up,2.38472949,0.58161664,4.71226878e-10,2.21005406e-7,4.42605639e-8,92,51,0.554347826
Tcon,SF_vs_PB_Tcon,GO_MF,facet,top 10 per direction by pooled FDR,3,GOMF_CHEMOKINE_RECEPTOR_BINDING,Chemokine Receptor Binding,up,2.4495746,0.756448884,1.44069102e-8,5.06763068e-6,8.8757411e-7,29,20,0.689655172
Tcon,SF_vs_PB_Tcon,GO_MF,facet,top 10 per direction by pooled FDR,4,GOMF_ENZYME_INHIBITOR_ACTIVITY,Enzyme Inhibitor Activity,up,1.89983661,0.397850309,6.48286057e-8,1.81315681e-5,3.20203014e-6,280,99,0.353571429
Tcon,SF_vs_PB_Tcon,GO_MF,facet,top 10 per direction by pooled FDR,5,GOMF_MHC_PROTEIN_COMPLEX_BINDING,MHC Protein Complex Binding,up,2.40196675,0.723568809,7.73201196e-8,1.81315681e-5,3.72519946e-6,32,22,0.6875
Tcon,SF_vs_PB_Tcon,GO_MF,facet,top 10 per direction by pooled FDR,6,GOMF_MHC_CLASS_II_PROTEIN_COMPLEX_BINDING,MHC Class II Protein Complex Binding,up,2.39715815,0.766925569,1.14190402e-7,2.00832369e-5,5.13140319e-6,25,15,0.6
Tcon,SF_vs_PB_Tcon,GO_MF,facet,top 10 per direction by pooled FDR,7,GOMF_CCR_CHEMOKINE_RECEPTOR_BINDING,Ccr Chemokine Receptor Binding,up,2.37410453,0.812772215,1.36694158e-7,2.13698533e-5,5.93325133e-6,19,15,0.789473684
Tcon,SF_vs_PB_Tcon,GO_MF,facet,top 10 per direction by pooled FDR,8,GOMF_TUBULIN_BINDING,Tubulin Binding,up,1.81918761,0.378649234,1.88432701e-7,2.6512481e-5,7.96771336e-6,297,128,0.430976431
Tcon,SF_vs_PB_Tcon,GO_MF,facet,top 10 per direction by pooled FDR,9,GOMF_ANTIGEN_BINDING,Antigen Binding,up,2.27353889,0.617039344,2.74333522e-7,3.50897515e-5,1.08027073e-5,52,33,0.634615385
Tcon,SF_vs_PB_Tcon,GO_MF,facet,top 10 per direction by pooled FDR,10,GOMF_CALCIUM_DEPENDENT_PROTEIN_BINDING,Calcium Dependent Protein Binding,up,2.26595108,0.627564863,3.6000714e-7,3.95320337e-5,1.37053881e-5,47,20,0.425531915
Tcon,SF_vs_PB_Tcon,GO_MF,facet,top 10 per direction by pooled FDR,11,GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME,Structural Constituent of Ribosome,down,-3.1730959,-0.672298964,2.11598171e-30,2.9771862700000002e-27,1.73193103e-27,156,92,0.58974359
Tcon,SF_vs_PB_Tcon,GO_MF,facet,top 10 per direction by pooled FDR,12,GOMF_RRNA_BINDING,rRNA Binding,down,-2.30711812,-0.573930832,1.08789148e-7,2.00832369e-5,4.966593e-6,62,32,0.516129032
Tcon,SF_vs_PB_Tcon,GO_MF,facet,top 10 per direction by pooled FDR,13,GOMF_RNA_METHYLTRANSFERASE_ACTIVITY,RNA Methyltransferase Activity,down,-2.07879922,-0.527625586,3.26197814e-5,0.00158262181,6.38470322e-4,56,42,0.75
Tcon,SF_vs_PB_Tcon,GO_MF,facet,top 10 per direction by pooled FDR,14,GOMF_MRNA_5_UTR_BINDING,mRNA 5 Utr Binding,down,-2.14775061,-0.680179893,3.82709156e-5,0.00179490594,7.29694545e-4,22,11,0.5
Tcon,SF_vs_PB_Tcon,GO_MF,facet,top 10 per direction by pooled FDR,15,GOMF_TRANSLATION_INITIATION_FACTOR_ACTIVITY,Translation Initiation Factor Activity,down,-2.01811812,-0.526547747,4.27005305e-5,0.00193805311,8.02139965e-4,49,14,0.285714286
Tcon,SF_vs_PB_Tcon,GO_MF,facet,top 10 per direction by pooled FDR,16,GOMF_TRANSLATION_FACTOR_ACTIVITY,Translation Factor Activity,down,-1.84003737,-0.438291537,1.98957804e-4,0.00666508645,0.00288955321,77,20,0.25974026
Tcon,SF_vs_PB_Tcon,GO_MF,facet,top 10 per direction by pooled FDR,17,GOMF_TRNA_METHYLTRANSFERASE_ACTIVITY,tRNA Methyltransferase Activity,down,-1.97997292,-0.574196277,4.26736142e-4,0.0113286368,0.00523551333,31,18,0.580645161
Tcon,SF_vs_PB_Tcon,GO_MF,facet,top 10 per direction by pooled FDR,18,GOMF_S_ADENOSYLMETHIONINE_DEPENDENT_METHYLTRANSFERASE_ACTIVITY,S Adenosylmethionine Dependent Methyltransferase Activity,down,-1.67483343,-0.368822136,5.39042045e-4,0.0130391166,0.006270947,121,48,0.396694215
Tcon,SF_vs_PB_Tcon,GO_MF,facet,top 10 per direction by pooled FDR,19,GOMF_PEPTIDE_HORMONE_BINDING,Peptide Hormone Binding,down,-1.98645711,-0.655118828,5.44472515e-4,0.0130391166,0.00630850409,19,7,0.368421053
Tcon,SF_vs_PB_Tcon,GO_MF,facet,top 10 per direction by pooled FDR,20,GOMF_LARGE_RIBOSOMAL_SUBUNIT_RRNA_BINDING,Large Ribosomal Subunit rRNA Binding,down,-1.8862598800000001,-0.837837144,6.22225909e-4,0.0143519976,0.00703858509,7,6,0.857142857
