population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,pooled_under,set_size,leading_edge_size,gene_ratio
Tcon,SF_vs_PB_Tcon,Hallmark,facet,top 10 per direction by pooled FDR,1,HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon-gamma Response,up,2.74423299,0.603375597,6.777280319999999e-22,3.38864016e-20,3.18586394e-19,Hallmark,186,86,0.462365591
Tcon,SF_vs_PB_Tcon,Hallmark,facet,top 10 per direction by pooled FDR,2,HALLMARK_IL2_STAT5_SIGNALING,IL-2/STAT5 Signaling,up,2.52829243,0.557976648,1.2728811000000001e-16,3.1822027400000002e-15,3.83561504e-14,Hallmark,181,97,0.535911602
Tcon,SF_vs_PB_Tcon,Hallmark,facet,top 10 per direction by pooled FDR,3,HALLMARK_TNFA_SIGNALING_VIA_NFKB,TNF-alpha Signaling via NF-kappaB,up,2.49573568,0.551277087,1.5193552400000002e-15,2.01221477e-14,4.15243322e-13,Hallmark,180,80,0.444444444
Tcon,SF_vs_PB_Tcon,Hallmark,facet,top 10 per direction by pooled FDR,4,HALLMARK_INFLAMMATORY_RESPONSE,Inflammatory Response,up,2.57180902,0.580829715,1.6097718200000002e-15,2.01221477e-14,4.29955419e-13,Hallmark,152,76,0.5
Tcon,SF_vs_PB_Tcon,Hallmark,facet,top 10 per direction by pooled FDR,5,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,up,2.47739104,0.589569391,4.53644941e-12,4.53644941e-11,7.89825371e-10,Hallmark,107,65,0.607476636
Tcon,SF_vs_PB_Tcon,Hallmark,facet,top 10 per direction by pooled FDR,6,HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,up,2.32637094,0.515760857,6.14778417e-12,5.12315348e-11,1.00345499e-9,Hallmark,175,57,0.325714286
Tcon,SF_vs_PB_Tcon,Hallmark,facet,top 10 per direction by pooled FDR,7,HALLMARK_COMPLEMENT,Complement,up,2.28242625,0.511541527,7.02952e-11,5.02108572e-10,9.17899101e-9,Hallmark,161,60,0.372670807
Tcon,SF_vs_PB_Tcon,Hallmark,facet,top 10 per direction by pooled FDR,8,HALLMARK_APOPTOSIS,Apoptosis,up,2.28371407,0.520973513,1.62098454e-10,1.01311534e-9,1.84949615e-8,Hallmark,142,60,0.422535211
Tcon,SF_vs_PB_Tcon,Hallmark,facet,top 10 per direction by pooled FDR,9,HALLMARK_MTORC1_SIGNALING,Mtorc1 Signaling,up,2.13523709,0.466744561,3.94873712e-10,2.19374284e-9,4.14335345e-8,Hallmark,195,93,0.476923077
Tcon,SF_vs_PB_Tcon,Hallmark,facet,top 10 per direction by pooled FDR,10,HALLMARK_HYPOXIA,Hypoxia,up,2.22837424,0.501089068,7.60279132e-10,3.80139566e-9,7.26406534e-8,Hallmark,157,63,0.401273885
Tcon,SF_vs_PB_Tcon,Hallmark,facet,top 10 per direction by pooled FDR,11,HALLMARK_MYC_TARGETS_V1,Myc Targets V1,down,-1.67479051,-0.343056119,8.75357931e-5,2.18839483e-4,0.001510603,Hallmark,198,62,0.313131313
Tcon,SF_vs_PB_Tcon,Hallmark,facet,top 10 per direction by pooled FDR,12,HALLMARK_MYC_TARGETS_V2,Myc Targets V2,down,-1.5975331,-0.402522293,0.00771641578,0.0124458319,0.0461506723,Hallmark,58,22,0.379310345
Tcon,SF_vs_PB_Tcon,Hallmark,facet,top 10 per direction by pooled FDR,13,HALLMARK_WNT_BETA_CATENIN_SIGNALING,Wnt beta Catenin Signaling,down,-1.22459613,-0.349259161,0.1725164,0.210385853,0.364396705,Hallmark,33,9,0.272727273
Tcon,SF_vs_PB_Tcon,Hallmark,facet,top 10 per direction by pooled FDR,14,HALLMARK_SPERMATOGENESIS,Spermatogenesis,down,-0.730641,-0.173911905,0.949174853,0.968545769,0.977349322,Hallmark,77,10,0.12987013
Tcon,SF_vs_PB_Tcon,Hallmark,facet,top 10 per direction by pooled FDR,15,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Oxidative Phosphorylation,down,-0.776015246,-0.159288057,0.976566223,0.976566223,0.990814664,Hallmark,195,40,0.205128205
