population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,pooled_under,set_size,leading_edge_size,gene_ratio
Tcon,SF_vs_PB_Tcon,KEGG,facet,top 10 per direction by pooled FDR,1,KEGG_CHEMOKINE_SIGNALING_PATHWAY,Chemokine Signaling Pathway,up,2.2977366,0.526593756,1.23231803e-10,1.10616533e-8,1.52431255e-8,KEGG,137,62,0.452554745
Tcon,SF_vs_PB_Tcon,KEGG,facet,top 10 per direction by pooled FDR,2,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,Cytokine Cytokine Receptor Interaction,up,2.2784556,0.515173464,1.79378162e-10,1.10616533e-8,2.04647842e-8,KEGG,150,59,0.393333333
Tcon,SF_vs_PB_Tcon,KEGG,facet,top 10 per direction by pooled FDR,3,KEGG_ALLOGRAFT_REJECTION,Allograft Rejection,up,2.52281902,0.749974839,5.40477012e-10,2.49970618e-8,5.62048263e-8,KEGG,34,18,0.529411765
Tcon,SF_vs_PB_Tcon,KEGG,facet,top 10 per direction by pooled FDR,4,KEGG_ASTHMA,Asthma,up,2.51772063,0.839296101,1.21353489e-9,4.49007908e-8,1.0563147e-7,KEGG,21,13,0.619047619
Tcon,SF_vs_PB_Tcon,KEGG,facet,top 10 per direction by pooled FDR,5,KEGG_AUTOIMMUNE_THYROID_DISEASE,Autoimmune Thyroid Disease,up,2.39182385,0.711033053,3.28338198e-8,1.01237611e-6,1.90128421e-6,KEGG,34,17,0.5
Tcon,SF_vs_PB_Tcon,KEGG,facet,top 10 per direction by pooled FDR,6,KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,Antigen Processing and Presentation,up,2.33650096,0.614328659,6.53357109e-8,1.7267295e-6,3.50575315e-6,KEGG,61,31,0.508196721
Tcon,SF_vs_PB_Tcon,KEGG,facet,top 10 per direction by pooled FDR,7,KEGG_ENDOCYTOSIS,Endocytosis,up,2.05999978,0.464646797,7.91771116e-8,1.83097071e-6,4.15361713e-6,KEGG,153,67,0.437908497
Tcon,SF_vs_PB_Tcon,KEGG,facet,top 10 per direction by pooled FDR,8,KEGG_GRAFT_VERSUS_HOST_DISEASE,Graft Versus Host Disease,up,2.34231684,0.696315782,1.04415786e-7,2.14632448e-6,5.33473869e-6,KEGG,34,17,0.5
Tcon,SF_vs_PB_Tcon,KEGG,facet,top 10 per direction by pooled FDR,9,KEGG_TYPE_I_DIABETES_MELLITUS,Type I Diabetes Mellitus,up,2.36363155,0.697897904,1.66005108e-7,3.0710945e-6,7.92978059e-6,KEGG,35,17,0.485714286
Tcon,SF_vs_PB_Tcon,KEGG,facet,top 10 per direction by pooled FDR,10,KEGG_LYSOSOME,Lysosome,up,2.07139685,0.490627056,4.28534315e-7,7.20716802e-6,1.8114053e-5,KEGG,110,58,0.527272727
Tcon,SF_vs_PB_Tcon,KEGG,facet,top 10 per direction by pooled FDR,11,KEGG_RIBOSOME,Ribosome,down,-3.64388582,-0.851906397,2.6904180999999997e-41,4.97727349e-39,8.87110608e-38,KEGG,85,75,0.882352941
Tcon,SF_vs_PB_Tcon,KEGG,facet,top 10 per direction by pooled FDR,12,KEGG_BASAL_CELL_CARCINOMA,Basal Cell Carcinoma,down,-1.83350136,-0.556136493,0.00228376311,0.00913607449,0.0191826307,KEGG,26,8,0.307692308
Tcon,SF_vs_PB_Tcon,KEGG,facet,top 10 per direction by pooled FDR,13,KEGG_DRUG_METABOLISM_CYTOCHROME_P450,Drug Metabolism Cytochrome P450,down,-1.38372544,-0.444235315,0.088647343,0.199997054,0.239911314,KEGG,21,6,0.285714286
Tcon,SF_vs_PB_Tcon,KEGG,facet,top 10 per direction by pooled FDR,14,KEGG_RNA_DEGRADATION,RNA Degradation,down,-1.28729823,-0.32908299,0.0965226405,0.210078688,0.253744418,KEGG,54,17,0.314814815
Tcon,SF_vs_PB_Tcon,KEGG,facet,top 10 per direction by pooled FDR,15,KEGG_WNT_SIGNALING_PATHWAY,Wnt Signaling Pathway,down,-1.21259758,-0.275340557,0.117925359,0.24931001,0.28809582,KEGG,100,19,0.19
Tcon,SF_vs_PB_Tcon,KEGG,facet,top 10 per direction by pooled FDR,16,KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS,Pantothenate and CoA Biosynthesis,down,-1.30853731,-0.479569368,0.152163718,0.302691267,0.338586602,KEGG,13,2,0.153846154
Tcon,SF_vs_PB_Tcon,KEGG,facet,top 10 per direction by pooled FDR,17,KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,Cysteine and Methionine Metabolism,down,-1.23652713,-0.375062641,0.174297687,0.335769311,0.366661676,KEGG,26,8,0.307692308
Tcon,SF_vs_PB_Tcon,KEGG,facet,top 10 per direction by pooled FDR,18,KEGG_SELENOAMINO_ACID_METABOLISM,Selenoamino Acid Metabolism,down,-1.17678275,-0.373102127,0.235265637,0.422564493,0.440715208,KEGG,22,8,0.363636364
Tcon,SF_vs_PB_Tcon,KEGG,facet,top 10 per direction by pooled FDR,19,KEGG_SPLICEOSOME,Spliceosome,down,-1.09430944,-0.239668524,0.253301569,0.4273844,0.460811066,KEGG,124,52,0.419354839
Tcon,SF_vs_PB_Tcon,KEGG,facet,top 10 per direction by pooled FDR,20,KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,Metabolism of Xenobiotics by Cytochrome P450,down,-1.15493206,-0.357901321,0.254120454,0.4273844,0.46175498,KEGG,24,6,0.25
