population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,pooled_under,set_size,leading_edge_size,gene_ratio
Tcon,SF_vs_PB_Tcon,MitoPathways,dotplot,top 20 by pooled FDR,1,MITOPATHWAYS_Mitochondrial_central_dogma,Mitochondrial Central Dogma,down,-1.95117258,-0.392960645,3.17449627e-8,3.4919459e-6,1.86620826e-6,MitoPathways,228,112,0.49122807
Tcon,SF_vs_PB_Tcon,MitoPathways,dotplot,top 20 by pooled FDR,2,MITOPATHWAYS_Mitochondrial_central_dogma.Translation,Mitochondrial Central Dogma Translation,down,-1.90154378,-0.404144467,3.10599625e-6,1.70829794e-4,9.81144137e-5,MitoPathways,152,72,0.473684211
Tcon,SF_vs_PB_Tcon,MitoPathways,dotplot,top 20 by pooled FDR,3,MITOPATHWAYS_Mitochondrial_central_dogma.mtRNA_metabolism,Mitochondrial Central Dogma Mtrna Metabolism,down,-1.90602525,-0.454746155,7.29011367e-5,0.00267304168,0.00129405024,MitoPathways,76,49,0.644736842
Tcon,SF_vs_PB_Tcon,MitoPathways,dotplot,top 20 by pooled FDR,4,MITOPATHWAYS_Metabolism,Metabolism,down,-1.28910873,-0.244092512,0.00817375058,0.184451591,0.047887386,MitoPathways,399,108,0.270676692
Tcon,SF_vs_PB_Tcon,MitoPathways,dotplot,top 20 by pooled FDR,5,MITOPATHWAYS_Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_granules,Mitochondrial Central Dogma Mtrna Metabolism Mtrna Granules,down,-1.69693758,-0.504668042,0.00838416325,0.184451591,0.048773417,MitoPathways,28,14,0.5
Tcon,SF_vs_PB_Tcon,MitoPathways,dotplot,top 20 by pooled FDR,6,MITOPATHWAYS_OXPHOS.OXPHOS_assembly_factors,OXPHOS OXPHOS Assembly Factors,down,-1.48742722,-0.362565763,0.0159213524,0.278196317,0.0767157293,MitoPathways,68,27,0.397058824
Tcon,SF_vs_PB_Tcon,MitoPathways,dotplot,top 20 by pooled FDR,7,MITOPATHWAYS_Mitochondrial_central_dogma.Translation.Mitochondrial_ribosome_assembly,Mitochondrial Central Dogma Translation Mitochondrial Ribosome Assembly,down,-1.62616134,-0.503337435,0.017703402,0.278196317,0.0819994783,MitoPathways,24,12,0.5
Tcon,SF_vs_PB_Tcon,MitoPathways,dotplot,top 20 by pooled FDR,8,MITOPATHWAYS_Mitochondrial_central_dogma.Translation.Mitochondrial_ribosome,Mitochondrial Central Dogma Translation Mitochondrial Ribosome,down,-1.44103589,-0.33959542,0.0208480824,0.286661133,0.0922874217,MitoPathways,81,35,0.432098765
Tcon,SF_vs_PB_Tcon,MitoPathways,dotplot,top 20 by pooled FDR,9,MITOPATHWAYS_OXPHOS,OXPHOS,down,-1.32961323,-0.280996009,0.0260471665,0.318354257,0.107058501,MitoPathways,158,66,0.417721519
Tcon,SF_vs_PB_Tcon,MitoPathways,dotplot,top 20 by pooled FDR,10,MITOPATHWAYS_Small_molecule_transport.Calcium_uniporter,Small Molecule Transport Calcium Uniporter,down,-1.52611942,-0.71022914,0.0467168333,0.371585568,0.15874147,MitoPathways,6,4,0.666666667
