population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,pooled_under,set_size,leading_edge_size,gene_ratio
Tcon,SF_vs_PB_Tcon,MitoPathways,facet,top 10 per direction by pooled FDR,1,MITOPATHWAYS_Metabolism.Carbohydrate_metabolism.Gluconeogenesis,Metabolism Carbohydrate Metabolism Gluconeogenesis,up,1.51724811,0.688648123,0.0519843488,0.371585568,0.169544292,MitoPathways,7,3,0.428571429
Tcon,SF_vs_PB_Tcon,MitoPathways,facet,top 10 per direction by pooled FDR,2,MITOPATHWAYS_Mitochondrial_dynamics_and_surveillance.Apoptosis,Mitochondrial Dynamics and Surveillance Apoptosis,up,1.4141634,0.429161298,0.0664080204,0.395916922,0.198312744,MitoPathways,31,16,0.516129032
Tcon,SF_vs_PB_Tcon,MitoPathways,facet,top 10 per direction by pooled FDR,3,MITOPATHWAYS_Protein_import_sorting_and_homeostasis.Protein_import_and_sorting.TIM23_presequence_pathway,Protein Import Sorting and Homeostasis Protein Import and Sorting Tim23 Presequence Pathway,up,1.44546022,0.687744998,0.0796147423,0.417029603,0.224084512,MitoPathways,6,4,0.666666667
Tcon,SF_vs_PB_Tcon,MitoPathways,facet,top 10 per direction by pooled FDR,4,MITOPATHWAYS_Metabolism.Sulfur_metabolism,Metabolism Sulfur Metabolism,up,1.31785006,0.522398851,0.153780815,0.459015574,0.340701047,MitoPathways,11,6,0.545454545
Tcon,SF_vs_PB_Tcon,MitoPathways,facet,top 10 per direction by pooled FDR,5,MITOPATHWAYS_Metabolism.Carbohydrate_metabolism.TCA-associated,Metabolism Carbohydrate Metabolism Tca-Associated,up,1.14128292,0.423585816,0.296521641,0.652347611,0.504314958,MitoPathways,14,4,0.285714286
Tcon,SF_vs_PB_Tcon,MitoPathways,facet,top 10 per direction by pooled FDR,6,MITOPATHWAYS_Metabolism.Metals_and_cofactors.Copper_metabolism,Metabolism Metals and Cofactors Copper Metabolism,up,1.11806546,0.507467222,0.337291108,0.70003815,0.544812071,MitoPathways,7,2,0.285714286
Tcon,SF_vs_PB_Tcon,MitoPathways,facet,top 10 per direction by pooled FDR,7,MITOPATHWAYS_Small_molecule_transport.Sideroflexins,Small Molecule Transport Sideroflexins,up,1.05277092,0.529079317,0.422564003,0.774700672,0.621159569,MitoPathways,5,1,0.2
Tcon,SF_vs_PB_Tcon,MitoPathways,facet,top 10 per direction by pooled FDR,8,MITOPATHWAYS_Metabolism.Metals_and_cofactors.Heme_synthesis_and_processing,Metabolism Metals and Cofactors Heme Synthesis and Processing,up,0.894620805,0.33876976,0.597934466,0.903444015,0.758946631,MitoPathways,13,6,0.461538462
Tcon,SF_vs_PB_Tcon,MitoPathways,facet,top 10 per direction by pooled FDR,9,MITOPATHWAYS_Mitochondrial_dynamics_and_surveillance,Mitochondrial Dynamics and Surveillance,up,0.92096546,0.222641485,0.621968688,0.903444015,0.775711531,MitoPathways,97,19,0.195876289
Tcon,SF_vs_PB_Tcon,MitoPathways,facet,top 10 per direction by pooled FDR,10,MITOPATHWAYS_Mitochondrial_dynamics_and_surveillance.Cristae_formation.MICOS_complex,Mitochondrial Dynamics and Surveillance Cristae Formation Micos Complex,up,0.871744999,0.395667363,0.624197683,0.903444015,0.777336475,MitoPathways,7,4,0.571428571
Tcon,SF_vs_PB_Tcon,MitoPathways,facet,top 10 per direction by pooled FDR,11,MITOPATHWAYS_Mitochondrial_central_dogma,Mitochondrial Central Dogma,down,-1.95117258,-0.392960645,3.17449627e-8,3.4919459e-6,1.86620826e-6,MitoPathways,228,112,0.49122807
Tcon,SF_vs_PB_Tcon,MitoPathways,facet,top 10 per direction by pooled FDR,12,MITOPATHWAYS_Mitochondrial_central_dogma.Translation,Mitochondrial Central Dogma Translation,down,-1.90154378,-0.404144467,3.10599625e-6,1.70829794e-4,9.81144137e-5,MitoPathways,152,72,0.473684211
Tcon,SF_vs_PB_Tcon,MitoPathways,facet,top 10 per direction by pooled FDR,13,MITOPATHWAYS_Mitochondrial_central_dogma.mtRNA_metabolism,Mitochondrial Central Dogma Mtrna Metabolism,down,-1.90602525,-0.454746155,7.29011367e-5,0.00267304168,0.00129405024,MitoPathways,76,49,0.644736842
Tcon,SF_vs_PB_Tcon,MitoPathways,facet,top 10 per direction by pooled FDR,14,MITOPATHWAYS_Metabolism,Metabolism,down,-1.28910873,-0.244092512,0.00817375058,0.184451591,0.047887386,MitoPathways,399,108,0.270676692
Tcon,SF_vs_PB_Tcon,MitoPathways,facet,top 10 per direction by pooled FDR,15,MITOPATHWAYS_Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_granules,Mitochondrial Central Dogma Mtrna Metabolism Mtrna Granules,down,-1.69693758,-0.504668042,0.00838416325,0.184451591,0.048773417,MitoPathways,28,14,0.5
Tcon,SF_vs_PB_Tcon,MitoPathways,facet,top 10 per direction by pooled FDR,16,MITOPATHWAYS_OXPHOS.OXPHOS_assembly_factors,OXPHOS OXPHOS Assembly Factors,down,-1.48742722,-0.362565763,0.0159213524,0.278196317,0.0767157293,MitoPathways,68,27,0.397058824
Tcon,SF_vs_PB_Tcon,MitoPathways,facet,top 10 per direction by pooled FDR,17,MITOPATHWAYS_Mitochondrial_central_dogma.Translation.Mitochondrial_ribosome_assembly,Mitochondrial Central Dogma Translation Mitochondrial Ribosome Assembly,down,-1.62616134,-0.503337435,0.017703402,0.278196317,0.0819994783,MitoPathways,24,12,0.5
Tcon,SF_vs_PB_Tcon,MitoPathways,facet,top 10 per direction by pooled FDR,18,MITOPATHWAYS_Mitochondrial_central_dogma.Translation.Mitochondrial_ribosome,Mitochondrial Central Dogma Translation Mitochondrial Ribosome,down,-1.44103589,-0.33959542,0.0208480824,0.286661133,0.0922874217,MitoPathways,81,35,0.432098765
Tcon,SF_vs_PB_Tcon,MitoPathways,facet,top 10 per direction by pooled FDR,19,MITOPATHWAYS_OXPHOS,OXPHOS,down,-1.32961323,-0.280996009,0.0260471665,0.318354257,0.107058501,MitoPathways,158,66,0.417721519
Tcon,SF_vs_PB_Tcon,MitoPathways,facet,top 10 per direction by pooled FDR,20,MITOPATHWAYS_Small_molecule_transport.Calcium_uniporter,Small Molecule Transport Calcium Uniporter,down,-1.52611942,-0.71022914,0.0467168333,0.371585568,0.15874147,MitoPathways,6,4,0.666666667
