population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,set_size,leading_edge_size,gene_ratio
Tcon,SF_vs_PB_Tcon,Reactome,dotplot,top 20 by pooled FDR,1,REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,Eukaryotic Translation Initiation,down,-3.64738368,-0.806225246,3.60766387e-45,5.7722622e-42,4.1340220299999996e-41,118,87,0.737288136
Tcon,SF_vs_PB_Tcon,Reactome,dotplot,top 20 by pooled FDR,2,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,Eukaryotic Translation Elongation,down,-3.66494491,-0.845680372,2.2662597e-43,1.8130077599999999e-40,1.2984534999999999e-39,92,76,0.826086957
Tcon,SF_vs_PB_Tcon,Reactome,dotplot,top 20 by pooled FDR,3,REACTOME_SELENOAMINO_ACID_METABOLISM,Selenoamino Acid Metabolism,down,-3.5704784,-0.807366847,1.44513773e-40,7.70740122e-38,3.3119666499999996e-37,103,80,0.776699029
Tcon,SF_vs_PB_Tcon,Reactome,dotplot,top 20 by pooled FDR,4,REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,Srp Dependent Cotranslational Protein Targeting to Membrane,down,-3.48255787,-0.779491394,2.4277550799999997e-37,9.71102032e-35,3.97423507e-34,110,72,0.654545455
Tcon,SF_vs_PB_Tcon,Reactome,dotplot,top 20 by pooled FDR,5,REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,Response of Eif2ak4 Gcn2 to Amino Acid Deficiency,down,-3.52587094,-0.802248301,6.533941159999999e-37,2.09086117e-34,9.35905397e-34,99,77,0.777777778
Tcon,SF_vs_PB_Tcon,Reactome,dotplot,top 20 by pooled FDR,6,REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION,Influenza Viral RNA Transcription and Replication,down,-3.41013534,-0.740369176,3.09795679e-36,8.26121811e-34,3.54994868e-33,133,83,0.62406015
Tcon,SF_vs_PB_Tcon,Reactome,dotplot,top 20 by pooled FDR,7,REACTOME_RRNA_PROCESSING,rRNA Processing,down,-3.18741824,-0.654866373,2.43491263e-35,5.56551458e-33,2.53651489e-32,196,103,0.525510204
Tcon,SF_vs_PB_Tcon,Reactome,dotplot,top 20 by pooled FDR,8,REACTOME_NONSENSE_MEDIATED_DECAY_NMD,Nonsense Mediated Decay Nmd,down,-3.43142217,-0.762772312,6.39670383e-35,1.27934077e-32,6.1083191e-32,114,77,0.675438596
Tcon,SF_vs_PB_Tcon,Reactome,dotplot,top 20 by pooled FDR,9,REACTOME_CELLULAR_RESPONSE_TO_STARVATION,Cellular Response to Starvation,down,-3.1559598,-0.674714605,2.5093124599999998e-29,4.46099994e-27,1.9169474399999998e-26,147,77,0.523809524
Tcon,SF_vs_PB_Tcon,Reactome,dotplot,top 20 by pooled FDR,10,REACTOME_INFLUENZA_INFECTION,Influenza Infection,down,-3.15255607,-0.669698797,1.7849589499999999e-28,2.85593432e-26,1.27836529e-25,154,85,0.551948052
Tcon,SF_vs_PB_Tcon,Reactome,dotplot,top 20 by pooled FDR,11,REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL,Ribosome Associated Quality Control,down,-3.0763076,-0.663523184,8.53094785e-26,1.24086514e-23,5.14505955e-23,138,72,0.52173913
Tcon,SF_vs_PB_Tcon,Reactome,dotplot,top 20 by pooled FDR,12,REACTOME_TRANSLATION,Translation,down,-2.59901112,-0.501115164,2.2750908299999997e-25,3.03345445e-23,1.30351329e-22,335,126,0.376119403
Tcon,SF_vs_PB_Tcon,Reactome,dotplot,top 20 by pooled FDR,13,REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,Regulation of Expression of Slits and Robos,down,-2.99317099,-0.643883247,3.0789752399999998e-24,3.78950799e-22,1.6800941600000002e-21,141,78,0.553191489
Tcon,SF_vs_PB_Tcon,Reactome,dotplot,top 20 by pooled FDR,14,REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,Activation of the mRNA Upon Binding of the Cap Binding Complex and Eifs and Subsequent Binding to 43s,down,-3.21274576,-0.803448127,5.6044358e-23,6.4050694900000006e-21,2.7922273800000004e-20,60,43,0.716666667
Tcon,SF_vs_PB_Tcon,Reactome,dotplot,top 20 by pooled FDR,15,REACTOME_SIGNALING_BY_INTERLEUKINS,Signaling by Interleukins,up,2.40331489,0.490142299,1.16328681e-20,1.2408392699999998e-18,5.3320414299999996e-18,366,157,0.428961749
Tcon,SF_vs_PB_Tcon,Reactome,dotplot,top 20 by pooled FDR,16,REACTOME_NEUTROPHIL_DEGRANULATION,Neutrophil Degranulation,up,2.33561079,0.473883885,2.8746003000000004e-20,2.8746002999999998e-18,1.2200016599999999e-17,386,210,0.544041451
Tcon,SF_vs_PB_Tcon,Reactome,dotplot,top 20 by pooled FDR,17,REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY,Sars Cov 1 Modulates Host Translation Machinery,down,-3.12275346,-0.867329379,3.6315362500000003e-20,3.4179164699999997e-18,1.48620621e-17,37,33,0.891891892
Tcon,SF_vs_PB_Tcon,Reactome,dotplot,top 20 by pooled FDR,18,REACTOME_SIGNALING_BY_ROBO_RECEPTORS,Signaling by Robo Receptors,down,-2.72793315,-0.568401678,1.49572471e-19,1.3295330799999998e-17,5.910175669999999e-17,176,82,0.465909091
Tcon,SF_vs_PB_Tcon,Reactome,dotplot,top 20 by pooled FDR,19,REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,Metabolism of Amino Acids and Derivatives,down,-2.52667652,-0.500767561,5.72077746e-19,4.8174968099999994e-17,2.1851463e-16,261,98,0.375478927
Tcon,SF_vs_PB_Tcon,Reactome,dotplot,top 20 by pooled FDR,20,REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY,Sars Cov 2 Modulates Host Translation Machinery,down,-2.80565319,-0.725626912,1.10859221e-13,8.86873771e-12,2.4429535e-11,51,32,0.62745098
