population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,pooled_under,set_size,leading_edge_size,gene_ratio
Tcon,SF_vs_PB_Tcon,Reactome,facet,top 10 per direction by pooled FDR,1,REACTOME_SIGNALING_BY_INTERLEUKINS,Signaling by Interleukins,up,2.38954715,0.486077283,1.34044605e-20,1.44142632e-18,5.83441555e-18,Reactome,376,158,0.420212766
Tcon,SF_vs_PB_Tcon,Reactome,facet,top 10 per direction by pooled FDR,2,REACTOME_NEUTROPHIL_DEGRANULATION,Neutrophil Degranulation,up,2.31863505,0.46936484,3.8648076e-19,3.46329704e-17,1.4651361e-16,Reactome,397,215,0.541561713
Tcon,SF_vs_PB_Tcon,Reactome,facet,top 10 per direction by pooled FDR,3,REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,MHC Class II Antigen Presentation,up,2.42330477,0.580253471,2.33806522e-11,1.71422691e-9,3.4346178e-9,Reactome,103,58,0.563106796
Tcon,SF_vs_PB_Tcon,Reactome,facet,top 10 per direction by pooled FDR,4,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,Extracellular Matrix Organization,up,2.20607187,0.499958517,6.6570983e-10,4.66865198e-8,6.55105135e-8,Reactome,148,71,0.47972973
Tcon,SF_vs_PB_Tcon,Reactome,facet,top 10 per direction by pooled FDR,5,REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT,Golgi to ER Retrograde Transport,up,2.34192446,0.554085653,7.74570572e-10,5.20575972e-8,7.34093013e-8,Reactome,111,70,0.630630631
Tcon,SF_vs_PB_Tcon,Reactome,facet,top 10 per direction by pooled FDR,6,REACTOME_INTERLEUKIN_10_SIGNALING,Interleukin 10 Signaling,up,2.52648906,0.744523493,1.43083284e-9,9.23173349e-8,1.20972285e-7,Reactome,35,22,0.628571429
Tcon,SF_vs_PB_Tcon,Reactome,facet,top 10 per direction by pooled FDR,7,REACTOME_RHO_GTPASE_CYCLE,rho Gtpase Cycle,up,1.83813306,0.372921054,1.04567085e-8,6.48718107e-7,7.14460686e-7,Reactome,387,140,0.361757106
Tcon,SF_vs_PB_Tcon,Reactome,facet,top 10 per direction by pooled FDR,8,REACTOME_G_ALPHA_I_SIGNALLING_EVENTS,G alpha I Signalling Events,up,2.07753417,0.470828227,2.80720076e-8,1.67704253e-6,1.65780017e-6,Reactome,148,48,0.324324324
Tcon,SF_vs_PB_Tcon,Reactome,facet,top 10 per direction by pooled FDR,9,REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,Cellular Response to Chemical Stress,up,2.06528169,0.458755314,3.2512485e-8,1.87295137e-6,1.89151843e-6,Reactome,171,87,0.50877193
Tcon,SF_vs_PB_Tcon,Reactome,facet,top 10 per direction by pooled FDR,10,REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,Peptide Ligand Binding Receptors,up,2.29075035,0.589445516,4.21147142e-8,2.34244945e-6,2.34564986e-6,Reactome,68,29,0.426470588
Tcon,SF_vs_PB_Tcon,Reactome,facet,top 10 per direction by pooled FDR,11,REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,Eukaryotic Translation Initiation,down,-3.63813231,-0.806225246,3.62216854e-45,5.84255786e-42,2.1283862299999998e-41,Reactome,118,87,0.737288136
Tcon,SF_vs_PB_Tcon,Reactome,facet,top 10 per direction by pooled FDR,12,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,Eukaryotic Translation Elongation,down,-3.66078275,-0.845680372,2.26090371e-43,1.82341884e-40,8.85671347e-40,Reactome,92,76,0.826086957
Tcon,SF_vs_PB_Tcon,Reactome,facet,top 10 per direction by pooled FDR,13,REACTOME_SELENOAMINO_ACID_METABOLISM,Selenoamino Acid Metabolism,down,-3.53622499,-0.791121348,2.02484075e-39,1.0886893799999999e-36,3.39941836e-36,Reactome,111,82,0.738738739
