population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,pooled_under,set_size,leading_edge_size,gene_ratio
Tcon,SF_vs_PB_Tcon,TF_Targets,facet,top 10 per direction by pooled FDR,1,NFKB1,NF-kappaB1,up,2.40237431,0.501513702,3.2649440499999998e-18,1.9589664300000002e-15,1.18027727e-15,TF_Targets,289,121,0.418685121
Tcon,SF_vs_PB_Tcon,TF_Targets,facet,top 10 per direction by pooled FDR,2,STAT3,STAT3,up,2.38779449,0.49781877,1.8431868399999997e-17,5.5295605100000006e-15,6.271172150000001e-15,TF_Targets,294,126,0.428571429
Tcon,SF_vs_PB_Tcon,TF_Targets,facet,top 10 per direction by pooled FDR,3,CREB1,CREB-1,up,2.25075431,0.469861887,9.375472720000001e-15,1.71387e-12,2.35772758e-12,TF_Targets,289,110,0.380622837
Tcon,SF_vs_PB_Tcon,TF_Targets,facet,top 10 per direction by pooled FDR,4,SPI1,Spi1,up,2.32927718,0.496227247,1.14258e-14,1.71387e-12,2.81220541e-12,TF_Targets,241,107,0.443983402
Tcon,SF_vs_PB_Tcon,TF_Targets,facet,top 10 per direction by pooled FDR,5,HIF1A,HIF-1alpha,up,2.1998358,0.457135077,8.50352673e-14,1.02042321e-11,1.92879995e-11,TF_Targets,302,147,0.486754967
Tcon,SF_vs_PB_Tcon,TF_Targets,facet,top 10 per direction by pooled FDR,6,STAT1,STAT1,up,2.26641684,0.48371153,1.2604497e-13,1.2604497e-11,2.75110984e-11,TF_Targets,237,94,0.396624473
Tcon,SF_vs_PB_Tcon,TF_Targets,facet,top 10 per direction by pooled FDR,7,CEBPB,Cebpb,up,2.13844402,0.448955998,2.33334134e-12,2.00000686e-10,3.69754693e-10,TF_Targets,274,97,0.354014599
Tcon,SF_vs_PB_Tcon,TF_Targets,facet,top 10 per direction by pooled FDR,8,SP3,Sp3,up,2.10981103,0.443531803,5.32911048e-12,3.72833223e-10,7.84814282e-10,TF_Targets,271,106,0.391143911
Tcon,SF_vs_PB_Tcon,TF_Targets,facet,top 10 per direction by pooled FDR,9,EGR1,Egr1,up,2.18485374,0.467007046,5.59249835e-12,3.72833223e-10,8.08675261e-10,TF_Targets,234,94,0.401709402
Tcon,SF_vs_PB_Tcon,TF_Targets,facet,top 10 per direction by pooled FDR,10,PPARG,Pparg,up,2.18888912,0.46842385,1.03339613e-11,5.80848933e-10,1.42313409e-9,TF_Targets,232,82,0.353448276
Tcon,SF_vs_PB_Tcon,TF_Targets,facet,top 10 per direction by pooled FDR,11,HIVEP1,Hivep1,down,-1.7494275,-0.816777349,0.0054815489,0.0191216822,0.0345020815,TF_Targets,6,2,0.333333333
Tcon,SF_vs_PB_Tcon,TF_Targets,facet,top 10 per direction by pooled FDR,12,ZBTB14,Zbtb14,down,-1.74845365,-0.816322673,0.00558497435,0.0191693778,0.0349226937,TF_Targets,6,2,0.333333333
Tcon,SF_vs_PB_Tcon,TF_Targets,facet,top 10 per direction by pooled FDR,13,MXI1,Mxi1,down,-1.56730104,-0.69724911,0.0375533132,0.0822335326,0.133338468,TF_Targets,7,3,0.428571429
Tcon,SF_vs_PB_Tcon,TF_Targets,facet,top 10 per direction by pooled FDR,14,FOXI1,Foxi1,down,-1.5088162,-0.74707752,0.0482402166,0.0991237327,0.156382252,TF_Targets,5,3,0.6
Tcon,SF_vs_PB_Tcon,TF_Targets,facet,top 10 per direction by pooled FDR,15,ZBED1,Zbed1,down,-1.39493094,-0.474732176,0.0930262816,0.171740827,0.242480402,TF_Targets,17,5,0.294117647
Tcon,SF_vs_PB_Tcon,TF_Targets,facet,top 10 per direction by pooled FDR,16,TFCP2,Tfcp2,down,-1.3009368,-0.341150172,0.0966119763,0.176729225,0.248288141,TF_Targets,48,15,0.3125
Tcon,SF_vs_PB_Tcon,TF_Targets,facet,top 10 per direction by pooled FDR,17,KMT2B,Kmt2b,down,-1.38786871,-0.536039058,0.110202608,0.195625931,0.272107528,TF_Targets,11,5,0.454545455
Tcon,SF_vs_PB_Tcon,TF_Targets,facet,top 10 per direction by pooled FDR,18,EN1,En1,down,-1.3751491,-0.611766002,0.123811505,0.212856456,0.292236583,TF_Targets,7,2,0.285714286
Tcon,SF_vs_PB_Tcon,TF_Targets,facet,top 10 per direction by pooled FDR,19,ID4,Id4,down,-1.3628742,-0.606305234,0.131696661,0.223847015,0.303622769,TF_Targets,7,2,0.285714286
Tcon,SF_vs_PB_Tcon,TF_Targets,facet,top 10 per direction by pooled FDR,20,NR6A1,Nr6a1,down,-1.32214598,-0.617287019,0.162419328,0.255994673,0.346204489,TF_Targets,6,2,0.333333333
