population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,pooled_under,set_size,leading_edge_size,gene_ratio
Tcon,SF_vs_PB_Tcon,WikiPathways,dotplot,top 20 by pooled FDR,1,WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,Cytoplasmic Ribosomal Proteins,down,-3.63726288,-0.848988147,3.0196940099999997e-41,2.5697596e-38,7.0974888e-38,WikiPathways,86,72,0.837209302
Tcon,SF_vs_PB_Tcon,WikiPathways,dotplot,top 20 by pooled FDR,2,WP_ALLOGRAFT_REJECTION,Allograft Rejection,up,2.54998288,0.655916733,1.16562012e-11,4.95971362e-9,1.77900879e-9,WikiPathways,68,36,0.529411765
Tcon,SF_vs_PB_Tcon,WikiPathways,dotplot,top 20 by pooled FDR,3,WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS,Overview of Proinflammatory and Profibrotic Mediators,up,2.64350611,0.724464023,2.14509048e-11,6.08490667e-9,3.19102574e-9,WikiPathways,49,32,0.653061224
Tcon,SF_vs_PB_Tcon,WikiPathways,dotplot,top 20 by pooled FDR,4,WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING,Network Map of Sarscov2 Signaling,up,2.17196593,0.474846351,1.84929787e-10,3.702022e-8,2.05027816e-8,WikiPathways,193,71,0.367875648
Tcon,SF_vs_PB_Tcon,WikiPathways,dotplot,top 20 by pooled FDR,5,WP_EBOLA_VIRUS_INFECTION_IN_HOST,Ebola Virus Infection in Host,up,2.34428731,0.552910474,2.17510106e-10,3.702022e-8,2.38895211e-8,WikiPathways,113,52,0.460176991
Tcon,SF_vs_PB_Tcon,WikiPathways,dotplot,top 20 by pooled FDR,6,WP_CELL_INTERACTIONS_IN_PANCREATIC_CANCER_MICROENVIRONMENT,Cell Interactions in Pancreatic Cancer Microenvironment,up,2.5513133,0.822401425,9.69104768e-10,1.3745136e-7,8.69383147e-8,WikiPathways,24,19,0.791666667
Tcon,SF_vs_PB_Tcon,WikiPathways,dotplot,top 20 by pooled FDR,7,WP_CHEMOKINE_SIGNALING,Chemokine Signaling,up,2.17899551,0.505573168,6.75462131e-9,8.21168962e-7,4.75331195e-7,WikiPathways,126,55,0.436507937
Tcon,SF_vs_PB_Tcon,WikiPathways,dotplot,top 20 by pooled FDR,8,WP_NUCLEAR_RECEPTORS_METAPATHWAY,Nuclear Receptors Metapathway,up,2.05352184,0.447713019,1.65701213e-8,1.64806348e-6,1.05501578e-6,WikiPathways,197,77,0.390862944
Tcon,SF_vs_PB_Tcon,WikiPathways,dotplot,top 20 by pooled FDR,9,WP_CYTOKINECYTOKINE_RECEPTOR_INTERACTION,Cytokinecytokine Receptor Interaction,up,2.14441052,0.49128553,1.74295785e-8,1.64806348e-6,1.1012495e-6,WikiPathways,137,52,0.379562044
Tcon,SF_vs_PB_Tcon,WikiPathways,dotplot,top 20 by pooled FDR,10,WP_VITAMIN_D_RECEPTOR_PATHWAY,Vitamin D Receptor Pathway,up,2.21080804,0.529394493,2.43894115e-8,1.95115211e-6,1.46986854e-6,WikiPathways,103,44,0.427184466
Tcon,SF_vs_PB_Tcon,WikiPathways,dotplot,top 20 by pooled FDR,11,WP_ALZHEIMERS_DISEASE_AND_MIRNA_EFFECTS,Alzheimers Disease and miRNA Effects,up,2.01654021,0.439452574,2.52205326e-8,1.95115211e-6,1.51220255e-6,WikiPathways,198,92,0.464646465
Tcon,SF_vs_PB_Tcon,WikiPathways,dotplot,top 20 by pooled FDR,12,WP_T_CELL_MODULATION_AND_DESMOPLASIA_IN_PANCREATIC_CANCER,T Cell Modulation and Desmoplasia in Pancreatic Cancer,up,2.38667295,0.671827301,3.29566176e-8,2.33717346e-6,1.89217066e-6,WikiPathways,43,18,0.418604651
Tcon,SF_vs_PB_Tcon,WikiPathways,dotplot,top 20 by pooled FDR,13,WP_ALZHEIMERS_DISEASE,Alzheimers Disease,up,2.01969116,0.440337184,4.09737963e-8,2.68220774e-6,2.29297169e-6,WikiPathways,197,92,0.467005076
Tcon,SF_vs_PB_Tcon,WikiPathways,dotplot,top 20 by pooled FDR,14,WP_INTEGRATIVE_ANALYSIS_OF_TREGGLIAL_INTERACTIONS,Integrative Analysis of Tregglial Interactions,up,2.27368744,0.56044493,4.43944348e-8,2.69854743e-6,2.44940563e-6,WikiPathways,86,47,0.546511628
Tcon,SF_vs_PB_Tcon,WikiPathways,dotplot,top 20 by pooled FDR,15,WP_IL18_SIGNALING,IL-18 Signaling,up,1.97394273,0.427227355,1.0764653e-7,6.1071465e-6,5.40624798e-6,WikiPathways,210,87,0.414285714
Tcon,SF_vs_PB_Tcon,WikiPathways,dotplot,top 20 by pooled FDR,16,WP_UTERINE_NATURAL_KILLER_CELLS_AND_PROGESTERONE_ESTROGEN_AND_CHORIONIC_GONADOTROPIN,Uterine Natural Killer Cells and Progesterone Estrogen and Chorionic Gonadotropin,up,2.34745497,0.682940374,1.32312762e-7,7.03738503e-6,6.45203145e-6,WikiPathways,37,20,0.540540541
Tcon,SF_vs_PB_Tcon,WikiPathways,dotplot,top 20 by pooled FDR,17,WP_PANCREATIC_ADENOCARCINOMA_PATHWAY,Pancreatic Adenocarcinoma Pathway,up,2.18221347,0.543860609,3.01997034e-7,1.51176163e-5,1.32427953e-5,WikiPathways,81,32,0.395061728
Tcon,SF_vs_PB_Tcon,WikiPathways,dotplot,top 20 by pooled FDR,18,WP_MIRTARGETED_GENES_IN_LYMPHOCYTES,Mirtargeted Genes in Lymphocytes,up,1.74125079,0.354127684,3.87323784e-7,1.83118078e-5,1.6612515e-5,WikiPathways,378,150,0.396825397
Tcon,SF_vs_PB_Tcon,WikiPathways,dotplot,top 20 by pooled FDR,19,WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION,Selective Expression of Chemokine Receptors During Tcell Polarization,up,2.31046044,0.724154557,6.024276e-7,2.69824151e-5,2.38374719e-5,WikiPathways,27,12,0.444444444
Tcon,SF_vs_PB_Tcon,WikiPathways,dotplot,top 20 by pooled FDR,20,WP_MIRTARGETED_GENES_IN_MUSCLE_CELL,Mirtargeted Genes in Muscle Cell,up,1.81785314,0.377817593,9.50041318e-7,4.04242581e-5,3.60157599e-5,WikiPathways,301,102,0.338870432
