population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,pooled_under,set_size,leading_edge_size,gene_ratio
Treg,SF_vs_PB_Treg,GO_BP,facet,top 10 per direction by pooled FDR,1,GOBP_VIRAL_LIFE_CYCLE,Viral Life Cycle,up,2.21875903,0.489875339,1.08132499e-12,1.58441143e-9,2.96437521e-10,GO_BP,224,77,0.34375
Treg,SF_vs_PB_Treg,GO_BP,facet,top 10 per direction by pooled FDR,2,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION,Positive Regulation of Leukocyte Proliferation,up,2.36535201,0.558164225,5.98057987e-12,5.84202977e-9,1.40531422e-9,GO_BP,133,42,0.315789474
Treg,SF_vs_PB_Treg,GO_BP,facet,top 10 per direction by pooled FDR,3,GOBP_RESPONSE_TO_VIRUS,Response to Virus,up,1.99818339,0.420406755,1.52163883e-11,1.27404645e-8,3.18548172e-9,GO_BP,350,99,0.282857143
Treg,SF_vs_PB_Treg,GO_BP,facet,top 10 per direction by pooled FDR,4,GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,Adaptive Immune Response Based On Somatic Recombination of Immune Receptors Built from Immunoglobulin Superfamily Domains,up,2.08310383,0.44875249,2.41930061e-11,1.77244011e-8,4.64263787e-9,GO_BP,278,106,0.381294964
Treg,SF_vs_PB_Treg,GO_BP,facet,top 10 per direction by pooled FDR,5,GOBP_REGULATION_OF_VIRAL_PROCESS,Regulation of Viral Process,up,2.37983244,0.575452396,4.18244367e-11,2.72370026e-8,7.52447757e-9,GO_BP,112,37,0.330357143
Treg,SF_vs_PB_Treg,GO_BP,facet,top 10 per direction by pooled FDR,6,GOBP_LEUKOCYTE_MEDIATED_IMMUNITY,Leukocyte Mediated Immunity,up,2.02539917,0.431169035,5.30572799e-11,3.10968718e-8,8.98384589e-9,GO_BP,312,107,0.342948718
Treg,SF_vs_PB_Treg,GO_BP,facet,top 10 per direction by pooled FDR,7,GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY,Lymphocyte Mediated Immunity,up,2.1229556,0.463901587,6.5988897e-11,3.51600841e-8,1.10115386e-8,GO_BP,244,91,0.37295082
Treg,SF_vs_PB_Treg,GO_BP,facet,top 10 per direction by pooled FDR,8,GOBP_REGULATION_OF_LEUKOCYTE_PROLIFERATION,Regulation of Leukocyte Proliferation,up,2.16039641,0.480172389,7.22805282e-11,3.53030146e-8,1.1721662e-8,GO_BP,211,60,0.28436019
Treg,SF_vs_PB_Treg,GO_BP,facet,top 10 per direction by pooled FDR,9,GOBP_REGULATION_OF_VIRAL_LIFE_CYCLE,Regulation of Viral Life Cycle,up,2.43215192,0.609223398,8.77646244e-11,3.95683434e-8,1.38427656e-8,GO_BP,90,33,0.366666667
Treg,SF_vs_PB_Treg,GO_BP,facet,top 10 per direction by pooled FDR,10,GOBP_TYPE_II_INTERFERON_PRODUCTION,Type II Interferon Production,up,2.36638874,0.577309022,2.09640709e-10,8.77645854e-8,3.05544699e-8,GO_BP,106,47,0.443396226
Treg,SF_vs_PB_Treg,GO_BP,facet,top 10 per direction by pooled FDR,11,GOBP_CYTOPLASMIC_TRANSLATION,Cytoplasmic Translation,down,-3.12610614,-0.677609942,1.22081708e-30,7.15520891e-27,2.81129757e-27,GO_BP,163,94,0.576687117
Treg,SF_vs_PB_Treg,GO_BP,facet,top 10 per direction by pooled FDR,12,GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION,Negative Regulation of Syncytium Formation by Plasma Membrane Fusion,down,-3.01574988,-0.815569546,3.31991206e-18,9.729002300000001e-15,2.0118667100000003e-15,GO_BP,47,44,0.936170213
Treg,SF_vs_PB_Treg,GO_BP,facet,top 10 per direction by pooled FDR,13,GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION,Regulation of Syncytium Formation by Plasma Membrane Fusion,down,-2.77252045,-0.707555744,3.39221988e-14,6.6272669e-11,1.08494499e-11,GO_BP,62,47,0.758064516
Treg,SF_vs_PB_Treg,GO_BP,facet,top 10 per direction by pooled FDR,14,GOBP_MYOBLAST_FUSION,Myoblast Fusion,down,-2.6146729,-0.653315916,5.78500298e-12,5.84202977e-9,1.38767759e-9,GO_BP,69,47,0.68115942
Treg,SF_vs_PB_Treg,GO_BP,facet,top 10 per direction by pooled FDR,15,GOBP_MYOTUBE_DIFFERENTIATION,Myotube Differentiation,down,-2.24685577,-0.513327329,1.33371926e-9,4.11417293e-7,1.56698403e-7,GO_BP,116,50,0.431034483
Treg,SF_vs_PB_Treg,GO_BP,facet,top 10 per direction by pooled FDR,16,GOBP_SYNCYTIUM_FORMATION,Syncytium Formation,down,-2.40640343,-0.585965152,1.97414816e-9,5.03064452e-7,2.14437188e-7,GO_BP,79,46,0.582278481
Treg,SF_vs_PB_Treg,GO_BP,facet,top 10 per direction by pooled FDR,17,GOBP_STRIATED_MUSCLE_CELL_DIFFERENTIATION,Striated Muscle Cell Differentiation,down,-1.85372802,-0.391626896,4.98353968e-7,4.45765225e-5,2.63912834e-5,GO_BP,198,68,0.343434343
Treg,SF_vs_PB_Treg,GO_BP,facet,top 10 per direction by pooled FDR,18,GOBP_STRIATED_MUSCLE_CONTRACTION,Striated Muscle Contraction,down,-1.91118628,-0.427163236,2.35715875e-6,1.53503416e-4,9.69297351e-5,GO_BP,133,57,0.428571429
Treg,SF_vs_PB_Treg,GO_BP,facet,top 10 per direction by pooled FDR,19,GOBP_MUSCLE_CELL_DIFFERENTIATION,Muscle Cell Differentiation,down,-1.681958,-0.343407369,1.26790512e-5,5.89777134e-4,3.86207924e-4,GO_BP,261,80,0.30651341
Treg,SF_vs_PB_Treg,GO_BP,facet,top 10 per direction by pooled FDR,20,GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,Ribosomal Small Subunit Biogenesis,down,-1.74166981,-0.400182632,3.18062467e-4,0.00656395816,0.00532645409,GO_BP,112,27,0.241071429
