population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,pooled_under,set_size,leading_edge_size,gene_ratio
Treg,SF_vs_PB_Treg,GO_MF,dotplot,top 20 by pooled FDR,1,GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME,Structural Constituent of Ribosome,down,-2.57258967,-0.561134717,1.82859653e-16,2.51432023e-13,8.17056335e-14,GO_MF,156,79,0.506410256
Treg,SF_vs_PB_Treg,GO_MF,dotplot,top 20 by pooled FDR,2,GOMF_CYTOKINE_ACTIVITY,Cytokine Activity,up,2.50732323,0.632195538,8.85653931e-12,6.08887078e-9,1.97014585e-9,GO_MF,87,33,0.379310345
Treg,SF_vs_PB_Treg,GO_MF,dotplot,top 20 by pooled FDR,3,GOMF_CYTOKINE_RECEPTOR_BINDING,Cytokine Receptor Binding,up,2.21904036,0.516488795,1.02962471e-9,4.71911325e-7,1.16810923e-7,GO_MF,148,76,0.513513514
Treg,SF_vs_PB_Treg,GO_MF,dotplot,top 20 by pooled FDR,4,GOMF_ENZYME_INHIBITOR_ACTIVITY,Enzyme Inhibitor Activity,up,1.90025023,0.411513786,1.57689589e-8,4.85712183e-6,1.18476052e-6,GO_MF,266,76,0.285714286
Treg,SF_vs_PB_Treg,GO_MF,dotplot,top 20 by pooled FDR,5,GOMF_MHC_CLASS_II_PROTEIN_COMPLEX_BINDING,MHC Class II Protein Complex Binding,up,2.4518329,0.797302652,1.76622612e-8,4.85712183e-6,1.30115814e-6,GO_MF,25,15,0.6
Treg,SF_vs_PB_Treg,GO_MF,dotplot,top 20 by pooled FDR,6,GOMF_MHC_PROTEIN_COMPLEX_BINDING,MHC Protein Complex Binding,up,2.4106712,0.73982914,4.83112318e-8,1.10713239e-5,3.13194814e-6,GO_MF,32,15,0.46875
Treg,SF_vs_PB_Treg,GO_MF,dotplot,top 20 by pooled FDR,7,GOMF_CCR_CHEMOKINE_RECEPTOR_BINDING,Ccr Chemokine Receptor Binding,up,2.38703367,0.842406758,7.56813553e-8,1.48659805e-5,4.69183047e-6,GO_MF,18,14,0.777777778
Treg,SF_vs_PB_Treg,GO_MF,dotplot,top 20 by pooled FDR,8,GOMF_CHEMOKINE_RECEPTOR_BINDING,Chemokine Receptor Binding,up,2.34367153,0.743073742,2.99059944e-7,5.14009278e-5,1.6003939e-5,GO_MF,28,16,0.571428571
Treg,SF_vs_PB_Treg,GO_MF,dotplot,top 20 by pooled FDR,9,GOMF_ENDOPEPTIDASE_REGULATOR_ACTIVITY,Endopeptidase Regulator Activity,up,2.17410159,0.557023013,3.55399886e-7,5.42972047e-5,1.84954665e-5,GO_MF,79,31,0.392405063
Treg,SF_vs_PB_Treg,GO_MF,dotplot,top 20 by pooled FDR,10,GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_A_SULFUR_GROUP_OF_DONORS,Oxidoreductase Activity Acting On A Sulfur Group of Donors,up,2.31085017,0.659060829,4.60358752e-7,6.32993284e-5,2.29068861e-5,GO_MF,45,20,0.444444444
Treg,SF_vs_PB_Treg,GO_MF,dotplot,top 20 by pooled FDR,11,GOMF_DISULFIDE_OXIDOREDUCTASE_ACTIVITY,Disulfide Oxidoreductase Activity,up,2.2785817,0.689444053,7.77387479e-7,9.71734348e-5,3.49978609e-5,GO_MF,34,17,0.5
Treg,SF_vs_PB_Treg,GO_MF,dotplot,top 20 by pooled FDR,12,GOMF_CARBOHYDRATE_BINDING,Carbohydrate Binding,up,1.95989476,0.46115784,8.7725352e-7,1.00518633e-4,3.88767234e-5,GO_MF,137,46,0.335766423
Treg,SF_vs_PB_Treg,GO_MF,dotplot,top 20 by pooled FDR,13,GOMF_CYTIDINE_DEAMINASE_ACTIVITY,Cytidine Deaminase Activity,up,2.11530791,0.93411758,1.26219509e-6,1.29845589e-4,5.32327259e-5,GO_MF,8,5,0.625
Treg,SF_vs_PB_Treg,GO_MF,dotplot,top 20 by pooled FDR,14,GOMF_CADHERIN_BINDING,Cadherin Binding,up,1.80937498,0.394150718,1.32206418e-6,1.29845589e-4,5.53461925e-5,GO_MF,252,83,0.329365079
Treg,SF_vs_PB_Treg,GO_MF,dotplot,top 20 by pooled FDR,15,GOMF_GROWTH_FACTOR_ACTIVITY,Growth Factor Activity,up,2.18440444,0.617425022,1.97583828e-6,1.81118509e-4,7.72961563e-5,GO_MF,47,18,0.382978723
Treg,SF_vs_PB_Treg,GO_MF,dotplot,top 20 by pooled FDR,16,GOMF_IMMUNE_RECEPTOR_ACTIVITY,Immune Receptor Activity,up,1.99181479,0.484552943,2.65914437e-6,2.28520219e-4,1.00559976e-4,GO_MF,109,38,0.348623853
Treg,SF_vs_PB_Treg,GO_MF,dotplot,top 20 by pooled FDR,17,GOMF_PROTEASE_BINDING,Protease Binding,up,2.00046273,0.500974857,4.14749136e-6,3.3545886e-4,1.47502475e-4,GO_MF,91,35,0.384615385
Treg,SF_vs_PB_Treg,GO_MF,dotplot,top 20 by pooled FDR,18,GOMF_PEPTIDASE_REGULATOR_ACTIVITY,Peptidase Regulator Activity,up,1.96232115,0.482234384,1.00982194e-5,7.69871616e-4,3.06321657e-4,GO_MF,102,39,0.382352941
Treg,SF_vs_PB_Treg,GO_MF,dotplot,top 20 by pooled FDR,19,GOMF_PEPTIDASE_INHIBITOR_ACTIVITY,Peptidase Inhibitor Activity,up,2.0523687,0.554478903,1.0638226e-5,7.69871616e-4,3.17448976e-4,GO_MF,59,26,0.440677966
Treg,SF_vs_PB_Treg,GO_MF,dotplot,top 20 by pooled FDR,20,GOMF_CYTOKINE_BINDING,Cytokine Binding,up,1.96997968,0.496709937,1.89309041e-5,0.00123279311,5.0534378e-4,GO_MF,87,32,0.367816092
