population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,pooled_under,set_size,leading_edge_size,gene_ratio
Treg,SF_vs_PB_Treg,GO_MF,facet,top 10 per direction by pooled FDR,1,GOMF_CYTOKINE_ACTIVITY,Cytokine Activity,up,2.50451997,0.632195538,8.86063949e-12,6.2157386e-9,2.04042806e-9,GO_MF,87,33,0.379310345
Treg,SF_vs_PB_Treg,GO_MF,facet,top 10 per direction by pooled FDR,2,GOMF_CYTOKINE_RECEPTOR_BINDING,Cytokine Receptor Binding,up,2.19901455,0.509489792,1.70182327e-9,7.95886016e-7,1.9024071e-7,GO_MF,153,77,0.503267974
Treg,SF_vs_PB_Treg,GO_MF,facet,top 10 per direction by pooled FDR,3,GOMF_MHC_CLASS_II_PROTEIN_COMPLEX_BINDING,MHC Class II Protein Complex Binding,up,2.44976507,0.797302652,1.76448625e-8,6.18893553e-6,1.45116391e-6,GO_MF,25,15,0.6
Treg,SF_vs_PB_Treg,GO_MF,facet,top 10 per direction by pooled FDR,4,GOMF_CCR_CHEMOKINE_RECEPTOR_BINDING,Ccr Chemokine Receptor Binding,up,2.39156395,0.832059634,5.07779491e-8,1.42482925e-5,3.56498358e-6,GO_MF,19,14,0.736842105
Treg,SF_vs_PB_Treg,GO_MF,facet,top 10 per direction by pooled FDR,5,GOMF_MHC_PROTEIN_COMPLEX_BINDING,MHC Protein Complex Binding,up,2.38229256,0.727671813,8.83909966e-8,2.06687614e-5,5.78257918e-6,GO_MF,33,15,0.454545455
Treg,SF_vs_PB_Treg,GO_MF,facet,top 10 per direction by pooled FDR,6,GOMF_ENZYME_INHIBITOR_ACTIVITY,Enzyme Inhibitor Activity,up,1.85118313,0.398378569,1.17447446e-7,2.35398239e-5,7.55469216e-6,GO_MF,279,78,0.279569892
Treg,SF_vs_PB_Treg,GO_MF,facet,top 10 per direction by pooled FDR,7,GOMF_CHEMOKINE_RECEPTOR_BINDING,Chemokine Receptor Binding,up,2.33068912,0.727046606,3.24026606e-7,5.6826166e-5,1.7850920299999998e-05,GO_MF,30,16,0.533333333
Treg,SF_vs_PB_Treg,GO_MF,facet,top 10 per direction by pooled FDR,8,GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_A_SULFUR_GROUP_OF_DONORS,Oxidoreductase Activity Acting On A Sulfur Group of Donors,up,2.24549973,0.630025515,6.0925738e-7,9.49764559e-5,3.09030373e-5,GO_MF,49,25,0.510204082
Treg,SF_vs_PB_Treg,GO_MF,facet,top 10 per direction by pooled FDR,9,GOMF_CYTIDINE_DEAMINASE_ACTIVITY,Cytidine Deaminase Activity,up,2.11856293,0.93411758,1.26157582e-6,1.76999087e-4,5.67413436e-5,GO_MF,8,5,0.625
Treg,SF_vs_PB_Treg,GO_MF,facet,top 10 per direction by pooled FDR,10,GOMF_PROTEIN_FOLDING_CHAPERONE,Protein Folding Chaperone,up,2.11371763,0.55869303,1.60116214e-6,2.04220953e-4,6.98325035e-5,GO_MF,67,31,0.462686567
Treg,SF_vs_PB_Treg,GO_MF,facet,top 10 per direction by pooled FDR,11,GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME,Structural Constituent of Ribosome,down,-2.5854901,-0.562034537,1.80744915e-16,2.53585115e-13,7.70776648e-14,GO_MF,158,80,0.506329114
Treg,SF_vs_PB_Treg,GO_MF,facet,top 10 per direction by pooled FDR,12,GOMF_BETA_CATENIN_BINDING,beta Catenin Binding,down,-1.81584808,-0.461986914,4.16888621e-4,0.0128775122,0.00643439086,GO_MF,63,21,0.333333333
