population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,pooled_under,set_size,leading_edge_size,gene_ratio
Treg,SF_vs_PB_Treg,Hallmark,dotplot,top 20 by pooled FDR,1,HALLMARK_MTORC1_SIGNALING,Mtorc1 Signaling,up,2.55359919,0.57559373,4.5766434999999995e-18,2.28832175e-16,2.7327379200000003e-15,Hallmark,188,106,0.563829787
Treg,SF_vs_PB_Treg,Hallmark,dotplot,top 20 by pooled FDR,2,HALLMARK_IL2_STAT5_SIGNALING,IL-2/STAT5 Signaling,up,2.58912226,0.592386808,2.5723816499999998e-17,6.43095413e-16,1.38969856e-14,Hallmark,167,89,0.532934132
Treg,SF_vs_PB_Treg,Hallmark,dotplot,top 20 by pooled FDR,3,HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon-gamma Response,up,2.54547707,0.577701389,5.13506468e-17,8.55844113e-16,2.64805949e-14,Hallmark,178,90,0.505617978
Treg,SF_vs_PB_Treg,Hallmark,dotplot,top 20 by pooled FDR,4,HALLMARK_GLYCOLYSIS,Glycolysis,up,2.34181021,0.546092309,7.76799535e-12,9.70999419e-11,1.76255815e-9,Hallmark,145,67,0.462068966
Treg,SF_vs_PB_Treg,Hallmark,dotplot,top 20 by pooled FDR,5,HALLMARK_TNFA_SIGNALING_VIA_NFKB,TNF-alpha Signaling via NF-kappaB,up,2.28051953,0.518699184,1.18460846e-11,1.18460846e-10,2.58449673e-9,Hallmark,175,81,0.462857143
Treg,SF_vs_PB_Treg,Hallmark,dotplot,top 20 by pooled FDR,6,HALLMARK_INFLAMMATORY_RESPONSE,Inflammatory Response,up,2.32334991,0.54380425,2.35559987e-11,1.96299989e-10,4.60763457e-9,Hallmark,141,56,0.397163121
Treg,SF_vs_PB_Treg,Hallmark,dotplot,top 20 by pooled FDR,7,HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,up,2.22896058,0.509982423,1.6269695e-10,1.16212107e-9,2.30724613e-8,Hallmark,167,55,0.329341317
Treg,SF_vs_PB_Treg,Hallmark,dotplot,top 20 by pooled FDR,8,HALLMARK_INTERFERON_ALPHA_RESPONSE,Interferon-alpha Response,up,2.35497011,0.589391736,3.47144444e-10,2.16965278e-9,4.52684336e-8,Hallmark,91,51,0.56043956
Treg,SF_vs_PB_Treg,Hallmark,dotplot,top 20 by pooled FDR,9,HALLMARK_APOPTOSIS,Apoptosis,up,2.26387251,0.532663713,4.70789473e-10,2.37704738e-9,5.86252229e-8,Hallmark,136,54,0.397058824
Treg,SF_vs_PB_Treg,Hallmark,dotplot,top 20 by pooled FDR,10,HALLMARK_HYPOXIA,Hypoxia,up,2.2562687,0.528952536,4.75409476e-10,2.37704738e-9,5.86252229e-8,Hallmark,139,63,0.45323741
Treg,SF_vs_PB_Treg,Hallmark,dotplot,top 20 by pooled FDR,11,HALLMARK_CHOLESTEROL_HOMEOSTASIS,Cholesterol Homeostasis,up,2.42398325,0.646812779,1.41036566e-9,6.41075301e-9,1.52386652e-7,Hallmark,63,37,0.587301587
Treg,SF_vs_PB_Treg,Hallmark,dotplot,top 20 by pooled FDR,12,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,up,2.28161078,0.57206308,2.82173695e-9,1.17572373e-8,2.72693769e-7,Hallmark,90,40,0.444444444
Treg,SF_vs_PB_Treg,Hallmark,dotplot,top 20 by pooled FDR,13,HALLMARK_COAGULATION,Coagulation,up,2.30145772,0.609135797,4.79979976e-8,1.84607683e-7,3.12952461e-6,Hallmark,66,29,0.439393939
Treg,SF_vs_PB_Treg,Hallmark,dotplot,top 20 by pooled FDR,14,HALLMARK_ADIPOGENESIS,Adipogenesis,up,2.03620395,0.469842019,1.33455072e-7,4.54406592e-7,7.72473362e-6,Hallmark,157,80,0.50955414
Treg,SF_vs_PB_Treg,Hallmark,dotplot,top 20 by pooled FDR,15,HALLMARK_COMPLEMENT,Complement,up,2.03751958,0.474712243,1.36321978e-7,4.54406592e-7,7.85062353e-6,Hallmark,146,56,0.383561644
Treg,SF_vs_PB_Treg,Hallmark,dotplot,top 20 by pooled FDR,16,HALLMARK_IL6_JAK_STAT3_SIGNALING,IL-6/JAK/STAT3 Signaling,up,2.19081511,0.576364459,3.10397098e-7,9.69990932e-7,1.64553976e-5,Hallmark,68,21,0.308823529
Treg,SF_vs_PB_Treg,Hallmark,dotplot,top 20 by pooled FDR,17,HALLMARK_XENOBIOTIC_METABOLISM,Xenobiotic Metabolism,up,1.92579678,0.458235083,1.05136081e-5,3.09223767e-5,3.15547311e-4,Hallmark,126,46,0.365079365
Treg,SF_vs_PB_Treg,Hallmark,dotplot,top 20 by pooled FDR,18,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Oxidative Phosphorylation,up,1.7933972,0.406773175,1.68007427e-5,4.66687296e-5,4.59791155e-4,Hallmark,179,83,0.463687151
Treg,SF_vs_PB_Treg,Hallmark,dotplot,top 20 by pooled FDR,19,HALLMARK_PROTEIN_SECRETION,Protein Secretion,up,1.96073159,0.493558768,2.20468896e-5,5.80181306e-5,5.74993018e-4,Hallmark,88,33,0.375
Treg,SF_vs_PB_Treg,Hallmark,dotplot,top 20 by pooled FDR,20,HALLMARK_ESTROGEN_RESPONSE_LATE,Estrogen Response Late,up,1.83969458,0.43915884,2.95077799e-5,7.37694498e-5,7.26173023e-4,Hallmark,123,52,0.422764228
