population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,set_size,leading_edge_size,gene_ratio
Treg,SF_vs_PB_Treg,Hallmark,facet,top 10 per direction by pooled FDR,1,HALLMARK_MTORC1_SIGNALING,Mtorc1 Signaling,up,2.55359919,0.57559373,4.5766434999999995e-18,2.28832175e-16,2.70648244e-15,188,106,0.563829787
Treg,SF_vs_PB_Treg,Hallmark,facet,top 10 per direction by pooled FDR,2,HALLMARK_IL2_STAT5_SIGNALING,IL-2/STAT5 Signaling,up,2.58912226,0.592386808,2.5723816499999998e-17,6.43095413e-16,1.37634668e-14,167,89,0.532934132
Treg,SF_vs_PB_Treg,Hallmark,facet,top 10 per direction by pooled FDR,3,HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon-gamma Response,up,2.54547707,0.577701389,5.13506468e-17,8.55844113e-16,2.62261758e-14,178,90,0.505617978
Treg,SF_vs_PB_Treg,Hallmark,facet,top 10 per direction by pooled FDR,4,HALLMARK_GLYCOLYSIS,Glycolysis,up,2.34181021,0.546092309,7.76799535e-12,9.70999419e-11,1.74562392e-9,145,67,0.462068966
Treg,SF_vs_PB_Treg,Hallmark,facet,top 10 per direction by pooled FDR,5,HALLMARK_TNFA_SIGNALING_VIA_NFKB,TNF-alpha Signaling via NF-kappaB,up,2.28051953,0.518699184,1.18460846e-11,1.18460846e-10,2.55966551e-9,175,81,0.462857143
Treg,SF_vs_PB_Treg,Hallmark,facet,top 10 per direction by pooled FDR,6,HALLMARK_INFLAMMATORY_RESPONSE,Inflammatory Response,up,2.32334991,0.54380425,2.35559987e-11,1.96299989e-10,4.56336554e-9,141,56,0.397163121
Treg,SF_vs_PB_Treg,Hallmark,facet,top 10 per direction by pooled FDR,7,HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,up,2.22896058,0.509982423,1.6269695e-10,1.16212107e-9,2.28507867e-8,167,55,0.329341317
Treg,SF_vs_PB_Treg,Hallmark,facet,top 10 per direction by pooled FDR,8,HALLMARK_INTERFERON_ALPHA_RESPONSE,Interferon-alpha Response,up,2.35497011,0.589391736,3.47144444e-10,2.16965278e-9,4.48335055e-8,91,51,0.56043956
Treg,SF_vs_PB_Treg,Hallmark,facet,top 10 per direction by pooled FDR,9,HALLMARK_APOPTOSIS,Apoptosis,up,2.26387251,0.532663713,4.70789473e-10,2.37704738e-9,5.8061966e-8,136,54,0.397058824
Treg,SF_vs_PB_Treg,Hallmark,facet,top 10 per direction by pooled FDR,10,HALLMARK_HYPOXIA,Hypoxia,up,2.2562687,0.528952536,4.75409476e-10,2.37704738e-9,5.8061966e-8,139,63,0.45323741
Treg,SF_vs_PB_Treg,Hallmark,facet,top 10 per direction by pooled FDR,11,HALLMARK_WNT_BETA_CATENIN_SIGNALING,Wnt beta Catenin Signaling,down,-1.30410955,-0.397548303,0.121074479,0.147651804,0.332695731,28,8,0.285714286
Treg,SF_vs_PB_Treg,Hallmark,facet,top 10 per direction by pooled FDR,12,HALLMARK_UV_RESPONSE_DN,UV Response Dn,down,-1.13849022,-0.271076549,0.206219234,0.239789807,0.450259891,90,29,0.322222222
Treg,SF_vs_PB_Treg,Hallmark,facet,top 10 per direction by pooled FDR,13,HALLMARK_APICAL_SURFACE,Apical Surface,down,-0.937541104,-0.285802581,0.554017343,0.602192764,0.757607081,28,4,0.142857143
Treg,SF_vs_PB_Treg,Hallmark,facet,top 10 per direction by pooled FDR,14,HALLMARK_SPERMATOGENESIS,Spermatogenesis,down,-0.68652004,-0.169884281,0.977874125,0.977874125,0.997782005,73,22,0.301369863
