population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,pooled_under,set_size,leading_edge_size,gene_ratio
Treg,SF_vs_PB_Treg,KEGG,dotplot,top 20 by pooled FDR,1,KEGG_RIBOSOME,Ribosome,down,-3.34586726,-0.805688978,3.4774667699999996e-31,6.433313529999999e-29,1.33453583e-27,KEGG,85,77,0.905882353
Treg,SF_vs_PB_Treg,KEGG,dotplot,top 20 by pooled FDR,2,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,Cytokine Cytokine Receptor Interaction,up,2.32864773,0.540978369,2.18666195e-11,2.0226623e-9,4.41667351e-9,KEGG,149,61,0.409395973
Treg,SF_vs_PB_Treg,KEGG,dotplot,top 20 by pooled FDR,3,KEGG_LYSOSOME,Lysosome,up,2.32227387,0.565177168,4.08673422e-10,2.52015277e-8,5.66874351e-8,KEGG,109,44,0.403669725
Treg,SF_vs_PB_Treg,KEGG,dotplot,top 20 by pooled FDR,4,KEGG_GRAFT_VERSUS_HOST_DISEASE,Graft Versus Host Disease,up,2.51328963,0.77735197,8.51300535e-10,3.93726497e-8,1.03168664e-7,KEGG,31,20,0.64516129
Treg,SF_vs_PB_Treg,KEGG,dotplot,top 20 by pooled FDR,5,KEGG_TYPE_I_DIABETES_MELLITUS,Type I Diabetes Mellitus,up,2.51266933,0.756381202,2.30436008e-9,8.52613229e-8,2.47944837e-7,KEGG,35,22,0.628571429
Treg,SF_vs_PB_Treg,KEGG,dotplot,top 20 by pooled FDR,6,KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,Antigen Processing and Presentation,up,2.41024341,0.652013589,3.76007268e-9,1.15935574e-7,3.79734358e-7,KEGG,59,31,0.525423729
Treg,SF_vs_PB_Treg,KEGG,dotplot,top 20 by pooled FDR,7,KEGG_AUTOIMMUNE_THYROID_DISEASE,Autoimmune Thyroid Disease,up,2.48241977,0.747275269,4.86450604e-9,1.28561945e-7,4.62851719e-7,KEGG,35,20,0.571428571
Treg,SF_vs_PB_Treg,KEGG,dotplot,top 20 by pooled FDR,8,KEGG_ALLOGRAFT_REJECTION,Allograft Rejection,up,2.47859021,0.755847399,6.63864105e-9,1.53518574e-7,6.01816334e-7,KEGG,33,20,0.606060606
Treg,SF_vs_PB_Treg,KEGG,dotplot,top 20 by pooled FDR,9,KEGG_VIRAL_MYOCARDITIS,Viral Myocarditis,up,2.38076269,0.655055117,1.71422421e-8,3.52368311e-7,1.43013503e-6,KEGG,54,24,0.444444444
Treg,SF_vs_PB_Treg,KEGG,dotplot,top 20 by pooled FDR,10,KEGG_ASTHMA,Asthma,up,2.39382946,0.813466428,2.46118151e-8,4.55318579e-7,1.91387976e-6,KEGG,21,12,0.571428571
Treg,SF_vs_PB_Treg,KEGG,dotplot,top 20 by pooled FDR,11,KEGG_PROTEASOME,Proteasome,up,2.34625435,0.683010602,1.6823492e-7,2.82940547e-6,1.04074835e-5,KEGG,41,28,0.682926829
Treg,SF_vs_PB_Treg,KEGG,dotplot,top 20 by pooled FDR,12,KEGG_CELL_ADHESION_MOLECULES_CAMS,Cell Adhesion Molecules Cams,up,2.10702323,0.541829966,1.31867467e-6,2.03295679e-5,5.89647457e-5,KEGG,78,34,0.435897436
Treg,SF_vs_PB_Treg,KEGG,dotplot,top 20 by pooled FDR,13,KEGG_HEMATOPOIETIC_CELL_LINEAGE,Hematopoietic Cell Lineage,up,2.06202275,0.559791937,1.20764761e-5,1.71857544e-4,3.71755265e-4,KEGG,58,19,0.327586207
Treg,SF_vs_PB_Treg,KEGG,dotplot,top 20 by pooled FDR,14,KEGG_ENDOCYTOSIS,Endocytosis,up,1.81332181,0.421260744,2.53027751e-5,3.343581e-4,6.79046271e-4,KEGG,149,46,0.308724832
Treg,SF_vs_PB_Treg,KEGG,dotplot,top 20 by pooled FDR,15,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,Glycolysis Gluconeogenesis,up,2.03483338,0.59526625,5.35077612e-5,6.59929054e-4,0.00124200575,KEGG,40,26,0.65
Treg,SF_vs_PB_Treg,KEGG,dotplot,top 20 by pooled FDR,16,KEGG_LEISHMANIA_INFECTION,Leishmania Infection,up,1.85778353,0.500862896,2.64769739e-4,0.0030614001,0.00467529755,KEGG,60,23,0.383333333
Treg,SF_vs_PB_Treg,KEGG,dotplot,top 20 by pooled FDR,17,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,Intestinal Immune Network For Iga Production,up,1.97552102,0.587290232,2.86290458e-4,0.00311551381,0.00494904211,KEGG,37,14,0.378378378
Treg,SF_vs_PB_Treg,KEGG,dotplot,top 20 by pooled FDR,18,KEGG_JAK_STAT_SIGNALING_PATHWAY,JAK STAT Signaling Pathway,up,1.80755367,0.447752926,3.05846771e-4,0.00314342514,0.00518588199,KEGG,97,21,0.216494845
Treg,SF_vs_PB_Treg,KEGG,dotplot,top 20 by pooled FDR,19,KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,Amino Sugar and Nucleotide Sugar Metabolism,up,1.89440984,0.554187017,3.81332849e-4,0.00371297774,0.00606392968,KEGG,40,18,0.45
Treg,SF_vs_PB_Treg,KEGG,dotplot,top 20 by pooled FDR,20,KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,Systemic Lupus Erythematosus,up,1.75361524,0.434391722,5.09744618e-4,0.00471513772,0.00757250295,KEGG,97,14,0.144329897
