population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,pooled_under,set_size,leading_edge_size,gene_ratio
Treg,SF_vs_PB_Treg,KEGG,facet,top 10 per direction by pooled FDR,1,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,Cytokine Cytokine Receptor Interaction,up,2.32864773,0.540978369,2.18666195e-11,2.0226623e-9,4.41667351e-9,KEGG,149,61,0.409395973
Treg,SF_vs_PB_Treg,KEGG,facet,top 10 per direction by pooled FDR,2,KEGG_LYSOSOME,Lysosome,up,2.32227387,0.565177168,4.08673422e-10,2.52015277e-8,5.66874351e-8,KEGG,109,44,0.403669725
Treg,SF_vs_PB_Treg,KEGG,facet,top 10 per direction by pooled FDR,3,KEGG_GRAFT_VERSUS_HOST_DISEASE,Graft Versus Host Disease,up,2.51328963,0.77735197,8.51300535e-10,3.93726497e-8,1.03168664e-7,KEGG,31,20,0.64516129
Treg,SF_vs_PB_Treg,KEGG,facet,top 10 per direction by pooled FDR,4,KEGG_TYPE_I_DIABETES_MELLITUS,Type I Diabetes Mellitus,up,2.51266933,0.756381202,2.30436008e-9,8.52613229e-8,2.47944837e-7,KEGG,35,22,0.628571429
Treg,SF_vs_PB_Treg,KEGG,facet,top 10 per direction by pooled FDR,5,KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,Antigen Processing and Presentation,up,2.41024341,0.652013589,3.76007268e-9,1.15935574e-7,3.79734358e-7,KEGG,59,31,0.525423729
Treg,SF_vs_PB_Treg,KEGG,facet,top 10 per direction by pooled FDR,6,KEGG_AUTOIMMUNE_THYROID_DISEASE,Autoimmune Thyroid Disease,up,2.48241977,0.747275269,4.86450604e-9,1.28561945e-7,4.62851719e-7,KEGG,35,20,0.571428571
Treg,SF_vs_PB_Treg,KEGG,facet,top 10 per direction by pooled FDR,7,KEGG_ALLOGRAFT_REJECTION,Allograft Rejection,up,2.47859021,0.755847399,6.63864105e-9,1.53518574e-7,6.01816334e-7,KEGG,33,20,0.606060606
Treg,SF_vs_PB_Treg,KEGG,facet,top 10 per direction by pooled FDR,8,KEGG_VIRAL_MYOCARDITIS,Viral Myocarditis,up,2.38076269,0.655055117,1.71422421e-8,3.52368311e-7,1.43013503e-6,KEGG,54,24,0.444444444
Treg,SF_vs_PB_Treg,KEGG,facet,top 10 per direction by pooled FDR,9,KEGG_ASTHMA,Asthma,up,2.39382946,0.813466428,2.46118151e-8,4.55318579e-7,1.91387976e-6,KEGG,21,12,0.571428571
Treg,SF_vs_PB_Treg,KEGG,facet,top 10 per direction by pooled FDR,10,KEGG_PROTEASOME,Proteasome,up,2.34625435,0.683010602,1.6823492e-7,2.82940547e-6,1.04074835e-5,KEGG,41,28,0.682926829
Treg,SF_vs_PB_Treg,KEGG,facet,top 10 per direction by pooled FDR,11,KEGG_RIBOSOME,Ribosome,down,-3.34586726,-0.805688978,3.4774667699999996e-31,6.433313529999999e-29,1.33453583e-27,KEGG,85,77,0.905882353
Treg,SF_vs_PB_Treg,KEGG,facet,top 10 per direction by pooled FDR,12,KEGG_WNT_SIGNALING_PATHWAY,Wnt Signaling Pathway,down,-1.44496856,-0.341754319,0.0173063908,0.0640336459,0.100863613,KEGG,94,17,0.180851064
Treg,SF_vs_PB_Treg,KEGG,facet,top 10 per direction by pooled FDR,13,KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,Phosphatidylinositol Signaling System,down,-1.31463497,-0.335857216,0.076472766,0.183733269,0.256610596,KEGG,62,25,0.403225806
Treg,SF_vs_PB_Treg,KEGG,facet,top 10 per direction by pooled FDR,14,KEGG_BASAL_CELL_CARCINOMA,Basal Cell Carcinoma,down,-1.38550668,-0.456171569,0.0901251739,0.205841446,0.283036314,KEGG,21,9,0.428571429
Treg,SF_vs_PB_Treg,KEGG,facet,top 10 per direction by pooled FDR,15,KEGG_LONG_TERM_POTENTIATION,Long Term Potentiation,down,-1.25073586,-0.341737208,0.133042017,0.270470034,0.356626947,KEGG,45,13,0.288888889
Treg,SF_vs_PB_Treg,KEGG,facet,top 10 per direction by pooled FDR,16,KEGG_BASAL_TRANSCRIPTION_FACTORS,Basal Transcription Factors,down,-1.26640607,-0.377356391,0.143060732,0.284583177,0.371552424,KEGG,31,16,0.516129032
Treg,SF_vs_PB_Treg,KEGG,facet,top 10 per direction by pooled FDR,17,KEGG_ADHERENS_JUNCTION,Adherens Junction,down,-1.20659069,-0.317033989,0.160549831,0.307747056,0.397510104,KEGG,54,12,0.222222222
Treg,SF_vs_PB_Treg,KEGG,facet,top 10 per direction by pooled FDR,18,KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,Neuroactive Ligand Receptor Interaction,down,-1.19010993,-0.300217507,0.164686262,0.307747056,0.402952077,KEGG,66,19,0.287878788
Treg,SF_vs_PB_Treg,KEGG,facet,top 10 per direction by pooled FDR,19,KEGG_COLORECTAL_CANCER,Colorectal Cancer,down,-1.15832576,-0.300944664,0.206864203,0.367979592,0.457917241,KEGG,57,10,0.175438596
Treg,SF_vs_PB_Treg,KEGG,facet,top 10 per direction by pooled FDR,20,KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,Glycine Serine and Threonine Metabolism,down,-1.16944501,-0.390183656,0.247064099,0.423211651,0.502109262,KEGG,20,10,0.5
