population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,pooled_under,set_size,leading_edge_size,gene_ratio
Treg,SF_vs_PB_Treg,MitoPathways,facet,top 10 per direction by pooled FDR,1,MITOPATHWAYS_Metabolism.Detoxification.ROS_and_glutathione_metabolism,Metabolism Detoxification ROS and Glutathione Metabolism,up,1.93828547,0.642966899,5.98880841e-4,0.06408025,0.00838802858,MitoPathways,23,12,0.52173913
Treg,SF_vs_PB_Treg,MitoPathways,facet,top 10 per direction by pooled FDR,2,MITOPATHWAYS_Metabolism.Detoxification,Metabolism Detoxification,up,1.82373441,0.541571215,0.00145586897,0.0666943694,0.0167174428,MitoPathways,37,17,0.459459459
Treg,SF_vs_PB_Treg,MitoPathways,facet,top 10 per direction by pooled FDR,3,MITOPATHWAYS_Mitochondrial_central_dogma.Translation.Mitochondrial_ribosome,Mitochondrial Central Dogma Translation Mitochondrial Ribosome,up,1.67955974,0.429884951,0.00186993559,0.0666943694,0.0202621006,MitoPathways,79,43,0.544303797
Treg,SF_vs_PB_Treg,MitoPathways,facet,top 10 per direction by pooled FDR,4,MITOPATHWAYS_Metabolism.Carbohydrate_metabolism.TCA-associated,Metabolism Carbohydrate Metabolism Tca-Associated,up,1.64339437,0.619398711,0.0195972741,0.419381666,0.107147506,MitoPathways,14,6,0.428571429
Treg,SF_vs_PB_Treg,MitoPathways,facet,top 10 per direction by pooled FDR,5,MITOPATHWAYS_Metabolism.Carbohydrate_metabolism.Gluconeogenesis,Metabolism Carbohydrate Metabolism Gluconeogenesis,up,1.59744269,0.732369159,0.0268521259,0.449592116,0.132049141,MitoPathways,7,5,0.714285714
Treg,SF_vs_PB_Treg,MitoPathways,facet,top 10 per direction by pooled FDR,6,MITOPATHWAYS_OXPHOS.OXPHOS_subunits,OXPHOS OXPHOS Subunits,up,1.41056977,0.365079366,0.0365777189,0.449592116,0.161152649,MitoPathways,74,31,0.418918919
Treg,SF_vs_PB_Treg,MitoPathways,facet,top 10 per direction by pooled FDR,7,MITOPATHWAYS_Metabolism,Metabolism,up,1.24152013,0.259334402,0.0374150159,0.449592116,0.163000705,MitoPathways,380,133,0.35
Treg,SF_vs_PB_Treg,MitoPathways,facet,top 10 per direction by pooled FDR,8,MITOPATHWAYS_OXPHOS,OXPHOS,up,1.33435938,0.315137271,0.0415525342,0.449592116,0.174081795,MitoPathways,131,43,0.328244275
Treg,SF_vs_PB_Treg,MitoPathways,facet,top 10 per direction by pooled FDR,9,MITOPATHWAYS_Metabolism.Sulfur_metabolism,Metabolism Sulfur Metabolism,up,1.54956561,0.640641688,0.0420179547,0.449592116,0.174805169,MitoPathways,10,6,0.6
Treg,SF_vs_PB_Treg,MitoPathways,facet,top 10 per direction by pooled FDR,10,MITOPATHWAYS_Mitochondrial_dynamics_and_surveillance.Apoptosis,Mitochondrial Dynamics and Surveillance Apoptosis,up,1.42146993,0.445988603,0.0635222448,0.545691276,0.225065543,MitoPathways,29,9,0.310344828
Treg,SF_vs_PB_Treg,MitoPathways,facet,top 10 per direction by pooled FDR,11,MITOPATHWAYS_Metabolism.Vitamin_metabolism.Biotin_utilizing_proteins,Metabolism Vitamin Metabolism Biotin Utilizing Proteins,down,-1.61887737,-0.81765195,0.0128638045,0.34410677,0.0801867372,MitoPathways,5,3,0.6
Treg,SF_vs_PB_Treg,MitoPathways,facet,top 10 per direction by pooled FDR,12,MITOPATHWAYS_Protein_import_sorting_and_homeostasis.Protein_import_and_sorting.Preprotein_cleavage,Protein Import Sorting and Homeostasis Protein Import and Sorting Preprotein Cleavage,down,-1.47808261,-0.643323438,0.0655634133,0.545691276,0.230044514,MitoPathways,8,4,0.5
Treg,SF_vs_PB_Treg,MitoPathways,facet,top 10 per direction by pooled FDR,13,MITOPATHWAYS_Metabolism.Metals_and_cofactors.NAD_biosynthesis_and_metabolism,Metabolism Metals and Cofactors Nad Biosynthesis and Metabolism,down,-1.42571981,-0.598133243,0.0908347641,0.571724692,0.280490038,MitoPathways,9,8,0.888888889
