population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,pooled_under,set_size,leading_edge_size,gene_ratio
Treg,SF_vs_PB_Treg,TF_Targets,dotplot,top 20 by pooled FDR,1,NFKB1,NF-kappaB1,up,2.35686406,0.507027566,3.6832367399999996e-17,1.34990583e-14,1.76703283e-14,TF_Targets,281,117,0.416370107
Treg,SF_vs_PB_Treg,TF_Targets,dotplot,top 20 by pooled FDR,2,HIF1A,HIF-1alpha,up,2.33082849,0.498711971,4.54513747e-17,1.34990583e-14,2.01279665e-14,TF_Targets,296,110,0.371621622
Treg,SF_vs_PB_Treg,TF_Targets,dotplot,top 20 by pooled FDR,3,STAT3,STAT3,up,2.29360103,0.492255795,1.47628825e-15,2.92305074e-13,5.86137344e-13,TF_Targets,287,114,0.397212544
Treg,SF_vs_PB_Treg,TF_Targets,dotplot,top 20 by pooled FDR,4,CREB1,CREB-1,up,2.23658019,0.480538964,2.58093969e-14,3.83269544e-12,8.49055416e-12,TF_Targets,284,113,0.397887324
Treg,SF_vs_PB_Treg,TF_Targets,dotplot,top 20 by pooled FDR,5,SP3,Sp3,up,2.10857488,0.459136987,1.99822151e-11,2.37388716e-9,4.10848616e-9,TF_Targets,251,79,0.314741036
Treg,SF_vs_PB_Treg,TF_Targets,dotplot,top 20 by pooled FDR,6,EGR1,Egr1,up,2.17534767,0.479710801,2.75106794e-11,2.72355726e-9,5.1089994e-9,TF_Targets,225,89,0.395555556
Treg,SF_vs_PB_Treg,TF_Targets,dotplot,top 20 by pooled FDR,7,PPARG,Pparg,up,2.15120494,0.474994034,4.61710313e-11,3.9179418e-9,7.93452618e-9,TF_Targets,222,86,0.387387387
Treg,SF_vs_PB_Treg,TF_Targets,dotplot,top 20 by pooled FDR,8,ATF3,Atf3,up,2.48990804,0.647911849,9.2602163e-11,6.8757106e-9,1.42162841e-8,TF_Targets,73,41,0.561643836
Treg,SF_vs_PB_Treg,TF_Targets,dotplot,top 20 by pooled FDR,9,FOS,Fos,up,2.16572092,0.485716508,1.48292441e-10,9.7873011e-9,2.18902457e-8,TF_Targets,195,84,0.430769231
Treg,SF_vs_PB_Treg,TF_Targets,dotplot,top 20 by pooled FDR,10,STAT1,STAT1,up,2.08426322,0.459301528,4.23456071e-10,2.51532906e-8,5.73608612e-8,TF_Targets,226,57,0.252212389
Treg,SF_vs_PB_Treg,TF_Targets,dotplot,top 20 by pooled FDR,11,CEBPB,Cebpb,up,2.00858018,0.436119469,2.44586588e-9,1.32076757e-7,2.56015452e-7,TF_Targets,258,75,0.290697674
Treg,SF_vs_PB_Treg,TF_Targets,dotplot,top 20 by pooled FDR,12,REL,Rel,up,2.31294599,0.58602221,4.60427602e-9,2.27911663e-7,4.38129208e-7,TF_Targets,85,29,0.341176471
Treg,SF_vs_PB_Treg,TF_Targets,dotplot,top 20 by pooled FDR,13,IRF1,IRF1,up,2.19514844,0.522977644,1.34345695e-8,6.13856485e-7,1.14581951e-6,TF_Targets,125,55,0.44
Treg,SF_vs_PB_Treg,TF_Targets,dotplot,top 20 by pooled FDR,14,SPI1,Spi1,up,1.97313129,0.433323526,1.52314555e-8,6.46248896e-7,1.2895219e-6,TF_Targets,232,72,0.310344828
Treg,SF_vs_PB_Treg,TF_Targets,dotplot,top 20 by pooled FDR,15,ETS1,Ets1,up,2.09397537,0.487350008,3.63890437e-8,1.44100613e-6,2.68579134e-6,TF_Targets,147,58,0.394557823
Treg,SF_vs_PB_Treg,TF_Targets,dotplot,top 20 by pooled FDR,16,HSF1,Hsf1,up,2.22809564,0.586989588,1.97537468e-7,7.3335785e-6,1.19080964e-5,TF_Targets,68,31,0.455882353
Treg,SF_vs_PB_Treg,TF_Targets,dotplot,top 20 by pooled FDR,17,NFKB2,NF-kappaB2,up,2.18095053,0.593914788,8.40913292e-7,2.93824997e-5,4.08534837e-5,TF_Targets,57,29,0.50877193
Treg,SF_vs_PB_Treg,TF_Targets,dotplot,top 20 by pooled FDR,18,CEBPG,Cebpg,up,2.08283228,0.517283788,9.11404326e-7,3.00763428e-5,4.37246225e-5,TF_Targets,96,37,0.385416667
Treg,SF_vs_PB_Treg,TF_Targets,dotplot,top 20 by pooled FDR,19,NR3C1,Nr3c1,up,1.94672581,0.445699337,1.1785692e-6,3.68457949e-5,5.36365444e-5,TF_Targets,166,54,0.325301205
Treg,SF_vs_PB_Treg,TF_Targets,dotplot,top 20 by pooled FDR,20,PPARA,Ppara,up,1.92102171,0.44156924,2.59781808e-6,7.61246606e-5,1.04584886e-4,TF_Targets,161,66,0.409937888
