population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,pooled_under,set_size,leading_edge_size,gene_ratio
Treg,SF_vs_PB_Treg,TF_Targets,facet,top 10 per direction by pooled FDR,1,NFKB1,NF-kappaB1,up,2.35686406,0.507027566,3.6832367399999996e-17,1.34990583e-14,1.76703283e-14,TF_Targets,281,117,0.416370107
Treg,SF_vs_PB_Treg,TF_Targets,facet,top 10 per direction by pooled FDR,2,HIF1A,HIF-1alpha,up,2.33082849,0.498711971,4.54513747e-17,1.34990583e-14,2.01279665e-14,TF_Targets,296,110,0.371621622
Treg,SF_vs_PB_Treg,TF_Targets,facet,top 10 per direction by pooled FDR,3,STAT3,STAT3,up,2.29360103,0.492255795,1.47628825e-15,2.92305074e-13,5.86137344e-13,TF_Targets,287,114,0.397212544
Treg,SF_vs_PB_Treg,TF_Targets,facet,top 10 per direction by pooled FDR,4,CREB1,CREB-1,up,2.23658019,0.480538964,2.58093969e-14,3.83269544e-12,8.49055416e-12,TF_Targets,284,113,0.397887324
Treg,SF_vs_PB_Treg,TF_Targets,facet,top 10 per direction by pooled FDR,5,SP3,Sp3,up,2.10857488,0.459136987,1.99822151e-11,2.37388716e-9,4.10848616e-9,TF_Targets,251,79,0.314741036
Treg,SF_vs_PB_Treg,TF_Targets,facet,top 10 per direction by pooled FDR,6,EGR1,Egr1,up,2.17534767,0.479710801,2.75106794e-11,2.72355726e-9,5.1089994e-9,TF_Targets,225,89,0.395555556
Treg,SF_vs_PB_Treg,TF_Targets,facet,top 10 per direction by pooled FDR,7,PPARG,Pparg,up,2.15120494,0.474994034,4.61710313e-11,3.9179418e-9,7.93452618e-9,TF_Targets,222,86,0.387387387
Treg,SF_vs_PB_Treg,TF_Targets,facet,top 10 per direction by pooled FDR,8,ATF3,Atf3,up,2.48990804,0.647911849,9.2602163e-11,6.8757106e-9,1.42162841e-8,TF_Targets,73,41,0.561643836
Treg,SF_vs_PB_Treg,TF_Targets,facet,top 10 per direction by pooled FDR,9,FOS,Fos,up,2.16572092,0.485716508,1.48292441e-10,9.7873011e-9,2.18902457e-8,TF_Targets,195,84,0.430769231
Treg,SF_vs_PB_Treg,TF_Targets,facet,top 10 per direction by pooled FDR,10,STAT1,STAT1,up,2.08426322,0.459301528,4.23456071e-10,2.51532906e-8,5.73608612e-8,TF_Targets,226,57,0.252212389
Treg,SF_vs_PB_Treg,TF_Targets,facet,top 10 per direction by pooled FDR,11,CTCFL,Ctcfl,down,-1.79449005,-0.855212106,0.00171637421,0.00961817246,0.019703223,TF_Targets,6,3,0.5
Treg,SF_vs_PB_Treg,TF_Targets,facet,top 10 per direction by pooled FDR,12,ID4,Id4,down,-1.6557613900000001,-0.835793043,0.00742335238,0.0286329306,0.0562318943,TF_Targets,5,4,0.8
Treg,SF_vs_PB_Treg,TF_Targets,facet,top 10 per direction by pooled FDR,13,MXI1,Mxi1,down,-1.69325427,-0.76781748,0.00941631076,0.0342556119,0.0657840769,TF_Targets,7,3,0.428571429
Treg,SF_vs_PB_Treg,TF_Targets,facet,top 10 per direction by pooled FDR,14,HHEX,Hhex,down,-1.51651489,-0.520296486,0.0441123629,0.106949974,0.184457062,TF_Targets,18,3,0.166666667
Treg,SF_vs_PB_Treg,TF_Targets,facet,top 10 per direction by pooled FDR,15,HIVEP1,Hivep1,down,-1.49322125,-0.753746247,0.0463305705,0.110612819,0.19072227,TF_Targets,5,3,0.6
Treg,SF_vs_PB_Treg,TF_Targets,facet,top 10 per direction by pooled FDR,16,WWTR1,Wwtr1,down,-1.47446384,-0.702695079,0.0616885084,0.133247178,0.225629443,TF_Targets,6,2,0.333333333
Treg,SF_vs_PB_Treg,TF_Targets,facet,top 10 per direction by pooled FDR,17,ZBTB14,Zbtb14,down,-1.45290622,-0.692421215,0.0728146518,0.149233908,0.249916763,TF_Targets,6,3,0.5
Treg,SF_vs_PB_Treg,TF_Targets,facet,top 10 per direction by pooled FDR,18,HDAC9,Hdac9,down,-1.43800982,-0.518732146,0.0784695608,0.155889362,0.260449272,TF_Targets,15,7,0.466666667
Treg,SF_vs_PB_Treg,TF_Targets,facet,top 10 per direction by pooled FDR,19,FOXI1,Foxi1,down,-1.40288064,-0.668580191,0.0991256588,0.187517966,0.300429807,TF_Targets,6,2,0.333333333
Treg,SF_vs_PB_Treg,TF_Targets,facet,top 10 per direction by pooled FDR,20,HEY2,Hey2,down,-1.35991358,-0.616661911,0.129306488,0.232751678,0.350561549,TF_Targets,7,3,0.428571429
